"from","to","weight","association"
1,5,0.490837638215426,1
1,6,0.458133496007365,1
4,6,0.479242023874705,1
3,7,0.641219217453581,1
4,7,0.141441044107751,-1
5,7,0.588431609717971,1
1,8,0.454713070461878,1
3,8,0.595006949423096,1
5,8,0.598805881134429,1
7,8,0.588144581341937,1
5,9,0.499560315195609,1
4,10,0.594915641990533,1
6,10,0.632856565801719,1
1,11,0.641256402710217,1
5,11,0.51329022310854,1
7,11,0.534233310365387,1
2,12,0.514142170962323,1
5,12,0.136244993969303,-1
6,12,0.510626563017527,1
10,12,0.48065423606519,1
2,13,0.158216679434693,-1
10,13,0.525421483239365,1
5,14,0.509141949711066,1
6,14,0.141310517738584,-1
12,14,0.140315612821563,-1
1,15,0.537359033497749,1
5,15,0.460355088263414,1
9,15,0.477322377904466,1
11,15,0.511228084816805,1
1,16,0.146107822961994,-1
6,16,0.16163253770138,-1
12,16,0.138850767324026,-1
2,17,0.46559901101797,1
4,17,0.480546268265726,1
6,17,0.545264375352506,1
10,17,0.469483921399322,1
1,18,0.471959105771655,1
5,18,0.61351141364973,1
9,18,0.513970310214945,1
11,18,0.504137252561375,1
15,18,0.54952449952099,1
14,19,0.503272778906343,1
11,20,0.47088083856976,1
6,21,0.468719269147456,1
8,21,0.156092331983243,-1
14,21,0.147621001639573,-1
17,21,0.513319785795211,1
19,21,0.0807409203970537,-1
1,22,0.144258104751095,-1
12,22,0.141223586665135,-1
16,22,0.730862686995744,1
15,23,0.144446815870814,-1
17,23,0.465497375852137,1
5,24,0.455552235724119,1
9,24,0.459434644116874,1
2,25,0.481637282013335,1
6,25,0.551216688159146,1
8,25,0.156458283410719,-1
12,25,0.587527529240865,1
17,25,0.660956455172233,1
21,25,0.543343887790727,1
4,26,0.523652263757177,1
6,26,0.486351005031259,1
10,26,0.455334593293951,1
17,26,0.498512467309803,1
3,27,0.454935254694073,1
6,27,0.154452657997931,-1
8,27,0.531812721890566,1
21,27,0.118390647947288,-1
4,29,0.469754501382472,1
6,29,0.528176092135506,1
10,29,0.575443519138399,1
12,29,0.581748131157243,1
17,29,0.589119193297566,1
21,29,0.499766126564406,1
25,29,0.589137198532395,1
5,30,0.63197652044754,1
7,30,0.478588265842735,1
8,30,0.546606171286007,1
9,30,0.561460233364855,1
12,30,0.126731307373602,-1
15,30,0.48068726927964,1
17,30,0.122324683145156,-1
18,30,0.532448519290765,1
25,30,0.115601115359645,-1
29,30,0.121563982314657,-1
4,31,0.12381736660972,-1
