"index","lable","cluster","hubs","degree"
1,"Macrococcus",1,0,0.131313131313131
2,"Staphylococcus",4,0,0.0808080808080808
3,"Streptococcus",1,0,0.111111111111111
4,"Corynebacterium",4,0,0.202020202020202
5,"Enhydrobacter",1,1,0.313131313131313
6,"Atopococcus",4,0,0.323232323232323
7,"Acinetobacter",1,0,0.262626262626263
8,"Elizabethkingia",1,0,0.181818181818182
9,"Arthrobacter",1,0,0.242424242424242
10,"Millisia",4,0,0.202020202020202
11,"Rothia",1,0,0.0808080808080808
12,"Micrococcus",4,0,0.222222222222222
13,"Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium",6,0,0.0606060606060606
14,"Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides",5,0,0.101010101010101
15,"Helcobacillus",1,0,0.181818181818182
16,"Bordetella",3,0,0.131313131313131
17,"Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium",4,0,0.181818181818182
18,"Kocuria",1,0,0.313131313131313
19,"Bifidobacterium",5,0,0.101010101010101
20,"Deinococcus",1,0,0.0404040404040404
21,"Succinispira",2,0,0.191919191919192
22,"Ochrobactrum",3,0,0.111111111111111
23,"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus",4,0,0.0606060606060606
24,"Bergeyella",1,0,0.161616161616162
25,"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium",4,0,0.151515151515152
26,"Ornithinimicrobium",4,0,0.111111111111111
27,"Novosphingobium",5,0,0.141414141414141
28,"Prevotella",6,0,0.0303030303030303
29,"[Clostridium]",4,0,0.242424242424242
30,"Rhizobium",1,0,0.232323232323232
31,"Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas",1,0,0.252525252525253
32,"Alistipes",2,0,0.111111111111111
33,"Lacticigenium",5,0,0.101010101010101
34,"Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus",3,0,0.0202020202020202
35,"Kerstersia",3,0,0.131313131313131
36,"Rheinheimera",1,0,0.191919191919192
37,"Trueperella",4,0,0.171717171717172
38,"Helicobacter",1,0,0.212121212121212
39,"Sphingobium",1,0,0.101010101010101
40,"Granulicatella",2,0,0.191919191919192
41,"Aeromonas",1,1,0.292929292929293
42,"Brevundimonas",1,1,0.282828282828283
43,"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium",2,0,0.141414141414141
44,"Lactobacillus",3,0,0.0505050505050505
45,"Kribbia",4,0,0.212121212121212
46,"Dysgonomonas",3,0,0.111111111111111
47,"ph2",4,1,0.282828282828283
48,"Dietzia",4,0,0.0505050505050505
49,"Aurantimonas",1,0,0.272727272727273
50,"GW-34",4,1,0.292929292929293
51,"Gulbenkiania",1,0,0.212121212121212
52,"Lysobacter",5,0,0.131313131313131
53,"Serinibacter",4,0,0.161616161616162
54,"Collinsella",7,0,0.111111111111111
55,"Roseburia",2,0,0.0808080808080808
56,"CF231",2,0,0.181818181818182
57,"Nocardioides",3,0,0.0707070707070707
58,"Lactonifactor",4,0,0.202020202020202
59,"Dorea",7,0,0.101010101010101
60,"Sphingobacterium",1,0,0.262626262626263
61,"Flavobacterium",6,0,0.131313131313131
62,"Caldimonas",1,0,0.0303030303030303
63,"Treponema",2,0,0.111111111111111
64,"Selenomonas",7,0,0.101010101010101
65,"Succinivibrio",7,0,0.101010101010101
66,"Eggerthella",2,0,0.131313131313131
67,"[Prevotella]",2,0,0.121212121212121
68,"Methylotenera",1,0,0.191919191919192
69,"Psychrobacter",4,0,0.0707070707070707
70,"Desulfovibrio",2,0,0.131313131313131
71,"Papillibacter",2,0,0.0909090909090909
72,"Pediococcus",3,0,0.101010101010101
73,"Campylobacter",4,0,0.282828282828283
74,"Sporobacter",2,0,0.121212121212121
75,"Xanthobacter",3,0,0.101010101010101
76,"Brevibacterium",3,0,0.101010101010101
77,"Pedobacter",1,0,0.161616161616162
78,"Sphingomonas",4,0,0.0909090909090909
79,"Arcobacter",7,0,0.0909090909090909
80,"Aeriscardovia",4,0,0.0909090909090909
81,"Helcococcus",2,0,0.171717171717172
82,"Weissella",2,0,0.0202020202020202
83,"Wautersiella",7,0,0.111111111111111
84,"Oscillospira",2,0,0.131313131313131
85,"Anaerobiospirillum",7,0,0.0909090909090909
86,"Akkermansia",2,0,0.0808080808080808
87,"Proteus",3,0,0.121212121212121
88,"Arsenicicoccus",1,0,0.131313131313131
89,"Bacteria_Firmicutes_Bacilli_Bacillales_Planococcaceae_Bacillus",1,0,0.0404040404040404
90,"Petrimonas",4,0,0.232323232323232
91,"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Bacteroides",2,0,0.121212121212121
92,"Haloplasma",4,0,0.0909090909090909
93,"Pelomonas",1,0,0.212121212121212
94,"Peptostreptococcus",3,0,0.111111111111111
95,"Pseudoxanthomonas",3,0,0.202020202020202
96,"Lactococcus",5,0,0.0707070707070707
97,"Alkanindiges",1,0,0.131313131313131
98,"Butyricicoccus",7,0,0.191919191919192
99,"Denitromonas",5,0,0.0808080808080808
