"","Kingdom","Phylum","Class","Order","Family","Genus","unique"
"Methanobrevibacter","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobrevibacter","Methanobrevibacter"
"Methanimicrococcus","Archaea","Euryarchaeota","Methanomicrobia","Methanosarcinales","Methanosarcinaceae","Methanimicrococcus","Methanimicrococcus"
"Deinobacterium","Bacteria","[Thermi]","Deinococci","Deinococcales","Deinococcaceae","Deinobacterium","Deinobacterium"
"Deinococcus","Bacteria","[Thermi]","Deinococci","Deinococcales","Deinococcaceae","Deinococcus","Deinococcus"
"B-42","Bacteria","[Thermi]","Deinococci","Deinococcales","Trueperaceae","B-42","B-42"
"Truepera","Bacteria","[Thermi]","Deinococci","Deinococcales","Trueperaceae","Truepera","Truepera"
"Meiothermus","Bacteria","[Thermi]","Deinococci","Thermales","Thermaceae","Meiothermus","Meiothermus"
"Holophaga","Bacteria","Acidobacteria","Holophagae","Holophagales","Holophagaceae","Holophaga","Holophaga"
"Ilumatobacter","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","C111","Ilumatobacter","Ilumatobacter"
"Planktophila","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","ACK-M1","Planktophila","Planktophila"
"Actinomyces","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces"
"Bogoriella","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Bogoriella","Bogoriella"
"Mobiluncus","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Mobiluncus","Mobiluncus"
"Trueperella","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Trueperella","Trueperella"
"Varibaculum","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Varibaculum","Varibaculum"
"Beutenbergia","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Beutenbergiaceae","Beutenbergia","Beutenbergia"
"Serinibacter","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Beutenbergiaceae","Serinibacter","Serinibacter"
"Brevibacterium","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Brevibacteriaceae","Brevibacterium","Brevibacterium"
"Corynebacterium","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Corynebacteriaceae","Corynebacterium","Corynebacterium"
"Devriesea","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Dermabacteraceae","Devriesea","Devriesea"
"Helcobacillus","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Dermabacteraceae","Helcobacillus","Helcobacillus"
"Kineosphaera","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Dermatophilaceae","Kineosphaera","Kineosphaera"
"Dietzia","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Dietziaceae","Dietzia","Dietzia"
"Blastococcus","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Geodermatophilaceae","Blastococcus","Blastococcus"
"Millisia","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Gordoniaceae","Millisia","Millisia"
"Arsenicicoccus","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Intrasporangiaceae","Arsenicicoccus","Arsenicicoccus"
"Kribbia","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Intrasporangiaceae","Kribbia","Kribbia"
"Marihabitans","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Intrasporangiaceae","Marihabitans","Marihabitans"
"Ornithinicoccus","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Intrasporangiaceae","Ornithinicoccus","Ornithinicoccus"
"Ornithinimicrobium","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Intrasporangiaceae","Ornithinimicrobium","Ornithinimicrobium"
"Tetrasphaera","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Intrasporangiaceae","Tetrasphaera","Tetrasphaera"
"Jonesia","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Jonesiaceae","Jonesia","Jonesia"
"Kineosporia","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Kineosporiaceae","Kineosporia","Kineosporia"
"Quadrisphaera","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Kineosporiaceae","Quadrisphaera","Quadrisphaera"
"Herbiconiux","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Microbacteriaceae","Herbiconiux","Herbiconiux"
"Leifsonia","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Microbacteriaceae","Leifsonia","Leifsonia"
"Limnoluna","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Microbacteriaceae","Limnoluna","Limnoluna"
"Pseudoclavibacter","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Microbacteriaceae","Pseudoclavibacter","Pseudoclavibacter"
"Arthrobacter","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micrococcaceae","Arthrobacter","Arthrobacter"
"Kocuria","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micrococcaceae","Kocuria","Kocuria"
"Micrococcus","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micrococcaceae","Micrococcus","Micrococcus"
"Rothia","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micrococcaceae","Rothia","Rothia"
"Humicoccus","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nakamurellaceae","Humicoccus","Humicoccus"
"Marmoricola","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae","Marmoricola","Marmoricola"
"Nocardioides","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae","Nocardioides","Nocardioides"
"Luteimicrobium","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Promicromonosporaceae","Luteimicrobium","Luteimicrobium"
"Brooklawnia","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Propionibacteriaceae","Brooklawnia","Brooklawnia"
"Actinomycetospora","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae","Actinomycetospora","Actinomycetospora"
"Actinophytocola","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae","Actinophytocola","Actinophytocola"
"Sanguibacter","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Sanguibacteraceae","Sanguibacter","Sanguibacter"
"Streptomyces","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces","Streptomyces"
"Actinomadura","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Thermomonosporaceae","Actinomadura","Actinomadura"
"Aeriscardovia","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Aeriscardovia","Aeriscardovia"
"Alloscardovia","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Alloscardovia","Alloscardovia"
"Bifidobacterium","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium"
"Collinsella","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella","Collinsella"
"Coriobacterium","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Coriobacterium","Coriobacterium"
"Eggerthella","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Eggerthella","Eggerthella"
"Enterococcus","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Enterococcus","Enterococcus"
"Olsenella","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Olsenella","Olsenella"
"Paraeggerthella","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Paraeggerthella","Paraeggerthella"
"Euzebya","Bacteria","Actinobacteria","Nitriliruptoria","Euzebyales","Euzebyaceae","Euzebya","Euzebya"
"Nitriliruptor","Bacteria","Actinobacteria","Nitriliruptoria","Nitriliruptorales","Nitriliruptoraceae","Nitriliruptor","Nitriliruptor"
"Gaiella","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella","Gaiella"
"Solirubrobacter","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Solirubrobacter","Solirubrobacter"
