"","x"
"1","Macrococcus"
"2","Kocuria"
"3","Arthrobacter"
"4","Enhydrobacter"
"5","Corynebacterium"
"6","Staphylococcus"
"7","Bifidobacterium"
"8","Acinetobacter"
"9","Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus"
"10","Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium"
"11","Aeromonas"
"12","Lacticigenium"
"13","Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas"
"14","Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium"
"15","Rheinheimera"
"16","Wautersiella"
"17","Bacteria_Proteobacteria_Gammaproteobacteria_Vibrionales_Pseudoalteromonadaceae_Vibrio"
"18","Novosphingobium"
"19","Sporobacter"
"20","Millisia"
"21","Brevibacterium"
"22","Anaerosinus"
"23","Lactobacillus"
"24","Sphingomonas"
"25","Planktophila"
"26","Brevundimonas"
"27","Collinsella"
"28","Sphingobium"
"29","Simkania"
"30","Halomonas"
"31","Denitromonas"
