"","x"
"1","Staphylococcus"
"2","Atopococcus"
"3","Micrococcus"
"4","Bifidobacterium"
"5","Helcobacillus"
"6","Granulicatella"
"7","Succinispira"
"8","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium"
"9","Roseburia"
"10","Alistipes"
"11","[Clostridium]"
"12","Atopostipes"
"13","Ornithinimicrobium"
"14","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium"
"15","Treponema"
"16","Anaerobiospirillum"
"17","Prevotella"
"18","CF231"
"19","Dietzia"
"20","Lactonifactor"
"21","Sporobacter"
"22","Papillibacter"
"23","Barnesiella"
"24","Succinivibrio"
"25","Oscillospira"
"26","YRC22"
