"","x"
"1","Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium"
"2","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides"
"3","Succinispira"
"4","Roseburia"
"5","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus"
"6","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium"
"7","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium"
"8","Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium"
"9","[Clostridium]"
"10","Prevotella"
"11","CF231"
"12","Alistipes"
"13","Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus"
"14","Anaerobiospirillum"
"15","Treponema"
"16","Sporobacter"
"17","Succinivibrio"
"18","Barnesiella"
"19","YRC22"
"20","rc4-4"
"21","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Bacteroides"
