"Var1" "Freq"
"animal_parasites_or_symbionts" 101
"chemoheterotrophy" 67
"dark_hydrogen_oxidation" 2
"dark_sulfite_oxidation" 2
"fermentation" 67
"fumarate_respiration" 1
"human_associated" 18
"human_gut" 17
"human_pathogens_all" 1
"human_pathogens_meningitis" 1
"human_pathogens_septicemia" 1
"mammal_gut" 28
"nitrate_reduction" 4
"nitrate_respiration" 4
"nitrogen_respiration" 4
"respiration_of_sulfur_compounds" 19
"sulfate_respiration" 19
"sulfur_respiration" 2
"thiosulfate_respiration" 2
"xylanolysis" 5
