"Var1" "Freq"
"aerobic_chemoheterotrophy" 115
"animal_parasites_or_symbionts" 42
"aromatic_compound_degradation" 26
"chemoheterotrophy" 279
"chitinolysis" 46
"dark_hydrogen_oxidation" 2
"dark_sulfite_oxidation" 2
"fermentation" 118
"fumarate_respiration" 1
"human_associated" 34
"human_gut" 27
"human_pathogens_all" 7
"human_pathogens_meningitis" 1
"human_pathogens_septicemia" 1
"mammal_gut" 38
"nitrate_ammonification" 31
"nitrate_reduction" 35
"nitrate_respiration" 35
"nitrite_ammonification" 31
"nitrite_respiration" 31
"nitrogen_respiration" 35
"respiration_of_sulfur_compounds" 19
"sulfate_respiration" 19
"sulfur_respiration" 2
"thiosulfate_respiration" 2
"xylanolysis" 1
