"Var1" "Freq"
"aerobic_chemoheterotrophy" 276
"animal_parasites_or_symbionts" 13
"aromatic_compound_degradation" 65
"chemoheterotrophy" 346
"dark_hydrogen_oxidation" 3
"fermentation" 71
"human_associated" 13
"human_gut" 7
"human_pathogens_all" 6
"mammal_gut" 7
"methanol_oxidation" 6
"methylotrophy" 6
"nitrate_ammonification" 31
"nitrate_reduction" 112
"nitrate_respiration" 31
"nitrite_ammonification" 31
"nitrite_respiration" 31
"nitrogen_respiration" 31
"predatory_or_exoparasitic" 14
"ureolysis" 5
"xylanolysis" 1
