"Var1" "Freq"
"aerobic_chemoheterotrophy" 122
"animal_parasites_or_symbionts" 64
"aromatic_compound_degradation" 31
"chemoheterotrophy" 260
"fermentation" 138
"fumarate_respiration" 1
"human_associated" 56
"human_gut" 50
"human_pathogens_all" 6
"human_pathogens_diarrhea" 5
"human_pathogens_meningitis" 1
"human_pathogens_septicemia" 1
"invertebrate_parasites" 5
"mammal_gut" 61
"nitrate_ammonification" 31
"nitrate_reduction" 32
"nitrate_respiration" 32
"nitrite_ammonification" 31
"nitrite_respiration" 31
"nitrogen_respiration" 32
"xylanolysis" 1
