"Genus" "Function"
"Alistipes" "chemoheterotrophy"
"Alistipes" "fermentation"
"Oscillospira" "mammal_gut"
"Akkermansia" "aerobic_chemoheterotrophy"
"Akkermansia" "chemoheterotrophy"
"Barnesiella" "chemoheterotrophy"
"Barnesiella" "fermentation"
"Lysobacter" "chemoheterotrophy"
"Lysobacter" "chitinolysis"
"Succinispira" "chemoheterotrophy"
"Succinispira" "fermentation"
"Prevotella" "animal_parasites_or_symbionts"
"Papillibacter" "aromatic_compound_degradation"
"Papillibacter" "chemoheterotrophy"
"Prevotella" "chemoheterotrophy"
"Prevotella" "fermentation"
"Roseburia" "animal_parasites_or_symbionts"
"Roseburia" "chemoheterotrophy"
"Roseburia" "fermentation"
"Roseburia" "human_associated"
"Roseburia" "human_gut"
"Roseburia" "mammal_gut"
"Acholeplasma" "aerobic_chemoheterotrophy"
"Acholeplasma" "chemoheterotrophy"
"Prevotella" "xylanolysis"
"Pediococcus" "chemoheterotrophy"
"Pediococcus" "fermentation"
"Weissella" "chemoheterotrophy"
"Weissella" "fermentation"
"Akkermansia" "animal_parasites_or_symbionts"
"Akkermansia" "human_associated"
"Akkermansia" "human_gut"
"Akkermansia" "mammal_gut"
"Streptococcus" "chemoheterotrophy"
"Streptococcus" "fermentation"
"Helcobacillus" "aerobic_chemoheterotrophy"
"Helcobacillus" "chemoheterotrophy"
"Ornithinimicrobium" "aerobic_chemoheterotrophy"
"Ornithinimicrobium" "chemoheterotrophy"
"Syntrophococcus" "reductive_acetogenesis"
"Elizabethkingia" "aerobic_chemoheterotrophy"
"Elizabethkingia" "chemoheterotrophy"
"Streptococcus" "animal_parasites_or_symbionts"
"Streptococcus" "human_associated"
"Streptococcus" "human_pathogens_all"
"Streptococcus" "human_pathogens_meningitis"
"Streptococcus" "human_pathogens_septicemia"
"Olsenella" "chemoheterotrophy"
"Olsenella" "fermentation"
"Nocardioides" "aerobic_chemoheterotrophy"
"Nocardioides" "aromatic_compound_degradation"
"Nocardioides" "chemoheterotrophy"
"Nocardioides" "nitrate_reduction"
"Dietzia" "aerobic_chemoheterotrophy"
"Dietzia" "chemoheterotrophy"
"[Clostridium]" "chemoheterotrophy"
"[Clostridium]" "fermentation"
"Rothia" "chemoheterotrophy"
"Rothia" "fermentation"
"Rothia" "nitrate_reduction"
"Porphyrobacter" "aerobic_chemoheterotrophy"
"Porphyrobacter" "chemoheterotrophy"
"Ornithinimicrobium" "nitrate_reduction"
"Psychrobacter" "aerobic_chemoheterotrophy"
"Psychrobacter" "chemoheterotrophy"
"Actinobacillus" "animal_parasites_or_symbionts"
"Actinobacillus" "chemoheterotrophy"
"Actinobacillus" "fermentation"
"Actinobacillus" "nitrate_reduction"
"Bibersteinia" "animal_parasites_or_symbionts"
"Micrococcus" "aerobic_chemoheterotrophy"
"Micrococcus" "chemoheterotrophy"
"Bordetella" "animal_parasites_or_symbionts"
"Nitriliruptor" "aerobic_chemoheterotrophy"
"Nitriliruptor" "chemoheterotrophy"
"Thermomonas" "aerobic_chemoheterotrophy"
"Thermomonas" "chemoheterotrophy"
"Thermomonas" "ureolysis"
"Blastococcus" "aerobic_chemoheterotrophy"
"Blastococcus" "chemoheterotrophy"
"Beutenbergia" "nitrate_reduction"
"Ornithinicoccus" "aerobic_chemoheterotrophy"
"Ornithinicoccus" "chemoheterotrophy"
"Xanthobacter" "aerobic_chemoheterotrophy"
"Xanthobacter" "chemoheterotrophy"
"Xanthobacter" "dark_hydrogen_oxidation"
"Xanthobacter" "nitrogen_fixation"
"Abiotrophia" "chemoheterotrophy"
"Abiotrophia" "fermentation"
"[Clostridium]" "animal_parasites_or_symbionts"
"[Clostridium]" "aromatic_compound_degradation"
"[Clostridium]" "human_associated"
"[Clostridium]" "human_pathogens_all"
"[Clostridium]" "human_pathogens_diarrhea"
"[Clostridium]" "invertebrate_parasites"
"Deinococcus" "nitrate_reduction"
"Corynebacterium" "nitrate_reduction"
"Corynebacterium" "ureolysis"
"Bifidobacterium" "animal_parasites_or_symbionts"
"Bifidobacterium" "chemoheterotrophy"
"Bifidobacterium" "fermentation"
"Bifidobacterium" "human_associated"
"Bifidobacterium" "human_gut"
"Bifidobacterium" "mammal_gut"
"Lactobacillus" "chemoheterotrophy"
"Lactobacillus" "fermentation"
"Staphylococcus" "animal_parasites_or_symbionts"
"Staphylococcus" "human_associated"
"Staphylococcus" "human_pathogens_all"
"Staphylococcus" "nitrate_reduction"
"Staphylococcus" "ureolysis"
"Sphingobium" "aerobic_chemoheterotrophy"
"Sphingobium" "chemoheterotrophy"
"Acinetobacter" "aerobic_chemoheterotrophy"
"Acinetobacter" "aromatic_compound_degradation"
"Acinetobacter" "chemoheterotrophy"
"Rheinheimera" "aerobic_chemoheterotrophy"
"Rheinheimera" "chemoheterotrophy"
"Arthrobacter" "ureolysis"
"Sporobacter" "aromatic_compound_degradation"
"Sporobacter" "chemoheterotrophy"
"Sporobacter" "fermentation"
"Kocuria" "aerobic_chemoheterotrophy"
"Kocuria" "chemoheterotrophy"
"Novosphingobium" "aerobic_chemoheterotrophy"
"Novosphingobium" "chemoheterotrophy"
"Brevibacterium" "aerobic_chemoheterotrophy"
"Brevibacterium" "chemoheterotrophy"
"Rheinheimera" "nitrate_reduction"
"Aeromonas" "chemoheterotrophy"
"Aeromonas" "fermentation"
