"Genus" "Function"
"1" "Staphylococcus" "animal_parasites_or_symbionts"
"2" "Staphylococcus" "human_associated"
"3" "Staphylococcus" "human_pathogens_all"
"4" "Staphylococcus" "nitrate_reduction"
"5" "Staphylococcus" "ureolysis"
"6" "Succinispira" "chemoheterotrophy"
"7" "Succinispira" "fermentation"
"8" "Alistipes" "chemoheterotrophy"
"9" "Alistipes" "fermentation"
"10" "[Clostridium]" "chemoheterotrophy"
"11" "[Clostridium]" "fermentation"
"12" "[Clostridium]" "animal_parasites_or_symbionts"
"13" "[Clostridium]" "aromatic_compound_degradation"
"14" "[Clostridium]" "human_associated"
"15" "[Clostridium]" "human_pathogens_all"
"16" "[Clostridium]" "human_pathogens_diarrhea"
"17" "[Clostridium]" "invertebrate_parasites"
"18" "Sporobacter" "aromatic_compound_degradation"
"19" "Sporobacter" "chemoheterotrophy"
"20" "Sporobacter" "fermentation"
"21" "Papillibacter" "aromatic_compound_degradation"
"22" "Papillibacter" "chemoheterotrophy"
"23" "Barnesiella" "chemoheterotrophy"
"24" "Barnesiella" "fermentation"
"25" "Oscillospira" "mammal_gut"
