"Genus" "Function"
"1" "Succinispira" "chemoheterotrophy"
"2" "Succinispira" "fermentation"
"3" "Roseburia" "animal_parasites_or_symbionts"
"4" "Roseburia" "chemoheterotrophy"
"5" "Roseburia" "fermentation"
"6" "Roseburia" "human_associated"
"7" "Roseburia" "human_gut"
"8" "Roseburia" "mammal_gut"
"9" "[Clostridium]" "chemoheterotrophy"
"10" "[Clostridium]" "fermentation"
"11" "[Clostridium]" "animal_parasites_or_symbionts"
"12" "[Clostridium]" "aromatic_compound_degradation"
"13" "[Clostridium]" "human_associated"
"14" "[Clostridium]" "human_pathogens_all"
"15" "[Clostridium]" "human_pathogens_diarrhea"
"16" "[Clostridium]" "invertebrate_parasites"
"17" "Alistipes" "chemoheterotrophy"
"18" "Alistipes" "fermentation"
"19" "Anaerobiospirillum" "chemoheterotrophy"
"20" "Anaerobiospirillum" "fermentation"
"21" "Sporobacter" "aromatic_compound_degradation"
"22" "Sporobacter" "chemoheterotrophy"
"23" "Sporobacter" "fermentation"
