"Genus" "Function"
"1" "Bifidobacterium" "animal_parasites_or_symbionts"
"2" "Bifidobacterium" "chemoheterotrophy"
"3" "Bifidobacterium" "fermentation"
"4" "Bifidobacterium" "human_associated"
"5" "Bifidobacterium" "human_gut"
"6" "Bifidobacterium" "mammal_gut"
"7" "Novosphingobium" "aerobic_chemoheterotrophy"
"8" "Novosphingobium" "chemoheterotrophy"
"9" "Lactobacillus" "chemoheterotrophy"
"10" "Lactobacillus" "fermentation"
"11" "Lactobacillus" "animal_parasites_or_symbionts"
"12" "Lactobacillus" "human_associated"
"13" "Lactobacillus" "human_gut"
"14" "Lactobacillus" "mammal_gut"
"15" "Collinsella" "chemoheterotrophy"
"16" "Collinsella" "fermentation"
"17" "Sphingobium" "aerobic_chemoheterotrophy"
"18" "Sphingobium" "chemoheterotrophy"
