"Genus" "Function"
"1" "Elizabethkingia" "aerobic_chemoheterotrophy"
"2" "Elizabethkingia" "chemoheterotrophy"
"3" "Streptococcus" "chemoheterotrophy"
"4" "Streptococcus" "fermentation"
"5" "Streptococcus" "animal_parasites_or_symbionts"
"6" "Streptococcus" "human_associated"
"7" "Streptococcus" "human_pathogens_all"
"8" "Streptococcus" "human_pathogens_meningitis"
"9" "Streptococcus" "human_pathogens_septicemia"
"10" "Rothia" "chemoheterotrophy"
"11" "Rothia" "fermentation"
"12" "Rothia" "nitrate_reduction"
"13" "Helcobacillus" "aerobic_chemoheterotrophy"
"14" "Helcobacillus" "chemoheterotrophy"
"15" "Deinococcus" "nitrate_reduction"
