"Genus" "Function"
"1" "Streptococcus" "chemoheterotrophy"
"2" "Streptococcus" "fermentation"
"3" "Streptococcus" "animal_parasites_or_symbionts"
"4" "Streptococcus" "human_associated"
"5" "Streptococcus" "human_pathogens_all"
"6" "Streptococcus" "human_pathogens_meningitis"
"7" "Streptococcus" "human_pathogens_septicemia"
"8" "Kocuria" "aerobic_chemoheterotrophy"
"9" "Kocuria" "chemoheterotrophy"
"10" "Elizabethkingia" "aerobic_chemoheterotrophy"
"11" "Elizabethkingia" "chemoheterotrophy"
"12" "Acinetobacter" "aerobic_chemoheterotrophy"
"13" "Acinetobacter" "aromatic_compound_degradation"
"14" "Acinetobacter" "chemoheterotrophy"
"15" "Bordetella" "animal_parasites_or_symbionts"
"16" "Alkanindiges" "chemoheterotrophy"
"17" "Alkanindiges" "aliphatic_non_methane_hydrocarbon_degradation"
"18" "Alkanindiges" "hydrocarbon_degradation"
