"Genus" "Function"
"1" "[Clostridium]" "chemoheterotrophy"
"2" "[Clostridium]" "fermentation"
"3" "[Clostridium]" "animal_parasites_or_symbionts"
"4" "[Clostridium]" "aromatic_compound_degradation"
"5" "[Clostridium]" "human_associated"
"6" "[Clostridium]" "human_pathogens_all"
"7" "[Clostridium]" "human_pathogens_diarrhea"
"8" "[Clostridium]" "invertebrate_parasites"
"9" "Lactobacillus" "chemoheterotrophy"
"10" "Lactobacillus" "fermentation"
"11" "Lactobacillus" "animal_parasites_or_symbionts"
"12" "Lactobacillus" "human_associated"
"13" "Lactobacillus" "human_gut"
"14" "Lactobacillus" "mammal_gut"
