"Genus" "Function"
"1" "Roseburia" "animal_parasites_or_symbionts"
"2" "Roseburia" "chemoheterotrophy"
"3" "Roseburia" "fermentation"
"4" "Roseburia" "human_associated"
"5" "Roseburia" "human_gut"
"6" "Roseburia" "mammal_gut"
"7" "Sporobacter" "aromatic_compound_degradation"
"8" "Sporobacter" "chemoheterotrophy"
"9" "Sporobacter" "fermentation"
"10" "Oscillospira" "mammal_gut"
"11" "Akkermansia" "aerobic_chemoheterotrophy"
"12" "Akkermansia" "chemoheterotrophy"
"13" "Akkermansia" "animal_parasites_or_symbionts"
"14" "Akkermansia" "human_associated"
"15" "Akkermansia" "human_gut"
"16" "Akkermansia" "mammal_gut"
