"Genus" "Function"
"1" "Staphylococcus" "animal_parasites_or_symbionts"
"2" "Staphylococcus" "human_associated"
"3" "Staphylococcus" "human_pathogens_all"
"4" "Staphylococcus" "nitrate_reduction"
"5" "Staphylococcus" "ureolysis"
"6" "Novosphingobium" "aerobic_chemoheterotrophy"
"7" "Novosphingobium" "chemoheterotrophy"
"8" "Nocardioides" "aerobic_chemoheterotrophy"
"9" "Nocardioides" "aromatic_compound_degradation"
"10" "Nocardioides" "chemoheterotrophy"
"11" "Nocardioides" "nitrate_reduction"
"12" "Deinococcus" "nitrate_reduction"
