"Genus" "Function"
"1" "Lactobacillus" "chemoheterotrophy"
"2" "Lactobacillus" "fermentation"
"3" "Lactobacillus" "animal_parasites_or_symbionts"
"4" "Lactobacillus" "human_associated"
"5" "Lactobacillus" "human_gut"
"6" "Lactobacillus" "mammal_gut"
"7" "Anaerobiospirillum" "chemoheterotrophy"
"8" "Anaerobiospirillum" "fermentation"
"9" "Flavobacterium" "aerobic_chemoheterotrophy"
"10" "Flavobacterium" "chemoheterotrophy"
"11" "Flavobacterium" "xylanolysis"
"12" "Arcobacter" "animal_parasites_or_symbionts"
"13" "Arcobacter" "human_associated"
"14" "Arcobacter" "human_pathogens_all"
