"X2" "X1.x" "X3.x" "X1.y" "X3.y"
"1" "003b05010cc977db32aef352dd3a3e58" 7 "chemoheterotrophy" 8438 "Alistipes"
"22" "003b05010cc977db32aef352dd3a3e58" 8 "fermentation" 8438 "Alistipes"
"393" "0235874a04b893c70ec25687bc956708" 63 "fermentation" 1850 "Succinispira"
"421" "0235874a04b893c70ec25687bc956708" 62 "chemoheterotrophy" 1850 "Succinispira"
"785" "02a91098be73cbd2112bffc70d971db6" 88 "animal_parasites_or_symbionts" 2277 "Prevotella"
"981" "03b11fb39c7d189a78a405aa4f6bf9fc" 146 "fermentation" 7290 "Alistipes"
"1002" "03b11fb39c7d189a78a405aa4f6bf9fc" 145 "chemoheterotrophy" 7290 "Alistipes"
"1373" "03cabe5bd85f88b82e39a6d4aedf19c7" 148 "fermentation" 4241 "Alistipes"
"1394" "03cabe5bd85f88b82e39a6d4aedf19c7" 147 "chemoheterotrophy" 4241 "Alistipes"
"1765" "0426fcdeaa083aa360f1542e9e1fdc92" 178 "animal_parasites_or_symbionts" 7954 "Prevotella"
"1961" "04da1c4f00f0698e1e47199f09c4cb45" 184 "animal_parasites_or_symbionts" 5527 "Prevotella"
"2003" "04da1c4f00f0698e1e47199f09c4cb45" 185 "chemoheterotrophy" 5527 "Prevotella"
"2031" "04da1c4f00f0698e1e47199f09c4cb45" 186 "fermentation" 5527 "Prevotella"
"2549" "05723d6a69bd485e9140d3e12cc36b3a" 202 "animal_parasites_or_symbionts" 5529 "Prevotella"
"2745" "0599895b8c30da6c79096806f5cd921a" 203 "animal_parasites_or_symbionts" 7607 "Prevotella"
"2941" "05a16af335356f489cf7dad2efeb921d" 206 "fermentation" 1703 "Roseburia"
"2948" "05a16af335356f489cf7dad2efeb921d" 209 "mammal_gut" 1703 "Roseburia"
"2955" "05a16af335356f489cf7dad2efeb921d" 208 "human_gut" 1703 "Roseburia"
"2969" "05a16af335356f489cf7dad2efeb921d" 205 "chemoheterotrophy" 1703 "Roseburia"
"2990" "05a16af335356f489cf7dad2efeb921d" 207 "human_associated" 1703 "Roseburia"
"3088" "05a16af335356f489cf7dad2efeb921d" 204 "animal_parasites_or_symbionts" 1703 "Roseburia"
"4117" "066775a36b43591b07aa900b6f170f64" 229 "fermentation" 8106 "Alistipes"
