"X2" "X1.x" "X3.x" "X1.y" "X3.y"
"1" "003b05010cc977db32aef352dd3a3e58" 8 "fermentation" 8438 "Alistipes"
"2" "003b05010cc977db32aef352dd3a3e58" 7 "chemoheterotrophy" 8438 "Alistipes"
"15" "008ae85e3b9c482cb510dcf3e3de02ac" 11 "animal_parasites_or_symbionts" 4821 "Bifidobacterium"
"27" "008ae85e3b9c482cb510dcf3e3de02ac" 13 "fermentation" 4821 "Bifidobacterium"
"33" "008ae85e3b9c482cb510dcf3e3de02ac" 12 "chemoheterotrophy" 4821 "Bifidobacterium"
"45" "008ae85e3b9c482cb510dcf3e3de02ac" 14 "human_associated" 4821 "Bifidobacterium"
"69" "008ae85e3b9c482cb510dcf3e3de02ac" 15 "human_gut" 4821 "Bifidobacterium"
"123" "008ae85e3b9c482cb510dcf3e3de02ac" 16 "mammal_gut" 4821 "Bifidobacterium"
"771" "00a4271cea34630dfc5c1ba1d6ed1c87" 23 "mammal_gut" 8376 "Oscillospira"
"778" "00bd40d5ee6261285127d090caef33e3" 24 "mammal_gut" 9797 "Oscillospira"
"785" "011dadb6438586829a1240c3a68ccec5" 28 "chemoheterotrophy" 7602 "Akkermansia"
"786" "011dadb6438586829a1240c3a68ccec5" 27 "aerobic_chemoheterotrophy" 7602 "Akkermansia"
"799" "01224e8dc7a7b7ecd999c7c5703b5594" 31 "chemoheterotrophy" 1686 "Barnesiella"
"823" "01224e8dc7a7b7ecd999c7c5703b5594" 32 "fermentation" 1686 "Barnesiella"
"1051" "0235874a04b893c70ec25687bc956708" 63 "fermentation" 1850 "Succinispira"
"1052" "0235874a04b893c70ec25687bc956708" 62 "chemoheterotrophy" 1850 "Succinispira"
"1065" "026335c965ac0c7e47f54a5182f77f38" 73 "human_associated" 3915 "Bifidobacterium"
"1071" "026335c965ac0c7e47f54a5182f77f38" 72 "fermentation" 3915 "Bifidobacterium"
"1083" "026335c965ac0c7e47f54a5182f77f38" 74 "human_gut" 3915 "Bifidobacterium"
"1089" "026335c965ac0c7e47f54a5182f77f38" 70 "animal_parasites_or_symbionts" 3915 "Bifidobacterium"
"1095" "026335c965ac0c7e47f54a5182f77f38" 75 "mammal_gut" 3915 "Bifidobacterium"
"1131" "026335c965ac0c7e47f54a5182f77f38" 71 "chemoheterotrophy" 3915 "Bifidobacterium"
"1821" "026fd7611ae2c3884517a42be3f9dab4" 77 "human_associated" 4368 "Staphylococcus"
"1827" "026fd7611ae2c3884517a42be3f9dab4" 79 "nitrate_reduction" 4368 "Staphylococcus"
"1833" "026fd7611ae2c3884517a42be3f9dab4" 76 "animal_parasites_or_symbionts" 4368 "Staphylococcus"
"1839" "026fd7611ae2c3884517a42be3f9dab4" 78 "human_pathogens_all" 4368 "Staphylococcus"
"1941" "026fd7611ae2c3884517a42be3f9dab4" 80 "ureolysis" 4368 "Staphylococcus"
"2451" "02a91098be73cbd2112bffc70d971db6" 88 "animal_parasites_or_symbionts" 2277 "Prevotella"
"2577" "02da7bf1acdd4bc17b8d959b758107a9" 101 "fermentation" 1648 "Bifidobacterium"
"2583" "02da7bf1acdd4bc17b8d959b758107a9" 103 "human_gut" 1648 "Bifidobacterium"
"2595" "02da7bf1acdd4bc17b8d959b758107a9" 99 "animal_parasites_or_symbionts" 1648 "Bifidobacterium"
"2601" "02da7bf1acdd4bc17b8d959b758107a9" 104 "mammal_gut" 1648 "Bifidobacterium"
"2613" "02da7bf1acdd4bc17b8d959b758107a9" 102 "human_associated" 1648 "Bifidobacterium"
"2619" "02da7bf1acdd4bc17b8d959b758107a9" 100 "chemoheterotrophy" 1648 "Bifidobacterium"
"3333" "036e51d8238623b0021863f6f3a617aa" 129 "chemoheterotrophy" 2475 "Bifidobacterium"
"3339" "036e51d8238623b0021863f6f3a617aa" 128 "animal_parasites_or_symbionts" 2475 "Bifidobacterium"
