"X2" "X1.x" "X3.x" "X1.y" "X3.y"
"1" "008ae85e3b9c482cb510dcf3e3de02ac" 14 "human_associated" 4821 "Bifidobacterium"
"5" "008ae85e3b9c482cb510dcf3e3de02ac" 15 "human_gut" 4821 "Bifidobacterium"
"9" "008ae85e3b9c482cb510dcf3e3de02ac" 13 "fermentation" 4821 "Bifidobacterium"
"17" "008ae85e3b9c482cb510dcf3e3de02ac" 16 "mammal_gut" 4821 "Bifidobacterium"
"21" "008ae85e3b9c482cb510dcf3e3de02ac" 12 "chemoheterotrophy" 4821 "Bifidobacterium"
"33" "008ae85e3b9c482cb510dcf3e3de02ac" 11 "animal_parasites_or_symbionts" 4821 "Bifidobacterium"
"241" "026335c965ac0c7e47f54a5182f77f38" 75 "mammal_gut" 3915 "Bifidobacterium"
"245" "026335c965ac0c7e47f54a5182f77f38" 74 "human_gut" 3915 "Bifidobacterium"
"253" "026335c965ac0c7e47f54a5182f77f38" 72 "fermentation" 3915 "Bifidobacterium"
"261" "026335c965ac0c7e47f54a5182f77f38" 73 "human_associated" 3915 "Bifidobacterium"
"269" "026335c965ac0c7e47f54a5182f77f38" 70 "animal_parasites_or_symbionts" 3915 "Bifidobacterium"
"289" "026335c965ac0c7e47f54a5182f77f38" 71 "chemoheterotrophy" 3915 "Bifidobacterium"
"481" "02da7bf1acdd4bc17b8d959b758107a9" 102 "human_associated" 1648 "Bifidobacterium"
"485" "02da7bf1acdd4bc17b8d959b758107a9" 101 "fermentation" 1648 "Bifidobacterium"
"489" "02da7bf1acdd4bc17b8d959b758107a9" 100 "chemoheterotrophy" 1648 "Bifidobacterium"
"493" "02da7bf1acdd4bc17b8d959b758107a9" 104 "mammal_gut" 1648 "Bifidobacterium"
"505" "02da7bf1acdd4bc17b8d959b758107a9" 103 "human_gut" 1648 "Bifidobacterium"
"541" "02da7bf1acdd4bc17b8d959b758107a9" 99 "animal_parasites_or_symbionts" 1648 "Bifidobacterium"
"721" "036e51d8238623b0021863f6f3a617aa" 131 "human_associated" 2475 "Bifidobacterium"
"725" "036e51d8238623b0021863f6f3a617aa" 130 "fermentation" 2475 "Bifidobacterium"
"729" "036e51d8238623b0021863f6f3a617aa" 132 "human_gut" 2475 "Bifidobacterium"
"733" "036e51d8238623b0021863f6f3a617aa" 133 "mammal_gut" 2475 "Bifidobacterium"
"737" "036e51d8238623b0021863f6f3a617aa" 129 "chemoheterotrophy" 2475 "Bifidobacterium"
"797" "036e51d8238623b0021863f6f3a617aa" 128 "animal_parasites_or_symbionts" 2475 "Bifidobacterium"
"961" "03d9bfd54788deb8553c6795cbef0e62" 152 "chemoheterotrophy" 2208 "Bifidobacterium"
"965" "03d9bfd54788deb8553c6795cbef0e62" 153 "fermentation" 2208 "Bifidobacterium"
"1041" "05a16af335356f489cf7dad2efeb921d" 208 "human_gut" 1703 "Roseburia"
"1042" "05a16af335356f489cf7dad2efeb921d" 209 "mammal_gut" 1703 "Roseburia"
"1043" "05a16af335356f489cf7dad2efeb921d" 207 "human_associated" 1703 "Roseburia"
"1044" "05a16af335356f489cf7dad2efeb921d" 205 "chemoheterotrophy" 1703 "Roseburia"
"1046" "05a16af335356f489cf7dad2efeb921d" 206 "fermentation" 1703 "Roseburia"
"1048" "05a16af335356f489cf7dad2efeb921d" 204 "animal_parasites_or_symbionts" 1703 "Roseburia"
"1071" "06ff8638b352ee96c954872cf0340753" 250 "human_associated" 3096 "Roseburia"
"1072" "06ff8638b352ee96c954872cf0340753" 251 "human_gut" 3096 "Roseburia"
"1074" "06ff8638b352ee96c954872cf0340753" 252 "mammal_gut" 3096 "Roseburia"
"1076" "06ff8638b352ee96c954872cf0340753" 249 "fermentation" 3096 "Roseburia"
"1083" "06ff8638b352ee96c954872cf0340753" 247 "animal_parasites_or_symbionts" 3096 "Roseburia"
"1084" "06ff8638b352ee96c954872cf0340753" 248 "chemoheterotrophy" 3096 "Roseburia"
"1101" "07ca3410b41fe0a7dfe792b56decec4e" 272 "human_gut" 2599 "Bifidobacterium"
"1105" "07ca3410b41fe0a7dfe792b56decec4e" 273 "mammal_gut" 2599 "Bifidobacterium"
"1121" "07ca3410b41fe0a7dfe792b56decec4e" 271 "human_associated" 2599 "Bifidobacterium"
"1129" "07ca3410b41fe0a7dfe792b56decec4e" 270 "fermentation" 2599 "Bifidobacterium"
"1161" "07ca3410b41fe0a7dfe792b56decec4e" 269 "chemoheterotrophy" 2599 "Bifidobacterium"
"1205" "07ca3410b41fe0a7dfe792b56decec4e" 268 "animal_parasites_or_symbionts" 2599 "Bifidobacterium"
"1341" "1263d40c4292297c7d2a4e8eff1b2fb8" 555 "fermentation" 6637 "Cedecea"
"1345" "1263d40c4292297c7d2a4e8eff1b2fb8" 554 "chemoheterotrophy" 6637 "Cedecea"
"1357" "1263d40c4292297c7d2a4e8eff1b2fb8" 556 "nitrate_reduction" 6637 "Cedecea"
"1461" "157a91328b991ae28a96304dd929e093" 636 "mammal_gut" 1564 "Coprococcus"
"1469" "157a91328b991ae28a96304dd929e093" 635 "human_gut" 1564 "Coprococcus"
"1477" "157a91328b991ae28a96304dd929e093" 633 "fermentation" 1564 "Coprococcus"
"1493" "157a91328b991ae28a96304dd929e093" 634 "human_associated" 1564 "Coprococcus"
"1529" "157a91328b991ae28a96304dd929e093" 632 "chemoheterotrophy" 1564 "Coprococcus"
"1541" "157a91328b991ae28a96304dd929e093" 631 "animal_parasites_or_symbionts" 1564 "Coprococcus"
"1701" "17891e2df9310e5b5e0a74661b96b2de" 696 "mammal_gut" 7953 "Roseburia"
"1702" "17891e2df9310e5b5e0a74661b96b2de" 693 "fermentation" 7953 "Roseburia"
"1703" "17891e2df9310e5b5e0a74661b96b2de" 694 "human_associated" 7953 "Roseburia"
"1705" "17891e2df9310e5b5e0a74661b96b2de" 695 "human_gut" 7953 "Roseburia"
"1706" "17891e2df9310e5b5e0a74661b96b2de" 691 "animal_parasites_or_symbionts" 7953 "Roseburia"
"1707" "17891e2df9310e5b5e0a74661b96b2de" 692 "chemoheterotrophy" 7953 "Roseburia"
