"X2" "X1.x" "X3.x" "X1.y" "X3.y"
"1" "000adad1d734252c8f9cfe4f7cf65952" 2 "ureolysis" 4456 "Corynebacterium"
"13" "000adad1d734252c8f9cfe4f7cf65952" 1 "nitrate_reduction" 4456 "Corynebacterium"
"81" "013af94ad9b119c3ef3d66db7033f242" 37 "chitinolysis" 9006 "Lysobacter"
"93" "013af94ad9b119c3ef3d66db7033f242" 36 "chemoheterotrophy" 9006 "Lysobacter"
"161" "020910b74fa218c671bcd0da184e833b" 60 "aerobic_chemoheterotrophy" 10234 "Pedobacter"
"166" "020910b74fa218c671bcd0da184e833b" 61 "chemoheterotrophy" 10234 "Pedobacter"
"311" "023fef4950ec419bb65c2ce5081eb41d" 65 "ureolysis" 6551 "Corynebacterium"
"315" "023fef4950ec419bb65c2ce5081eb41d" 64 "nitrate_reduction" 6551 "Corynebacterium"
"391" "025528471cca12e9adccf268bb830b2a" 67 "sulfate_respiration" 5092 "Desulfovibrio"
"395" "025528471cca12e9adccf268bb830b2a" 66 "respiration_of_sulfur_compounds" 5092 "Desulfovibrio"
"471" "02d920ae74c01901252ac129ce556fe9" 96 "aerobic_chemoheterotrophy" 1280 "Acinetobacter"
"476" "02d920ae74c01901252ac129ce556fe9" 97 "aromatic_compound_degradation" 1280 "Acinetobacter"
"481" "02d920ae74c01901252ac129ce556fe9" 98 "chemoheterotrophy" 1280 "Acinetobacter"
"696" "03232f27516bc0b0a8aac44c639af571" 110 "animal_parasites_or_symbionts" 9875 "Arcobacter"
"704" "03232f27516bc0b0a8aac44c639af571" 112 "human_pathogens_all" 9875 "Arcobacter"
"708" "03232f27516bc0b0a8aac44c639af571" 111 "human_associated" 9875 "Arcobacter"
"816" "033e29773320148b3c672d245c5f1a26" 125 "chemoheterotrophy" 2576 "Acinetobacter"
"836" "033e29773320148b3c672d245c5f1a26" 124 "aromatic_compound_degradation" 2576 "Acinetobacter"
"841" "033e29773320148b3c672d245c5f1a26" 123 "aerobic_chemoheterotrophy" 2576 "Acinetobacter"
"1041" "06c0d5e5ce79db7d32583cf3f8f71d5f" 236 "aerobic_chemoheterotrophy" 10399 "Pedobacter"
"1056" "06c0d5e5ce79db7d32583cf3f8f71d5f" 237 "chemoheterotrophy" 10399 "Pedobacter"
"1191" "08a83349e39e2b2e858cc1d26e722efb" 305 "chemoheterotrophy" 3714 "Dietzia"
"1195" "08a83349e39e2b2e858cc1d26e722efb" 304 "aerobic_chemoheterotrophy" 3714 "Dietzia"
"1271" "0b7518e9cb7205e3bac03d976f79d4d6" 392 "aerobic_chemoheterotrophy" 7246 "Acinetobacter"
"1276" "0b7518e9cb7205e3bac03d976f79d4d6" 393 "aromatic_compound_degradation" 7246 "Acinetobacter"
"1306" "0b7518e9cb7205e3bac03d976f79d4d6" 394 "chemoheterotrophy" 7246 "Acinetobacter"
"1496" "0c1cccbb489c892471d6eb3a53e17622" 410 "aromatic_compound_degradation" 4624 "Acinetobacter"
"1501" "0c1cccbb489c892471d6eb3a53e17622" 411 "chemoheterotrophy" 4624 "Acinetobacter"
"1511" "0c1cccbb489c892471d6eb3a53e17622" 409 "aerobic_chemoheterotrophy" 4624 "Acinetobacter"
"1721" "0ca6e319ee4e21dacb603bd3b0031bfc" 423 "nitrate_reduction" 443 "Corynebacterium"
"1725" "0ca6e319ee4e21dacb603bd3b0031bfc" 424 "ureolysis" 443 "Corynebacterium"
"1801" "0e84376ef7099a1a9e352e8759de4637" 458 "chemoheterotrophy" 7121 "Pedobacter"
"1811" "0e84376ef7099a1a9e352e8759de4637" 457 "aerobic_chemoheterotrophy" 7121 "Pedobacter"
"1951" "0eaa240ff8d0cfd34df58c3a1cf86d8e" 459 "chemoheterotrophy" 10372 "Lysobacter"
"1959" "0eaa240ff8d0cfd34df58c3a1cf86d8e" 460 "chitinolysis" 10372 "Lysobacter"
"2031" "0ec6cc49748fca58689b2a9ef5f3ed16" 462 "chitinolysis" 10866 "Lysobacter"
"2035" "0ec6cc49748fca58689b2a9ef5f3ed16" 461 "chemoheterotrophy" 10866 "Lysobacter"
"2111" "0ec7f3aadb7fbf4c316eb14c54ad2c93" 464 "aromatic_compound_degradation" 289 "Acinetobacter"
"2116" "0ec7f3aadb7fbf4c316eb14c54ad2c93" 463 "aerobic_chemoheterotrophy" 289 "Acinetobacter"
"2136" "0ec7f3aadb7fbf4c316eb14c54ad2c93" 465 "chemoheterotrophy" 289 "Acinetobacter"
"2336" "0eef3310f445c5a9157f2af5cef7f31c" 473 "aromatic_compound_degradation" 4934 "Acinetobacter"
"2341" "0eef3310f445c5a9157f2af5cef7f31c" 474 "chemoheterotrophy" 4934 "Acinetobacter"
"2346" "0eef3310f445c5a9157f2af5cef7f31c" 472 "aerobic_chemoheterotrophy" 4934 "Acinetobacter"
"2561" "0fd749be73cb787e08103c1066f49b15" 492 "chemoheterotrophy" 2279 "Lysobacter"
"2569" "0fd749be73cb787e08103c1066f49b15" 493 "chitinolysis" 2279 "Lysobacter"
"2641" "107f691f9ab334c2f54aa68c86f926e4" 510 "chemoheterotrophy" 6377 "Lysobacter"
"2649" "107f691f9ab334c2f54aa68c86f926e4" 511 "chitinolysis" 6377 "Lysobacter"
"2721" "1086c1e69d45ed513f60587fb7400ee5" 513 "chemoheterotrophy" 9734 "Pedobacter"
"2731" "1086c1e69d45ed513f60587fb7400ee5" 512 "aerobic_chemoheterotrophy" 9734 "Pedobacter"
"2871" "140126382a84356c4039b967c1d4f974" 591 "chemoheterotrophy" 3388 "Dietzia"
"2875" "140126382a84356c4039b967c1d4f974" 590 "aerobic_chemoheterotrophy" 3388 "Dietzia"
"2951" "162efe54895885f3c8d51156f4fad0a2" 658 "chemoheterotrophy" 6483 "Corynebacterium"
"2963" "162efe54895885f3c8d51156f4fad0a2" 659 "fermentation" 6483 "Corynebacterium"
"3031" "166e6adb77fa6a65f67ff8649b324e34" 669 "aerobic_chemoheterotrophy" 231 "Acinetobacter"
"3036" "166e6adb77fa6a65f67ff8649b324e34" 671 "chemoheterotrophy" 231 "Acinetobacter"
"3041" "166e6adb77fa6a65f67ff8649b324e34" 670 "aromatic_compound_degradation" 231 "Acinetobacter"
"3256" "167545fd124144bd6981dc542e81530d" 672 "nitrate_reduction" 1068 "Corynebacterium"
"3260" "167545fd124144bd6981dc542e81530d" 673 "ureolysis" 1068 "Corynebacterium"
"3336" "1722438a32ddcf5ab79abc1159dab561" 685 "sulfate_respiration" 6221 "Desulfovibrio"
"3340" "1722438a32ddcf5ab79abc1159dab561" 682 "nitrate_respiration" 6221 "Desulfovibrio"
"3344" "1722438a32ddcf5ab79abc1159dab561" 681 "nitrate_reduction" 6221 "Desulfovibrio"
"3348" "1722438a32ddcf5ab79abc1159dab561" 683 "nitrogen_respiration" 6221 "Desulfovibrio"
"3352" "1722438a32ddcf5ab79abc1159dab561" 684 "respiration_of_sulfur_compounds" 6221 "Desulfovibrio"
"3536" "17d3591d62dd3017c724250f720cb4fb" 704 "human_pathogens_all" 4735 "Corynebacterium"
"3544" "17d3591d62dd3017c724250f720cb4fb" 703 "human_associated" 4735 "Corynebacterium"
"3552" "17d3591d62dd3017c724250f720cb4fb" 702 "animal_parasites_or_symbionts" 4735 "Corynebacterium"
"3656" "18e98d12eb02aae5358b0a03ca93873d" 722 "aromatic_compound_degradation" 1623 "Acinetobacter"
"3661" "18e98d12eb02aae5358b0a03ca93873d" 721 "aerobic_chemoheterotrophy" 1623 "Acinetobacter"
"3666" "18e98d12eb02aae5358b0a03ca93873d" 723 "chemoheterotrophy" 1623 "Acinetobacter"
"3881" "1db4d30c8a48a13c0696b8efea8d98e9" 855 "chemoheterotrophy" 795 "Alkalibacterium"
"3891" "1db4d30c8a48a13c0696b8efea8d98e9" 856 "fermentation" 795 "Alkalibacterium"
"4031" "1dc9cb3f556b8ea3f1b2ec2649b66513" 865 "chemoheterotrophy" 1486 "Corynebacterium"
"4035" "1dc9cb3f556b8ea3f1b2ec2649b66513" 867 "nitrate_reduction" 1486 "Corynebacterium"
"4059" "1dc9cb3f556b8ea3f1b2ec2649b66513" 866 "fermentation" 1486 "Corynebacterium"
"4151" "1e1d2fda89de4f028aeabe509573858f" 873 "dark_hydrogen_oxidation" 7088 "Desulfovibrio"
"4159" "1e1d2fda89de4f028aeabe509573858f" 872 "chemoheterotrophy" 7088 "Desulfovibrio"
"4163" "1e1d2fda89de4f028aeabe509573858f" 879 "thiosulfate_respiration" 7088 "Desulfovibrio"
"4171" "1e1d2fda89de4f028aeabe509573858f" 875 "fermentation" 7088 "Desulfovibrio"
"4175" "1e1d2fda89de4f028aeabe509573858f" 874 "dark_sulfite_oxidation" 7088 "Desulfovibrio"
"4187" "1e1d2fda89de4f028aeabe509573858f" 878 "sulfur_respiration" 7088 "Desulfovibrio"
"4191" "1e1d2fda89de4f028aeabe509573858f" 876 "respiration_of_sulfur_compounds" 7088 "Desulfovibrio"
"4223" "1e1d2fda89de4f028aeabe509573858f" 877 "sulfate_respiration" 7088 "Desulfovibrio"
"4471" "1e8642b58b382085726b6594cbb81e56" 888 "chemoheterotrophy" 1038 "Lysobacter"
"4475" "1e8642b58b382085726b6594cbb81e56" 889 "chitinolysis" 1038 "Lysobacter"
"4551" "205719eea02e10c0ed97a1f8e7c95d9a" 947 "aerobic_chemoheterotrophy" 2442 "Acinetobacter"
"4561" "205719eea02e10c0ed97a1f8e7c95d9a" 948 "aromatic_compound_degradation" 2442 "Acinetobacter"
"4571" "205719eea02e10c0ed97a1f8e7c95d9a" 949 "chemoheterotrophy" 2442 "Acinetobacter"
"4776" "20cce44a4030ba5d87e7cc467b9da469" 966 "nitrate_reduction" 116 "Corynebacterium"
"4780" "20cce44a4030ba5d87e7cc467b9da469" 965 "fermentation" 116 "Corynebacterium"
"4788" "20cce44a4030ba5d87e7cc467b9da469" 964 "chemoheterotrophy" 116 "Corynebacterium"
"4896" "213c99f7b86d786fdd33305fd13468fb" 993 "respiration_of_sulfur_compounds" 1977 "Desulfovibrio"
"4900" "213c99f7b86d786fdd33305fd13468fb" 994 "sulfate_respiration" 1977 "Desulfovibrio"
"4976" "21a353aed4c7ef381721d617c23b53ac" 996 "ureolysis" 3078 "Corynebacterium"
"4984" "21a353aed4c7ef381721d617c23b53ac" 995 "nitrate_reduction" 3078 "Corynebacterium"
"5056" "21ef50e86f200bc9a6738c4c0e2f8fa7" 999 "nitrate_reduction" 2146 "Corynebacterium"
"5064" "21ef50e86f200bc9a6738c4c0e2f8fa7" 997 "chemoheterotrophy" 2146 "Corynebacterium"
"5076" "21ef50e86f200bc9a6738c4c0e2f8fa7" 998 "fermentation" 2146 "Corynebacterium"
"5176" "222870fe2787ccf99eaedba3524cb99e" 1004 "chemoheterotrophy" 10377 "Pedobacter"
"5181" "222870fe2787ccf99eaedba3524cb99e" 1003 "aerobic_chemoheterotrophy" 10377 "Pedobacter"
"5326" "223eeec31df56484896cdb77a4b9d4f5" 1005 "aerobic_chemoheterotrophy" 1095 "Pedobacter"
"5331" "223eeec31df56484896cdb77a4b9d4f5" 1006 "chemoheterotrophy" 1095 "Pedobacter"
"5476" "22a5cba8be32bfb9b7a0ea9e416ff777" 1017 "aerobic_chemoheterotrophy" 904 "Acinetobacter"
"5481" "22a5cba8be32bfb9b7a0ea9e416ff777" 1018 "aromatic_compound_degradation" 904 "Acinetobacter"
"5506" "22a5cba8be32bfb9b7a0ea9e416ff777" 1019 "chemoheterotrophy" 904 "Acinetobacter"
"5701" "22dc16777453b3c7677ec9f0563ef091" 1022 "aerobic_chemoheterotrophy" 175 "Acinetobacter"
"5711" "22dc16777453b3c7677ec9f0563ef091" 1024 "chemoheterotrophy" 175 "Acinetobacter"
"5716" "22dc16777453b3c7677ec9f0563ef091" 1023 "aromatic_compound_degradation" 175 "Acinetobacter"
"5926" "23726536a9d89608427f673f613a7ca9" 1041 "nitrate_reduction" 6946 "Corynebacterium"
"5930" "23726536a9d89608427f673f613a7ca9" 1042 "ureolysis" 6946 "Corynebacterium"
"6006" "239c8b7bc2b63d60bada6a0142f928ae" 1046 "nitrate_reduction" 3326 "Corynebacterium"
