"","x"
"1","Elizabethkingia"
"2","Streptococcus"
"3","Enhydrobacter"
"4","Arthrobacter"
"5","Acinetobacter"
"6","Rothia"
"7","Helcobacillus"
"8","Deinococcus"
"9","Kocuria"
"10","Helicobacter"
"11","Rhizobium"
"12","Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas"
"13","Sphingobium"
"14","Bergeyella"
"15","Rheinheimera"
"16","Brevundimonas"
"17","Gulbenkiania"
"18","Aeromonas"
"19","Caldimonas"
"20","Methylotenera"
"21","Aurantimonas"
"22","Sphingobacterium"
"23","Pelomonas"
"24","Sphingomonas"
"25","Deinobacterium"
