"","x"
"1","Corynebacterium"
"2","Atopococcus"
"3","Macrococcus"
"4","Micrococcus"
"5","Millisia"
"6","Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium"
"7","Atopostipes"
"8","Roseburia"
"9","Granulicatella"
"10","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium"
"11","Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium"
"12","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus"
"13","Kribbia"
"14","Bacteria_Firmicutes_Bacilli_Bacillales_Planococcaceae_Bacillus"
"15","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium"
"16","Prevotella"
"17","Lactobacillus"
"18","Lactonifactor"
"19","Trueperella"
"20","Kurthia"
"21","ph2"
"22","Lysobacter"
"23","GW-34"
"24","Flavobacterium"
"25","Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas"
"26","Serinibacter"
"27","Petrimonas"
"28","[Prevotella]"
"29","Alkalibacterium"
"30","Anaerorhabdus"
