"","x"
"1","Macrococcus"
"2","Atopococcus"
"3","Rothia"
"4","Corynebacterium"
"5","Staphylococcus"
"6","Enhydrobacter"
"7","Micrococcus"
"8","Arthrobacter"
"9","Helcobacillus"
"10","Atopostipes"
"11","Granulicatella"
"12","Millisia"
"13","Ornithinimicrobium"
"14","Trueperella"
"15","Dietzia"
"16","Deinococcus"
"17","Bacteria_Firmicutes_Bacilli_Bacillales_Planococcaceae_Bacillus"
"18","Nocardioides"
"19","GW-34"
"20","ph2"
"21","Kurthia"
"22","Weissella"
"23","Papillibacter"
"24","Kribbia"
"25","Caldimonas"
"26","Lactonifactor"
"27","Isobaculum"
"28","Serinibacter"
"29","Albidovulum"
"30","Akkermansia"
"31","Alkalibacterium"
"32","Moraxella"
"33","Massilia"
