"","x"
"1","Streptococcus"
"2","Atopococcus"
"3","Ornithinimicrobium"
"4","Succinispira"
"5","Rothia"
"6","Helcobacillus"
"7","Micrococcus"
"8","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium"
"9","Weissella"
"10","Ochrobactrum"
"11","Petrimonas"
"12","Bacteria_Firmicutes_Bacilli_Bacillales_Planococcaceae_Bacillus"
"13","Prevotella"
"14","Akkermansia"
"15","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus"
"16","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Bacteroides"
"17","Roseburia"
"18","Atopostipes"
"19","Lysobacter"
"20","Lactonifactor"
"21","Macellibacteroides"
"22","Barnesiella"
"23","Oscillospira"
"24","Sphingobium"
"25","Bacteria_Proteobacteria_Betaproteobacteria_Neisseriales_Neisseriaceae_Vitreoscilla"
"26","Simkania"
