"","x"
"1","Micrococcus"
"2","Arthrobacter"
"3","Staphylococcus"
"4","Helcobacillus"
"5","Novosphingobium"
"6","Ornithinimicrobium"
"7","Dietzia"
"8","Kurthia"
"9","Sphingobium"
"10","Bacteria_Firmicutes_Bacilli_Bacillales_Planococcaceae_Bacillus"
"11","Nocardioides"
"12","Kribbia"
"13","Lysobacter"
"14","Flavobacterium"
"15","Deinococcus"
"16","Desulfovibrio"
"17","Arcobacter"
"18","Albidovulum"
"19","Sphingomonas"
"20","Porphyrobacter"
"21","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Ruminococcus"
"22","Haloplasma"
