"","x"
"1","Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium"
"2","Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium"
"3","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus"
"4","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium"
"5","[Clostridium]"
"6","Prevotella"
"7","Atopostipes"
"8","Lactobacillus"
"9","Collinsella"
"10","Succinivibrio"
"11","Selenomonas"
"12","Anaerobiospirillum"
"13","Dorea"
"14","Flavobacterium"
"15","Psychrobacter"
"16","Wautersiella"
"17","Arcobacter"
