"","x"
"1","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides"
"2","Succinispira"
"3","Roseburia"
"4","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium"
"5","Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium"
"6","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus"
"7","Alistipes"
"8","Lactobacillus"
"9","Lactonifactor"
"10","[Clostridium]"
"11","Macellibacteroides"
"12","Akkermansia"
"13","Sporobacter"
"14","[Prevotella]"
