"","x"
"1","Kocuria"
"2","Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium"
"3","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus"
"4","[Clostridium]"
"5","Roseburia"
"6","Psychrobacter"
"7","Flavobacterium"
"8","Kurthia"
"9","Wautersiella"
"10","Helcococcus"
"11","Petrimonas"
"12","Sporobacter"
"13","Lactonifactor"
"14","Campylobacter"
"15","Barnesiella"
"16","Acholeplasma"
"17","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Bacteroides"
"18","Macellibacteroides"
"19","Akkermansia"
"20","Oscillospira"
