"from","to","weight","association"
1,2,0.491360831873394,1
2,4,0.528066108620683,1
3,4,0.457904849232109,1
4,5,0.151660005259002,-1
5,6,0.463020949765201,1
4,7,0.514799888839625,1
5,7,0.148453581390236,-1
1,8,0.469044327724851,1
2,8,0.555514718556266,1
4,8,0.534559705393897,1
7,8,0.477154392081592,1
3,9,0.463447813352485,1
4,9,0.554285736209423,1
5,10,0.489052254527974,1
7,10,0.160607184194467,-1
4,11,0.160626063190381,-1
5,11,0.600176330853409,1
6,11,0.502531536854636,1
7,11,0.16259927271615,-1
10,11,0.515223394513317,1
1,12,0.160794578972353,-1
5,12,0.466986096502421,1
7,12,0.152942745057137,-1
11,12,0.50383552582318,1
1,13,0.47484194386502,1
2,13,0.501811018090782,1
10,13,0.149408625374166,-1
5,14,0.465825293258665,1
4,15,0.158028355402443,-1
5,15,0.567395257270365,1
7,15,0.121369413504662,-1
11,15,0.474117696940144,1
3,16,0.159863254833855,-1
5,16,0.488119114829725,1
7,16,0.146450488639842,-1
11,16,0.474212478037184,1
15,16,0.530172232464744,1
1,17,0.150782601181748,-1
13,17,0.152994845541774,-1
5,18,0.454747886440966,1
7,18,0.151349443047841,-1
11,18,0.480102708078557,1
12,18,0.479075226473454,1
14,18,0.47395196428463,1
17,18,0.48535398741514,1
2,19,0.477385997533821,1
10,19,0.154454407678405,-1
13,19,0.496361169887706,1
5,20,0.45465729677991,1
7,20,0.159463990546961,-1
16,20,0.489450884102751,1
17,20,0.4602606127037,1
18,20,0.506370064459847,1
2,21,0.524949352601547,1
8,21,0.513575557779998,1
10,21,0.157888371871669,-1
10,22,0.456790333557791,1
12,23,0.465276350095601,1
14,23,0.47298040656605,1
18,23,0.469558739071317,1
20,23,0.476268377693524,1
1,24,0.15496621357612,-1
5,24,0.541505117840279,1
7,24,0.143795929059706,-1
10,24,0.520597811865028,1
11,24,0.468569406587679,1
14,24,0.559445416603486,1
17,24,0.511340786407428,1
18,24,0.476593132489601,1
19,24,0.16046095914033,-1
20,24,0.468240039876389,1
21,24,0.156759879569306,-1
23,24,0.458222273683091,1
5,26,0.460126400482105,1
7,26,0.142404710583502,-1
10,26,0.471878845750714,1
11,26,0.46344311669416,1
12,26,0.454763157723227,1
14,26,0.454061288451976,1
17,26,0.465811603651497,1
18,26,0.473980239278052,1
24,26,0.476397056986063,1
4,27,0.483537176324762,1
9,27,0.475472137516683,1
14,28,0.489229939606417,1
17,28,0.466949228749473,1
20,28,0.464809774608749,1
24,28,0.493302936699071,1
7,29,0.458792728769212,1
5,30,0.474621471025438,1
11,30,0.497556588903164,1
16,30,0.481120481228459,1
7,31,0.452932211511559,1
29,31,0.597455694249831,1
8,32,0.478820611445854,1
25,33,0.490784607434083,1
14,35,0.505763429723823,1
24,35,0.492026564625671,1
10,36,0.147036296244438,-1
13,36,0.562647589247835,1
17,36,0.161095660428954,-1
19,36,0.502030633550069,1
24,36,0.154471257695307,-1
31,36,0.453862452105025,1
1,38,0.478194021774855,1
2,38,0.539503406986343,1
7,38,0.462969824807751,1
8,38,0.477838943085142,1
10,38,0.128322036891706,-1
11,38,0.144368808634818,-1
12,38,0.149558846884389,-1
13,38,0.547332309708078,1
17,38,0.145176731171158,-1
18,38,0.156844647108017,-1
19,38,0.48158464385031,1
21,38,0.482797378682458,1
24,38,0.157467163220304,-1
31,38,0.47116662753667,1
32,38,0.487520539766239,1
36,38,0.517069582003291,1
4,39,0.498053604847747,1
7,39,0.477673547690289,1
12,39,0.158930339963866,-1
1,40,0.454947219675705,1
2,40,0.526792189556228,1
4,40,0.457519648164238,1
7,40,0.46347003278877,1
8,40,0.458284554044939,1
10,40,0.141817850224741,-1
11,40,0.15621678125767,-1
12,40,0.158773716796052,-1
13,40,0.556998653901736,1
17,40,0.158108452576553,-1
18,40,0.162116938663554,-1
21,40,0.48192992631588,1
24,40,0.156123140755084,-1
32,40,0.453343515761196,1
36,40,0.513184411122473,1
38,40,0.60374539584007,1
15,41,0.486564812802687,1
24,41,0.464713409279521,1
35,41,0.459626805592183,1
37,42,0.457805053545016,1
22,43,0.47581335490755,1
41,44,0.476500810421718,1
8,45,0.470911388048009,1
12,45,0.154158343970059,-1
21,45,0.553414466023269,1
5,47,0.511190215239369,1
11,47,0.511457337752339,1
15,47,0.483256528541408,1
16,47,0.485189122747369,1
30,47,0.565111304711495,1
46,47,0.47600739950164,1
4,48,0.148218715366748,-1
5,48,0.520907669450217,1
11,48,0.539093893875657,1
15,48,0.485118465706289,1
16,48,0.472463954071099,1
30,48,0.557150097892983,1
47,48,0.572649994071981,1
10,49,0.149232740516902,-1
13,49,0.460428476659336,1
14,49,0.15154502138439,-1
19,49,0.494370021696326,1
21,49,0.466913224925432,1
24,49,0.146050969351365,-1
36,49,0.536606892525827,1
38,49,0.481851694186808,1
40,49,0.484326485008311,1
45,49,0.466482922798069,1
11,50,0.452632588446794,1
17,50,0.455861833485687,1
24,50,0.468586996970163,1
34,51,0.482518947602856,1
2,52,0.468035331255184,1
10,52,0.152061647979571,-1
13,52,0.547447232537553,1
19,52,0.494407955985398,1
36,52,0.528317128328828,1
38,52,0.533881450673462,1
40,52,0.49846519726241,1
49,52,0.491951519298085,1
