"index","lable","cluster","hubs","degree"
1,"Streptococcus",1,0,0.0808080808080808
2,"Elizabethkingia",1,0,0.0909090909090909
3,"Staphylococcus",2,0,0.0404040404040404
4,"Enhydrobacter",2,0,0.131313131313131
5,"Atopococcus",7,1,0.181818181818182
6,"Corynebacterium",7,0,0.0202020202020202
7,"Kocuria",2,0,0.181818181818182
8,"Acinetobacter",1,0,0.0909090909090909
9,"Rothia",2,0,0.0303030303030303
10,"Micrococcus",3,0,0.141414141414141
11,"Millisia",7,1,0.171717171717172
12,"Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium",6,0,0.111111111111111
13,"Lactococcus",1,0,0.111111111111111
14,"Succinispira",6,0,0.0909090909090909
15,"Granulicatella",7,0,0.101010101010101
16,"Atopostipes",7,0,0.101010101010101
17,"Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium",6,0,0.111111111111111
18,"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus",6,0,0.121212121212121
19,"Alkanindiges",1,0,0.0808080808080808
20,"Roseburia",6,0,0.0808080808080808
21,"Rhizobium",1,0,0.0808080808080808
22,"Ornithinimicrobium",3,0,0.0303030303030303
23,"Prevotella",6,0,0.0505050505050505
24,"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium",6,1,0.222222222222222
25,"Faecalibacterium",9,0,0
26,"[Clostridium]",6,0,0.0909090909090909
27,"Deinococcus",2,0,0.0202020202020202
28,"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium",6,0,0.0404040404040404
29,"Bordetella",2,0,0.0303030303030303
30,"Trueperella",7,0,0.0707070707070707
31,"Ochrobactrum",2,0,0.0505050505050505
32,"Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas",1,0,0.0303030303030303
33,"Collinsella",9,0,0
34,"Lactobacillus",8,0,0
35,"Alistipes",6,0,0.0303030303030303
36,"Nonlabens",1,0,0.111111111111111
37,"Helicobacter",5,0,0
38,"Pedobacter",1,1,0.202020202020202
39,"Aeromonas",2,0,0.0303030303030303
40,"Pseudoxanthomonas",1,1,0.181818181818182
41,"CF231",4,0,0.0606060606060606
42,"Rheinheimera",5,0,0
43,"Dietzia",3,0,0.0101010101010101
44,"Treponema",4,0,0.0101010101010101
45,"Brevundimonas",1,0,0.0505050505050505
46,"Kribbia",7,0,0.0202020202020202
47,"ph2",7,0,0.0909090909090909
48,"GW-34",7,0,0.0909090909090909
49,"Bdellovibrio",1,0,0.121212121212121
50,"Lactonifactor",6,0,0.0303030303030303
51,"Pediococcus",8,0,0
52,"Snodgrassella",1,0,0.0909090909090909
53,"Nocardioides",3,0,0.0101010101010101
54,"Anaerobiospirillum",4,0,0.0101010101010101
55,"Sphingobacterium",2,0,0.0101010101010101
56,"Kerstersia",2,0,0.0202020202020202
57,"Papillibacter",7,0,0.0404040404040404
58,"Dorea",9,0,0
59,"Helcococcus",7,0,0.0404040404040404
60,"Butyricicoccus",9,0,0
61,"Gulbenkiania",2,0,0.0101010101010101
62,"Petrimonas",7,0,0.0202020202020202
63,"Aurantimonas",1,0,0.0202020202020202
64,"Serinibacter",7,0,0.0202020202020202
65,"Barnesiella",4,0,0.0404040404040404
66,"Gluconacetobacter",1,0,0.0505050505050505
67,"Oscillospira",4,0,0.0101010101010101
