"from","to","weight","association"
2,3,0.321924826465061,1
3,5,0.30939194655092,1
2,10,0.298836381030729,1
3,10,0.344821569858575,1
4,11,0.296475503609245,1
5,11,0.366701001229117,1
2,13,0.284252091935428,-1
11,14,0.335724817376539,1
12,14,0.304980713194339,1
1,16,0.35035799957195,1
6,16,0.389033962430885,1
7,16,0.329744429477123,1
12,16,0.362190959751312,1
13,17,0.300774529931012,1
6,20,0.399159316677908,1
9,20,0.263245929707162,-1
20,21,0.36480591335947,1
17,24,0.379426753468754,1
19,24,0.296967183111413,1
23,24,0.317944008383106,1
13,25,0.297329820989059,1
3,26,0.309665776997817,1
21,27,0.315158966109307,1
24,27,0.391817710172173,1
3,28,0.308288195968317,1
10,28,0.317012079118151,1
12,29,0.310098060623585,1
17,30,0.307241884961437,1
19,30,0.326212249338588,1
24,30,0.362453343985817,1
27,30,0.294849759729843,1
6,31,0.305259829029048,1
19,31,0.318072627163138,1
23,31,0.359871857441495,1
17,33,0.326274625118666,1
19,33,0.33187836422638,1
23,33,0.352826954274623,1
24,33,0.306617589841572,1
5,34,0.297805233019481,1
11,34,0.306778001742051,1
14,34,0.298605180099787,1
19,35,0.319687453107715,1
27,35,0.309281399471818,1
31,35,0.325085184856194,1
15,36,0.294077503758062,1
30,36,0.301307828587404,1
16,38,0.301686426345578,1
37,39,0.523875987529868,1
10,40,0.307418344108036,1
24,42,0.29308069618744,1
35,42,0.296632831313474,1
19,43,0.358127605156061,1
31,43,0.307655405273845,1
8,44,0.29267724733899,-1
12,44,0.268462932642358,-1
18,44,0.347579811596185,1
32,45,0.395263088732669,1
9,46,0.29437056581664,1
10,46,0.312899402310856,1
26,46,0.301742868517416,1
40,46,0.319607827836926,1
22,47,0.296763342615736,1
5,48,0.31385992121954,1
7,48,0.286649829337738,-1
40,48,0.295759693333138,1
45,48,0.295315563107067,1
3,49,0.307857552501565,1
5,49,0.293151146131688,1
9,49,0.298031288031505,1
18,49,0.303394759584751,1
46,49,0.490760232909268,1
20,50,0.309649592834643,1
31,50,0.304406561562918,1
1,51,0.309580612396783,1
45,51,0.351094454961383,1
47,51,0.337498534591917,1
14,52,0.340717745463876,1
16,52,0.296689405241681,1
29,52,0.327231760586972,1
27,53,0.320951705698384,1
30,53,0.292947081829395,1
43,53,0.333856281498583,1
44,53,0.285562723932421,-1
50,53,0.321961171088177,1
28,54,0.403213989008008,1
45,54,0.323652302333615,1
7,55,0.296733236756399,1
12,55,0.307366131592191,1
6,56,0.360716120065701,1
21,56,0.311829271317533,1
33,56,0.298317546605773,1
38,56,0.422136203172581,1
55,56,0.302230747465461,1
6,57,0.342508456544466,1
16,57,0.310752185959477,1
38,57,0.302770102951944,1
48,57,0.278174472331794,-1
56,57,0.307245209333474,1
26,58,0.296915620421877,1
28,58,0.362121968376996,1
44,58,0.347664833084663,1
23,59,0.32654447631758,1
24,59,0.310794032077443,1
31,59,0.316174383511933,1
35,59,0.334525163018824,1
12,60,0.328851887561662,1
42,61,0.451788166545123,1
47,62,0.29952444595574,1
56,62,0.297341774977752,1
2,63,0.301172231331395,1
3,63,0.321576422603264,1
18,63,0.370109590366566,1
44,63,0.369124616210739,1
46,63,0.301469900487774,1
58,63,0.304208117601925,1
4,64,0.311323480817762,1
8,64,0.294147106358785,1
11,64,0.296262974231647,1
14,64,0.304127450276728,1
61,64,0.293213804487743,1
12,65,0.294099915280645,1
20,65,0.294056095683124,1
21,65,0.305706139399986,1
55,65,0.322191019726049,1
7,66,0.321381627057227,1
18,66,0.283797870039603,-1
29,66,0.467291795042083,1
52,66,0.32587958762533,1
60,66,0.33194910102944,1
61,67,0.311115404780413,1
62,67,0.304474754312328,1
17,68,0.29705470371768,1
27,68,0.293982771395673,1
50,68,0.300037441208881,1
53,68,0.299935840205581,1
57,68,0.297787406617365,1
2,69,0.308052351176555,1
9,69,0.358773892303861,1
14,70,0.310614424716923,1
66,70,0.308467124646369,1
4,71,0.259783775062519,-1
9,71,0.289712520205493,-1
13,71,0.293885919946707,1
17,71,0.320919276484698,1
24,71,0.300398329621156,1
27,71,0.30307824104346,1
41,71,0.310730512148208,1
68,71,0.301177865116023,1
69,71,0.291797288318088,-1
19,72,0.306903158868611,1
45,72,0.293336342044694,1
8,73,0.322091127543037,1
37,73,0.329535765303741,1
64,73,0.303112390384833,1
66,73,0.319927589738504,1
69,73,0.306251693063947,1
55,74,0.333977370313249,1
6,75,0.311247478971691,1
19,75,0.299989850773926,1
20,75,0.295881469002776,1
31,75,0.325452330542538,1
43,75,0.318783178132451,1
8,76,0.28980991878258,-1
15,76,0.317219136877601,1
32,76,0.328478852242156,1
41,76,0.52503220400675,1
19,77,0.331846795180902,1
35,77,0.326055150651511,1
59,77,0.305188473066357,1
62,77,0.300296903561684,1
72,77,0.320884735628792,1
55,78,0.326951587672447,1
60,78,0.310870102524365,1
64,78,0.31084998468349,1
74,78,0.302766198736041,1
19,79,0.317561608789457,1
24,79,0.294111990353442,1
43,79,0.327572103611465,1
59,79,0.297935143827735,1
60,79,0.293442835770674,1
17,80,0.297284160096615,1
56,80,0.363371659243617,1
57,80,0.34804469876646,1
18,81,0.278763812141752,-1
13,82,0.293407156586079,1
38,82,0.300182515557511,1
39,82,0.291390813538108,-1
57,82,0.320238673754526,1
68,82,0.299378250019953,1
69,82,0.292173160577107,-1
71,82,0.297132860231252,1
35,83,0.322887657807218,1
71,83,0.297010757477064,1
72,83,0.308452274001304,1
76,83,0.380722689019366,1
80,83,0.301247073055181,1
7,84,0.295716551494199,1
45,84,0.275174007072608,-1
50,84,0.305628893595855,1
61,84,0.295515276284979,1
73,84,0.318068939576477,1
25,85,0.282456079091055,-1
42,85,0.328244709575614,1
67,85,0.327820583467064,1
80,85,0.293735031156312,1
83,85,0.364897950617784,1
5,86,0.385837193285093,1
8,86,0.313921982710267,1
10,86,0.328658184091001,1
11,86,0.295670444911952,1
34,86,0.313729773600269,1
47,86,0.310709572073029,1
48,86,0.332744617291812,1
54,86,0.297559074083224,1
64,86,0.361791441814346,1
69,86,0.414223694740952,1
26,87,0.253721902679738,-1
34,87,0.291252617988259,-1
48,87,0.289022192363901,-1
57,87,0.33067742288412,1
62,87,0.317390279717664,1
82,87,0.475047131152268,1
7,88,0.294264378661995,1
31,88,0.320378151228914,1
33,88,0.302994608038067,1
48,88,0.289494001112001,-1
56,88,0.34396917831711,1
57,88,0.320185205705182,1
59,88,0.299037450004249,1
54,89,0.377104418186547,1
6,90,0.293375422985786,1
7,90,0.317087956737239,1
38,90,0.297183591396223,1
55,90,0.420245625886995,1
57,90,0.331211408738841,1
37,91,0.32195347921921,1
41,91,0.275292938122072,-1
69,91,0.301286868469873,1
73,91,0.317035700440467,1
84,91,0.306495791532976,1
8,92,0.304001990757662,1
22,92,0.299821159852338,1
34,92,0.303190086560823,1
73,92,0.431687223772916,1
85,92,0.279253914862205,-1
39,93,0.323065002847474,1
40,93,0.293445706752173,1
45,94,0.304758988548628,1
47,94,0.295068008392765,1
52,94,0.29436993537647,1
89,94,0.298539812786626,1
19,95,0.296725828077344,1
21,95,0.302811176071036,1
30,95,0.301604648500521,1
50,95,0.351199423801005,1
68,95,0.371243821231581,1
71,95,0.363046229723344,1
80,95,0.332819577597193,1
88,95,0.311210158697976,1
25,96,0.266246150837792,-1
26,96,0.297436173781472,1
47,96,0.279396045741675,-1
63,96,0.474637370193954,1
19,97,0.301897887208201,1
24,97,0.355787055796312,1
42,97,0.311455066239522,1
76,97,0.319011477442589,1
78,97,0.32116097443076,1
79,97,0.303894136400713,1
85,97,0.295285946791909,1
20,98,0.298880089022537,1
43,98,0.341217878740216,1
50,98,0.39484463829548,1
53,98,0.331792031408784,1
62,98,0.318216657560773,1
75,98,0.309173179725934,1
77,98,0.32187927009029,1
84,98,0.301097383398715,1
7,99,0.304798280295478,1
12,99,0.30351112451174,1
62,99,0.301169199907189,1
19,100,0.399558550901941,1
65,100,0.302618897355695,1
75,100,0.337796990733187,1
97,100,0.305988773446975,1
99,100,0.365540406704716,1
