"index","lable","cluster","hubs","degree"
1,"Macrococcus",4,0,2
2,"Streptococcus",2,0,5
3,"Elizabethkingia",2,0,7
4,"Staphylococcus",3,0,3
5,"Enhydrobacter",3,0,6
6,"Atopococcus",1,0,7
7,"Corynebacterium",1,0,8
8,"Arthrobacter",3,0,6
9,"Kocuria",2,0,5
10,"Acinetobacter",2,0,6
11,"Rothia",3,0,6
12,"Micrococcus",1,0,8
13,"Bifidobacterium",2,0,5
14,"Helcobacillus",3,0,6
15,"Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides",4,0,2
16,"Millisia",1,0,7
17,"Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium",6,0,7
18,"Lactococcus",2,0,5
19,"Succinispira",6,1,13
20,"Granulicatella",6,0,7
21,"Atopostipes",6,0,5
22,"Novosphingobium",4,0,2
23,"Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium",6,0,4
24,"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus",6,1,11
25,"Lacticigenium",2,0,3
26,"Alkanindiges",2,0,5
27,"Roseburia",6,0,7
28,"Rhizobium",2,0,4
29,"Ornithinimicrobium",1,0,3
30,"Prevotella",6,0,7
31,"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium",6,1,9
32,"Faecalibacterium",4,0,2
33,"[Clostridium]",6,0,6
34,"Deinococcus",3,0,6
35,"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium",6,0,7
36,"Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus",4,0,2
37,"Bordetella",3,0,3
38,"Trueperella",1,0,5
39,"Ochrobactrum",3,0,3
40,"Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas",2,0,4
41,"Collinsella",4,0,3
42,"Lactobacillus",5,0,5
43,"Alistipes",6,0,6
44,"Nonlabens",2,0,6
45,"Helicobacter",4,0,7
46,"Pedobacter",2,0,6
47,"Sphingobium",4,0,6
48,"Aeromonas",1,0,8
49,"Pseudoxanthomonas",2,0,5
50,"CF231",6,0,7
51,"Rheinheimera",4,0,3
52,"Dietzia",1,0,5
53,"Treponema",6,0,7
54,"Brevundimonas",2,0,4
55,"Kribbia",1,0,7
56,"ph2",1,0,9
57,"GW-34",1,0,11
58,"Bdellovibrio",2,0,4
59,"Lactonifactor",6,0,7
60,"Bacteria_Firmicutes_Bacilli_Bacillales_Planococcaceae_Bacillus",1,0,4
61,"Pediococcus",5,0,4
62,"Weissella",1,0,7
63,"Snodgrassella",2,0,7
64,"Bergeyella",3,0,8
65,"Kurthia",6,0,5
66,"Nocardioides",1,0,7
67,"Wautersiella",5,0,3
68,"Anaerobiospirillum",6,0,8
69,"Sphingobacterium",3,0,7
70,"Lysobacter",1,0,2
71,"Succinivibrio",6,1,12
72,"[Prevotella]",4,0,4
73,"Kerstersia",3,0,8
74,"Flavobacterium",1,0,2
75,"Papillibacter",6,0,7
76,"Dorea",4,0,6
77,"Sporobacter",6,0,6
78,"Psychrobacter",1,0,5
79,"Desulfovibrio",6,0,6
80,"Helcococcus",1,0,6
81,"Caldimonas",2,0,1
82,"Anaerococcus",1,0,8
83,"Butyricicoccus",4,0,6
84,"Brevibacterium",3,0,7
85,"Selenomonas",5,0,7
86,"Gulbenkiania",3,0,10
87,"Isobaculum",1,0,6
88,"Petrimonas",1,0,8
89,"Aurantimonas",2,0,2
90,"Serinibacter",1,0,5
91,"Thermomonas",3,0,5
92,"Albidovulum",3,0,5
93,"Anaerosinus",3,0,2
94,"Sphingomonas",4,0,4
95,"Barnesiella",6,1,8
96,"Gluconacetobacter",2,0,4
97,"Macellibacteroides",6,0,8
98,"Oscillospira",6,0,8
99,"Olsenella",1,0,4
100,"Akkermansia",6,0,5
