"from","to","weight","association"
6,7,0.304968199969929,1
4,10,0.317913137919735,1
1,11,0.301132676994448,1
5,11,0.382037661700143,1
8,11,0.350587158654795,1
6,15,0.301624840764239,1
1,16,0.315096443951119,1
12,16,0.337372425898701,1
4,17,0.313375254002291,1
5,18,0.340292024548549,1
12,19,0.294118561316049,1
12,21,0.301480795762012,1
19,21,0.334083597649061,1
21,22,0.318896016693536,1
12,25,0.284074424022326,-1
22,25,0.284883248887431,-1
24,26,0.291738676794104,-1
4,27,0.380718605788806,1
7,27,0.304246026116445,1
17,28,0.290253180185414,-1
22,30,0.295356470300411,1
29,30,0.354159030500266,1
19,31,0.298803842226361,1
5,32,0.328859570810768,1
19,32,0.322377424132536,1
30,32,0.298034095129751,1
9,33,0.300153644335766,1
31,33,0.298681043856543,1
10,34,0.364576895079322,1
3,35,0.292467562883827,-1
7,35,0.252923822930639,-1
12,36,0.368516818289836,1
20,37,0.322240211524176,1
33,37,0.298000412761532,1
25,38,0.30839749090528,1
9,39,0.298088867363683,1
23,39,0.311579960395905,1
31,39,0.299064899661823,1
33,39,0.310498090623456,1
3,40,0.313439278836647,1
9,40,0.294703346581346,1
15,40,0.384726796171068,1
16,40,0.323873089345565,1
39,40,0.293358397487414,1
9,41,0.344773385268212,1
5,42,0.304612071750768,1
19,42,0.347080785548357,1
21,42,0.349566274959074,1
29,42,0.299472524448783,1
19,43,0.301531329127589,1
28,43,0.314609036819992,1
29,43,0.303425292022513,1
2,44,0.319598686884828,1
10,45,0.303699160016941,1
17,45,0.353778230026452,1
27,45,0.304657750373615,1
34,45,0.359603218055271,1
13,46,0.322360586613195,1
28,46,0.296415289339522,1
35,46,0.298416044947764,1
28,47,0.339767569307773,1
5,48,0.314516650075309,1
47,48,0.465741845715936,1
29,49,0.347064480166137,1
42,49,0.301545638412942,1
35,50,0.303633386866344,1
30,51,0.312817359348329,1
50,51,0.297045748814582,1
50,52,0.310842037221038,1
7,53,0.302688407936201,1
44,53,0.330407038735855,1
12,54,0.318908828790618,1
19,55,0.297259825481288,1
22,56,0.305665183546907,1
42,56,0.353222103001069,1
5,58,0.31109667297902,1
14,58,0.382093924401468,1
32,58,0.30069239216378,1
47,58,0.309585514998127,1
6,59,0.35822870134816,1
27,59,0.325890912896752,1
40,59,0.303869998505053,1
42,60,0.333797816348312,1
43,60,0.322500758388034,1
1,61,0.295824810291043,1
36,62,0.297629270373817,1
14,63,0.297430264284791,1
30,63,0.304171562354754,1
32,63,0.295716567824427,1
43,63,0.319435711573222,1
58,63,0.30640188112088,1
46,64,0.314910042748408,1
50,64,0.296648902738337,1
58,64,0.41308460206622,1
61,64,0.344749573681828,1
45,65,0.312341273507591,1
19,66,0.34324524476267,1
48,67,0.369757299285647,1
57,67,0.296627666353721,1
62,67,0.301889798634072,1
12,68,0.283628598623113,-1
25,68,0.390296741382006,1
38,68,0.326823262525194,1
23,69,0.385191967019582,1
33,69,0.30182173686278,1
41,69,0.349687971981823,1
59,69,0.338940438812876,1
16,70,0.316528112512958,1
62,71,0.305955141471639,1
8,72,0.331573651652111,1
47,72,0.347000321438012,1
48,72,0.320102772689814,1
57,72,0.350917105153399,1
62,73,0.290899318647731,-1
12,74,0.316824966726415,1
56,74,0.309737249194426,1
22,75,0.322526093222739,1
28,75,0.339345202066797,1
30,75,0.42252197227989,1
58,75,0.300409903415724,1
18,76,0.343323430819074,1
35,76,0.335341336175397,1
50,76,0.49215374888294,1
51,76,0.348544798928898,1
52,76,0.328400548332346,1
41,77,0.388994825789953,1
31,78,0.321673155712827,1
71,78,0.30115778224731,1
2,79,0.31317738520801,1
10,79,0.378027754188627,1
44,79,0.349428714456006,1
59,79,0.352212614434639,1
65,79,0.318213533379857,1
54,80,0.284123993899999,-1
47,81,0.404734735173532,1
64,81,0.311630558259139,1
74,81,0.297331682073526,1
21,82,0.326485743062017,1
42,82,0.294824708295252,1
55,82,0.310326504543912,1
60,82,0.317508675305822,1
72,83,0.302176375674115,1
23,84,0.394884847815804,1
33,84,0.315264739353385,1
39,84,0.300639533110845,1
41,84,0.298570556954668,1
59,84,0.297602171647992,1
69,84,0.391396313911902,1
21,85,0.30129183541095,1
48,85,0.327583956580007,1
52,85,0.29387542156105,1
62,85,0.294405674794205,1
76,85,0.311515104746502,1
24,86,0.33521398263559,1
44,86,0.378010792338111,1
53,86,0.389652807212473,1
80,86,0.39541454503464,1
3,87,0.281795696418017,-1
35,87,0.293015383434372,1
46,87,0.42825249696889,1
50,87,0.306024766831769,1
19,88,0.293750445743947,1
31,88,0.345495001360431,1
42,88,0.307038171242346,1
49,88,0.402312029916736,1
52,88,0.303984527131718,1
63,88,0.293191532151254,1
66,88,0.318088753825785,1
52,89,0.303998768778722,1
72,89,0.324017140484944,1
74,89,0.298518583938313,1
85,89,0.359425919749961,1
19,90,0.40543828717765,1
60,90,0.297583662490648,1
39,91,0.369177194967827,1
83,92,0.22967036075335,-1
12,93,0.283960885349069,-1
25,93,0.389797336365975,1
38,93,0.32724015542792,1
68,93,0.391437173136726,1
21,94,0.293999951385875,1
24,94,0.278284511849809,-1
62,94,0.320884359148337,1
68,94,0.290562929980723,-1
71,94,0.302442684422126,1
78,94,0.318995865190418,1
93,94,0.290758502673303,-1
12,95,0.304258171236459,1
21,95,0.306187817484635,1
67,96,0.294651614988168,1
77,96,0.29055202357497,-1
80,96,0.313430250564169,1
89,96,0.31530992087165,1
7,97,0.285025904007622,-1
21,97,0.41121178025104,1
29,97,0.299909942251357,1
31,97,0.312664297317592,1
52,97,0.303805416348288,1
94,97,0.296579025209312,1
95,97,0.323092640254626,1
23,98,0.335943636160456,1
26,98,0.357110856037654,1
45,98,0.293179121114357,1
78,98,0.314064687920478,1
84,98,0.3265478317772,1
92,98,0.333188667493315,1
