"from","to","weight","association"
1,3,0.650641053280833,1
1,4,0.621106903005006,1
3,4,0.812123395717517,1
1,6,0.674964515723586,1
2,6,0.137337695147296,-1
3,6,0.635471294206182,1
4,6,0.584798026650018,1
5,7,0.708713264092064,1
2,8,0.55470613058801,1
3,8,0.121449226964945,-1
4,8,0.131259280657628,-1
6,8,0.145746676816859,-1
3,9,0.146866925243659,-1
4,9,0.138736279535721,-1
8,9,0.503835316345404,1
1,10,0.466548119096418,1
1,11,0.610765603607481,1
3,11,0.809322750968075,1
4,11,0.836136384912055,1
6,11,0.646088253315619,1
8,11,0.121764271083592,-1
9,11,0.15200045865246,-1
5,12,0.462506609470809,1
7,12,0.469007231426739,1
10,12,0.147208646611551,-1
2,13,0.147056482777612,-1
3,13,0.509885552673319,1
4,13,0.511394091779843,1
8,13,0.105999988152829,-1
11,13,0.522312760877843,1
12,13,0.454490506339972,1
1,14,0.519465721126697,1
3,14,0.548817163960923,1
4,14,0.564281946682593,1
9,14,0.152178130474392,-1
11,14,0.541684580265737,1
2,15,0.566001253635523,1
6,15,0.158500756859721,-1
9,15,0.161547412140041,-1
2,16,0.134065784454752,-1
3,16,0.469785365542323,1
4,16,0.518912400725956,1
11,16,0.539030914579252,1
12,16,0.563097051882612,1
13,16,0.455727135179011,1
1,17,0.491837700536572,1
3,17,0.517669417218304,1
4,17,0.462190290642288,1
6,17,0.468108160831468,1
7,17,0.143899442993076,-1
9,17,0.144366121984222,-1
11,17,0.463724101278157,1
14,17,0.565159271210592,1
13,18,0.106822831539088,-1
5,19,0.489422103261886,1
7,19,0.511474344939168,1
8,19,0.453061249745549,1
10,19,0.609238382596159,1
5,20,0.470857486621876,1
7,20,0.483810820568552,1
10,20,0.139523114524457,-1
12,20,0.745321634960024,1
13,20,0.459720447466074,1
16,20,0.550412460103449,1
9,21,0.161562526038211,-1
12,21,0.470942200658752,1
16,21,0.610048327050281,1
20,21,0.47644439247438,1
2,22,0.147219144876963,-1
5,22,0.508605092610996,1
7,22,0.468816727962441,1
13,22,0.494579381918999,1
7,23,0.10633684780565,-1
9,23,0.149501142708112,-1
13,23,0.136846102168631,-1
19,23,0.144288350121681,-1
2,24,0.515390742071252,1
7,24,0.12848486002609,-1
8,24,0.512689137782965,1
13,24,0.0922296768413839,-1
17,24,0.544343677044444,1
22,24,0.134506128128961,-1
9,25,0.101205116706491,-1
15,25,0.474832870944805,1
16,25,0.544876438652759,1
21,25,0.688770906733118,1
22,25,0.158849389251315,-1
2,26,0.161996877463642,-1
3,26,0.515285369803739,1
4,26,0.570917414031614,1
8,26,0.153443720429603,-1
9,26,0.107282587602497,-1
11,26,0.563445724365984,1
13,26,0.484504891638425,1
14,26,0.495773448904416,1
16,26,0.708427480148317,1
21,26,0.616553942466437,1
25,26,0.625040942203241,1
2,27,0.0938651279265852,-1
5,27,0.574053980792692,1
6,27,0.488384689269178,1
7,27,0.46860142290275,1
8,27,0.157024477713632,-1
15,27,0.121973180816199,-1
22,27,0.517236737178439,1
25,27,0.116326871735869,-1
1,28,0.507792363342483,1
6,28,0.52620083284082,1
14,28,0.456014100892061,1
