"from","to","weight","association"
3,4,0.356783915766576,1
4,6,0.316593931824311,1
5,7,0.29846987446781,1
8,9,0.301049835653959,1
4,11,0.432443184901187,1
6,11,0.325787447600832,1
3,17,0.29389426749407,1
14,17,0.322551500788312,1
10,18,0.425852735266518,1
12,19,0.339191976854339,1
9,22,0.231071741323533,-1
17,23,0.311965199827164,1
20,24,0.319245888017622,1
16,25,0.411584269746264,1
20,25,0.313802771406945,1
2,26,0.248071431626892,-1
5,26,0.319406106328565,1
1,29,0.408331812718855,1
4,29,0.303678243721264,1
14,30,0.338019075186829,1
29,30,0.314597169353799,1
8,32,0.300863628264342,1
26,32,0.278752901737586,-1
24,33,0.328906348159512,1
20,34,0.388739456161935,1
30,36,0.308721316105575,1
21,37,0.216507460899819,-1
36,38,0.339239494997596,1
28,41,0.386537328143021,1
10,42,0.335246055343338,1
14,43,0.295051503439579,1
35,43,0.295830431387991,1
12,45,0.339540972185213,1
19,45,0.339890152027379,1
14,46,0.338065825015431,1
35,46,0.351187781515649,1
10,47,0.299509958689608,1
42,47,0.341177986469672,1
39,48,0.295786444561748,1
48,50,0.304550879725693,1
8,52,0.30065600396988,1
40,52,0.3149141073535,1
12,53,0.294460163140597,1
13,53,0.397790412120031,1
19,53,0.294567840354205,1
45,53,0.294717545345389,1
28,54,0.330722550367338,1
47,55,0.321374417388909,1
53,55,0.284298880695213,-1
5,56,0.298033507001905,1
12,57,0.302864307212589,1
19,57,0.302764340812181,1
35,57,0.306692945697475,1
45,57,0.302924534143152,1
23,58,0.313763400940147,1
47,58,0.322582533059955,1
55,58,0.295815356526921,1
7,59,0.352172812501422,1
16,59,0.331644610878604,1
33,59,0.331822132021679,1
39,60,0.326983692406186,1
42,60,0.349111312593874,1
46,61,0.308316147055364,1
2,62,0.383557542883083,1
24,64,0.317853605545942,1
28,64,0.382611927547985,1
31,64,0.310204867627153,1
3,65,0.322940452645912,1
9,65,0.270194174950914,-1
10,66,0.302649007906861,1
40,67,0.329034810210099,1
49,67,0.294199670340002,1
15,68,0.395791096458573,1
28,68,0.297745358336394,1
39,69,0.295849941797823,1
48,69,0.339191915103807,1
50,69,0.304420072097126,1
52,70,0.299517133415553,1
58,70,0.355048781662274,1
62,70,0.337815913342064,1
27,71,0.399121130934493,1
35,71,0.326461285594282,1
63,71,0.355248284583261,1
61,72,0.358918579240579,1
15,73,0.30378564135831,1
33,73,0.298446440437942,1
64,73,0.310446575347851,1
31,74,0.34877334188858,1
55,74,0.287743693160932,-1
65,74,0.294567921566208,1
12,75,0.339385136034867,1
19,75,0.339734233463475,1
45,75,0.339578351710306,1
53,75,0.294602994440231,1
57,75,0.303021910811078,1
5,76,0.298233183394392,1
56,76,0.364398971421962,1
2,77,0.336631371953272,1
62,77,0.330232087784594,1
59,78,0.293420671257166,1
9,79,0.277223226344183,-1
39,80,0.309229671362455,1
49,80,0.431761925896048,1
51,80,0.301808737679346,1
38,82,0.360445532300754,1
54,82,0.297586944244314,1
66,82,0.375555227626403,1
53,83,0.325719865238267,1
81,84,0.443362839933747,1
66,85,0.309300079227991,1
38,86,0.386725957199065,1
54,86,0.305672329572977,1
43,87,0.319931697876409,1
72,87,0.322031966001525,1
85,87,0.406880105147343,1
5,88,0.29813315298159,1
56,88,0.364042146458561,1
76,88,0.363685521591247,1
39,89,0.296073610966609,1
48,89,0.339541011476497,1
50,89,0.30451834751946,1
69,89,0.339890245659779,1
26,90,0.291677982077325,-1
51,90,0.334063572986583,1
67,90,0.358777056229372,1
77,90,0.305343780872106,1
66,91,0.305638948263395,1
78,91,0.368594813995758,1
30,92,0.321411660787598,1
85,92,0.297009767184396,1
91,92,0.308502823574596,1
39,93,0.358165833818976,1
21,94,0.254500897604597,-1
37,94,0.293340421529859,1
44,94,0.276193644456797,-1
39,95,0.29600599340128,1
48,95,0.339385080493134,1
50,95,0.30464718173079,1
69,95,0.33973425988103,1
89,95,0.339578310944737,1
32,96,0.229544123334174,-1
8,97,0.300505963319747,1
40,97,0.314656980793146,1
52,97,0.44336284009561,1
70,97,0.299251455280369,1
24,98,0.264979192441901,-1
30,98,0.274688602965209,-1
