"index","lable","cluster","hubs","degree","ev","between","close"
1,"Corynebacterium",6,0,1,0.000468038041936918,0,0.282392455331219
2,"Arthrobacter",1,0,3,0.00154295479235947,0.0263736263736264,0.331327780331096
3,"Atopococcus",6,0,3,0.00387287416259853,0.0913308913308913,0.364241753882755
4,"Macrococcus",6,0,4,0.00147335624893528,0.0654456654456654,0.347685570684159
5,"Bifidobacterium",5,0,5,0.000190984538901296,0.121611721611722,0.351918674453368
6,"Micrococcus",6,0,2,0.000410064371246119,0,0.275397793592447
7,"Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides",7,0,2,8.09941185809064e-05,0.0888888888888889,0.330649172349267
8,"Kocuria",1,0,4,0.00306800733699844,0.0710622710622711,0.355675654185754
9,"Staphylococcus",1,0,4,0.00234199017037651,0.0864468864468864,0.353326770938948
10,"Ornithinimicrobium",4,0,4,0.0192974052763072,0.146275946275946,0.398087150834275
11,"Millisia",6,0,2,0.000501736826876814,0,0.287448814770003
12,"Faecalibacterium",10,1,5,0.9993740851126,0,0.34672545474145
13,"Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium",10,0,1,0.23440975990998,0,0.299946300553713
14,"Atopostipes",2,0,4,0.0232689670525841,0.130891330891331,0.399160746145007
15,"Succinispira",7,0,2,0.000173819799402277,0.00415140415140415,0.284252324197509
16,"Roseburia",7,0,2,5.65689635146591e-05,0.0222222222222222,0.298901355318761
17,"Granulicatella",4,0,3,0.0083871421651376,0.0991452991452991,0.378619078284022
18,"Helcobacillus",4,0,1,0.00534968612741765,0,0.315826665191388
19,"Collinsella",10,1,5,0.999754260037761,0,0.346746875068865
20,"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium",7,0,3,0.000204262112553093,0.0368742368742369,0.3161912555001
21,"Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus",8,0,0,0,0,0
22,"Novosphingobium",1,0,1,0.000352291243355207,0,0.267677728459387
23,"Acinetobacter",4,0,2,0.013591730155866,0.0678876678876679,0.363045860802147
24,"Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium",7,0,4,0.000864005048868173,0.0918192918192918,0.376305964307499
25,"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus",7,0,2,5.6883527350631e-05,0.0161172161172161,0.291011626423498
26,"Lacticigenium",5,0,4,0.000645513536080682,0.10964590964591,0.363492245486376
27,"Kribbia",2,0,1,0.0123013638218382,0,0.239555398760682
28,"Alistipes",7,0,4,0.000839116668386108,0.0654456654456654,0.353833209957181
29,"Bacteria_Firmicutes_Bacilli_Bacillales_Planococcaceae_Bacillus",6,0,3,0.00176075120309633,0.0485958485958486,0.351615752080748
30,"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium",2,0,5,0.00656781076701566,0.133821733821734,0.407920831605681
31,"Prevotella",4,0,2,0.00990275268521592,0.0937728937728938,0.356337220627853
32,"Enhydrobacter",5,0,3,0.000734427762268522,0.0515262515262515,0.332857607951516
33,"Lactobacillus",7,0,3,0.00034460372696381,0.0388278388278388,0.350700185524857
34,"Lactonifactor",7,0,1,5.1691172736131e-05,0,0.256705495436106
35,"Trueperella",2,0,4,0.195826502828625,0.0937728937728938,0.351392228539432
36,"Treponema",3,0,2,0.00149494602128125,0.0188034188034188,0.335935699801509
37,"Elizabethkingia",8,0,0,0,0,0
38,"CF231",3,0,3,0.000792417396264799,0.0280830280830281,0.336474017924177
39,"Ochrobactrum",9,0,7,0.0370192389044789,0.159218559218559,0.362093790646691
40,"Bordetella",1,0,3,0.00288286556340913,0.0273504273504274,0.323707087174825
41,"[Clostridium]",7,0,1,0.000211146424571578,0,0.27813933022241
42,"Dietzia",4,0,3,0.020938867430804,0.148229548229548,0.377657473569363
43,"Kurthia",2,0,3,0.0446006807323963,0.0302808302808303,0.362011275943608
44,"Caldimonas",8,0,0,0,0,0
45,"Dorea",10,1,5,1,0.0239316239316239,0.346772477483665
46,"ph2",2,0,3,0.0522368728503014,0.0869352869352869,0.354203128487259
47,"Nocardioides",4,0,4,0.0623818287124429,0.125518925518926,0.411152867677802
48,"Deinobacterium",9,0,5,0.0396803569692471,0,0.303942947306289
49,"Rothia",1,0,2,0.00268312945397114,0.0192918192918193,0.301406250279961
50,"Nitriliruptor",9,0,4,0.0314771065992839,0,0.256971616864153
51,"Oscillospira",1,0,2,0.0019431247559463,0.0302808302808303,0.307492960978398
52,"Albidovulum",1,0,4,0.00630067413862953,0.0522588522588523,0.362226624109812
53,"Desulfovibrio",10,1,7,0.905214361572221,0.121367521367521,0.390596689910634
54,"Papillibacter",3,0,3,0.000559561031155633,0.0390720390720391,0.335967748406203
55,"Lysobacter",4,0,4,0.199542443628088,0.179487179487179,0.419005112876959
56,"Mucispirillum",5,0,3,7.04674548005106e-05,0,0.286578838377087
57,"Butyricicoccus",10,0,5,0.827605444177844,0.0315018315018315,0.338082804210148
58,"Porphyrobacter",4,0,4,0.0582039466259321,0.165079365079365,0.415893041309383
59,"Macellibacteroides",7,0,4,0.000191425797788415,0.123565323565324,0.360538808454248
60,"Blastococcus",4,0,2,0.0126386371421733,0.134310134310134,0.342872537313269
61,"GW-34",2,0,2,0.0116915552141713,0.00781440781440781,0.299727454051928
62,"Brevibacterium",1,0,3,0.00442511576426691,0.0603174603174603,0.348801224533821
63,"Flavobacterium",2,0,1,0.0109491531693916,0,0.235823005596807
64,"Akkermansia",7,0,4,0.00251053865558683,0.120879120879121,0.380156217540181
65,"Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas",6,0,3,0.009161639311823,0.104273504273504,0.377135930953628
66,"Olsenella",3,0,4,0.00549030519850163,0.176800976800977,0.402502548201069
67,"Sphingomonas",1,0,3,0.00140611018374839,0.0305250305250305,0.327517763145031
68,"Sporobacter",7,0,2,0.000207428988244526,0.00537240537240537,0.290616144136542
69,"Ornithinicoccus",9,0,5,0.0396942005181828,0,0.303963046920318
70,"Beutenbergia",1,0,4,0.0168812381808871,0.126739926739927,0.387939418208229
71,"Serinibacter",2,0,3,0.0473454881275374,0.0437118437118437,0.293117484280616
72,"Petrimonas",2,0,2,0.00516652997733428,0.00952380952380952,0.289786313443901
73,"[Prevotella]",7,0,3,0.000608694154743011,0.0202686202686203,0.332295601495835
74,"Succinivibrio",4,0,3,0.0413827706973413,0.13015873015873,0.389357523417612
75,"Butyricimonas",10,1,5,0.999821549439852,0,0.346759976879123
76,"Coprococcus",5,0,3,7.04743005110387e-05,0,0.286587637965931
77,"Acholeplasma",1,0,3,0.00152324047952493,0.0175824175824176,0.323583121359685
78,"Deinococcus",3,0,2,0.000451312651900918,0.0698412698412698,0.34105838969796
79,"Isobaculum",1,0,1,0.000422653650923913,0,0.271946962238722
80,"Weissella",1,0,3,0.00858801591600522,0.0588522588522589,0.326258241268238
81,"Leifsonia",11,0,0,0,0,0
82,"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Bacteroides",3,0,3,0.00163660765129497,0.0637362637362637,0.365644184051818
83,"Selenomonas",10,0,1,0.191940059594434,0,0.291323836056627
84,"Dongia",11,0,0,0,0,0
85,"Alkalibacterium",2,0,3,0.00468992482469852,0.0664224664224664,0.370412084291062
86,"Barnesiella",3,0,2,0.000310838540137673,0.00561660561660562,0.29987435380153
87,"Anaerorhabdus",2,0,3,0.0116143234852729,0.0566544566544567,0.349098320829938
88,"Cedecea",5,0,3,7.04510094931213e-05,0,0.286568837497171
89,"Bergeyella",9,0,5,0.0397043468541383,0,0.303989905899637
90,"Rhizobium",1,0,4,0.00117632797038016,0.0622710622710623,0.349450413578779
91,"Psychrobacter",3,0,3,0.00172848321093623,0.0979242979242979,0.370499112203779
92,"Syntrophococcus",2,0,3,0.00262812848366794,0.052991452991453,0.366086758262254
93,"Salinarimonas",9,0,1,0.00863140677400003,0,0.273894023711169
94,"Alkanindiges",8,0,0,0,0,0
95,"Defluviitalea",9,0,5,0.0396985746837997,0.0212454212454212,0.303979027666211
96,"Caulobacter",5,0,1,0.000109745117373878,0,0.255051770557282
97,"Alysiella",1,0,4,0.00629780141199404,0,0.362186156787308
98,"Denitromonas",2,0,2,0.00132347936680012,0.0393162393162393,0.349550616768295
