"from","to","weight","association"
3,5,0.602438258707612,1
3,6,0.136989791425918,-1
4,7,0.579420508251209,1
3,8,0.152351793273519,-1
4,8,0.635173541868418,1
7,8,0.473154353760155,1
1,9,0.160571615699457,-1
2,9,0.481008148380379,1
3,9,0.152529358098988,-1
5,9,0.109286928738606,-1
8,9,0.555854911411618,1
3,10,0.606393192686531,1
5,10,0.525559534217982,1
6,10,0.115252616757818,-1
9,10,0.138213054725274,-1
1,11,0.545937179333028,1
8,11,0.453186388305162,1
4,13,0.472248725187874,1
10,13,0.503406983270674,1
2,14,0.149158595268199,-1
3,14,0.662123473144084,1
5,14,0.483822149521464,1
6,14,0.155593843387008,-1
10,14,0.560536397226049,1
3,15,0.709425947437948,1
6,15,0.0614212315621332,-1
9,15,0.15114455376248,-1
10,15,0.642808815870347,1
14,15,0.637066325306149,1
2,16,0.135068878098042,-1
6,16,0.153605604841026,-1
2,17,0.542244525707064,1
6,17,0.541317064574823,1
9,17,0.505537606433971,1
10,17,0.130510329862537,-1
15,17,0.140862645955334,-1
16,17,0.122520729756244,-1
3,18,0.65032082332862,1
5,18,0.52690585634439,1
8,18,0.141999365017785,-1
9,18,0.132280572821878,-1
10,18,0.554689410336131,1
14,18,0.68442829673339,1
15,18,0.632474847630223,1
8,19,0.143015708952801,-1
9,19,0.110463615635102,-1
16,19,0.480857586047479,1
5,21,0.110278623867575,-1
16,21,0.502411408363083,1
20,21,0.481543928645917,1
3,22,0.47706188908021,1
6,22,0.0733144376753435,-1
10,22,0.514801423213289,1
15,22,0.566251352218384,1
17,22,0.117951430930636,-1
3,23,0.472074723693208,1
6,23,0.123513711520542,-1
8,23,0.13634301251904,-1
11,23,0.135754994076635,-1
14,23,0.454402582066184,1
15,23,0.527614312672146,1
16,23,0.50229798242012,1
19,23,0.522721271266206,1
22,23,0.493788929651612,1
4,24,0.511421045248926,1
7,24,0.555327785695648,1
11,24,0.55943416539551,1
16,25,0.499031087518278,1
19,25,0.583867385752822,1
22,25,0.467328191849835,1
23,25,0.48571038347863,1
3,26,0.500015626478124,1
6,26,0.0782899419377054,-1
10,26,0.500843425248113,1
14,26,0.47957286648957,1
15,26,0.595024230404739,1
16,26,0.518348619980764,1
22,26,0.581725939835994,1
23,26,0.597073430998462,1
3,27,0.107026166428246,-1
5,27,0.143372171638741,-1
6,27,0.465804887128812,1
8,27,0.456187566391577,1
9,27,0.618801121526532,1
10,27,0.12696544319284,-1
14,27,0.103622282583333,-1
15,27,0.098942554790812,-1
17,27,0.463058617038306,1
18,27,0.0905267349213955,-1
22,27,0.147473030113378,-1
12,28,0.562265164945088,1
2,29,0.108574193215868,-1
3,29,0.46328487817621,1
6,29,0.126309751402949,-1
9,29,0.160874571415773,-1
10,29,0.528021232669638,1
14,29,0.461738227903358,1
15,29,0.500250022499777,1
16,29,0.502447748975385,1
