"from","to","weight","association"
4,7,0.355713652483779,1
10,13,0.346651764354805,1
3,14,0.331158923672645,1
5,14,0.311222835575365,1
10,14,0.325095022153866,1
3,15,0.302129697755494,1
14,18,0.323178533986569,1
17,21,0.279265689190045,-1
16,22,0.323519523208791,1
11,23,0.293086589636412,1
19,24,0.377433177868819,1
6,25,0.28220654093781,-1
16,25,0.305908429652587,1
21,25,0.314577579965656,1
27,30,0.318554754983237,1
28,31,0.411680976669626,1
1,32,0.332351977414009,1
14,32,0.334897395767427,1
18,32,0.300391940845228,1
5,33,0.365488817655824,1
31,34,0.330339234714261,1
19,35,0.325500654490164,1
20,35,0.308906368415231,1
4,36,0.294409812233227,1
8,36,0.329145866670615,1
12,37,0.292757633547786,-1
16,38,0.297924537318934,1
35,38,0.293432634675055,1
13,39,0.352355307249824,1
23,39,0.294384815184256,1
11,43,0.353952185853525,1
23,43,0.363167801021815,1
42,44,0.316102865544701,1
40,45,0.298271839615314,1
8,46,0.291895281471038,-1
18,46,0.347656405461035,1
45,47,0.306917017946947,1
45,48,0.315902508339883,1
12,49,0.276435959135836,-1
40,49,0.307929675277983,1
24,50,0.297631235156603,1
31,50,0.355448573649713,1
42,50,0.314459865503661,1
40,51,0.298058103371387,1
45,51,0.408820656678021,1
47,51,0.307244502938634,1
48,51,0.316171753991649,1
3,52,0.337131289321394,1
32,52,0.324086232260472,1
25,53,0.304392995520596,1
15,54,0.305244466707302,1
2,55,0.29609451390219,1
9,55,0.362749095150396,1
29,56,0.41039316247654,1
15,57,0.309144012519301,1
52,57,0.298143573686983,1
53,58,0.297948997849335,1
43,59,0.291988132860882,-1
59,60,0.285793985438186,-1
29,62,0.28757037292831,-1
24,63,0.395113545395899,1
35,63,0.293076409943078,1
48,63,0.302805784783598,1
3,64,0.325136595341683,1
15,64,0.418181879771573,1
57,64,0.30311289307712,1
26,65,0.344452103048232,1
17,66,0.39832112202586,1
6,67,0.287567808906869,-1
15,67,0.340540667750182,1
33,68,0.315487610875024,1
16,69,0.297203342246247,1
22,69,0.319417907684397,1
40,69,0.326064062727896,1
48,69,0.304615899589967,1
19,70,0.288403320629032,-1
24,70,0.28067846360447,-1
57,71,0.30013771753025,1
46,72,0.298399800187671,1
60,72,0.358864036804335,1
68,72,0.328181040358101,1
70,72,0.25363678613275,-1
6,73,0.271469946537864,-1
25,73,0.337212841317395,1
42,74,0.301378429434064,1
50,74,0.304033750078174,1
72,74,0.313221577195449,1
48,75,0.27659011221967,-1
59,76,0.281488996506115,-1
61,77,0.384944385391118,1
54,78,0.3031606231139,1
26,79,0.263603431088854,-1
32,79,0.311734659294442,1
22,81,0.316288560254376,1
61,81,0.349332519987265,1
61,82,0.375439273239035,1
71,82,0.347342552748771,1
22,83,0.347143039136085,1
49,83,0.352483127174902,1
71,83,0.322639455008109,1
73,83,0.296866739337903,1
4,84,0.295610059791446,1
8,84,0.295896433898769,1
36,84,0.29576435530426,1
76,84,0.367395360436718,1
74,85,0.294830560557698,1
80,85,0.384850982504835,1
41,86,0.439800533499839,1
25,87,0.295983919867298,1
49,87,0.337825785204188,1
58,87,0.337389540346987,1
73,87,0.386609978260865,1
45,88,0.307248751513524,1
47,88,0.408816990532517,1
51,88,0.307576393400144,1
38,89,0.313788250370472,1
53,89,0.311129506420331,1
64,89,0.319160864294675,1
71,89,0.300678922832197,1
90,91,0.44336283234145,1
32,92,0.394478124945894,1
46,92,0.293001565199654,1
79,92,0.303759151393621,1
80,92,0.336726747088597,1
36,93,0.361867524086546,1
37,94,0.441754240041174,1
15,95,0.281764449774502,-1
22,95,0.281947659081388,-1
90,95,0.300529466057229,1
91,95,0.300351487252134,1
53,96,0.312664910247075,1
58,96,0.298237474007299,1
71,96,0.293264706202252,1
73,96,0.349330020430706,1
78,96,0.382227449070542,1
