"index","lable","cluster","hubs","degree","ev","between","close"
1,"Macrococcus",2,0,1,0.0447351980015535,0,0.311669037613433
2,"Streptococcus",11,0,0,0,0,0
3,"Atopococcus",1,0,4,0.29667641948627,0.198319327731092,0.418018153385706
4,"Rothia",12,0,3,0.00363816581734558,0.0235294117647059,0.27209435325319
5,"Corynebacterium",2,0,2,0.0453681008020111,0.0224089635854342,0.340962113319678
6,"Kocuria",4,0,3,0.351929089996273,0.0106442577030812,0.362396124841708
7,"Staphylococcus",12,0,1,0.00100493273623515,0,0.222228339582012
8,"Enhydrobacter",12,0,3,0.0169983923847411,0.113725490196078,0.347611084742647
9,"Elizabethkingia",11,0,0,0,0,0
10,"Micrococcus",5,0,2,0.0462643953959885,0.0700280112044818,0.338471072947235
11,"Arthrobacter",5,0,2,0.00071033230090033,0,0.249277376529701
12,"Novosphingobium",9,0,2,0.120513287482578,0.0464985994397759,0.305193960458469
13,"Helcobacillus",5,0,2,0.0135608551164301,0.050140056022409,0.295066668887778
14,"Atopostipes",2,0,5,0.168806232683967,0.225210084033613,0.425587250040203
15,"Granulicatella",1,0,6,0.42525034444153,0.117366946778711,0.440470738301045
16,"Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium",4,0,4,0.491272301236266,0.0591036414565826,0.415623357572587
17,"Lactococcus",7,0,2,0.0430318282015253,0.0235294117647059,0.26449728968121
18,"Millisia",2,0,3,0.098798703352942,0.0753501400560224,0.397624042842372
19,"Succinispira",10,0,3,0.0800959083847666,0.0669467787114846,0.373954174150636
20,"Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides",10,0,1,0.0328591261219274,0,0.297334755235332
21,"Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium",7,0,2,0.179450761793993,0.0464985994397759,0.318631589528089
22,"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus",4,0,5,0.522240556029154,0.10672268907563,0.435501652604274
23,"Ornithinimicrobium",5,0,3,0.00147188590815653,0.0277310924369748,0.275004830347288
24,"Prevotella",10,0,4,0.116561795963647,0.160224089635854,0.391761673647445
25,"[Clostridium]",4,0,6,0.696419958869732,0.0831932773109244,0.414845034722361
26,"Acinetobacter",2,0,2,0.0145552210383734,0.0235294117647059,0.281908850241084
27,"Lacticigenium",13,0,0,0,0,0
28,"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium",3,0,1,0.0043395063608132,0,0.256288180080056
29,"Lactobacillus",8,0,0,0,0,0
30,"Sphingobium",13,0,0,0,0,0
31,"CF231",3,0,3,0.0135745536823105,0.0467787114845938,0.313858451214435
32,"Trueperella",2,0,6,0.173339334985758,0.14733893557423,0.421737938283805
33,"Dietzia",2,0,2,0.0161109281630126,0.0142857142857143,0.319693695600492
34,"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium",3,0,1,0.00348208756660404,0,0.248807887004164
35,"Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus",10,0,4,0.136985682153388,0.0854341736694678,0.389339513237463
36,"Deinococcus",12,0,4,0.0074263949974451,0.0649859943977591,0.314423233237132
37,"[Prevotella]",9,0,2,0.0310503551697863,0.0235294117647059,0.259176529205661
38,"Roseburia",4,0,3,0.241335264436418,0.0837535014005602,0.402250465552126
39,"Bacteria_Firmicutes_Bacilli_Bacillales_Planococcaceae_Bacillus",5,0,2,0.00404687748924593,0.0350140056022409,0.272579311158515
40,"Selenomonas",6,1,4,0.741668336311527,0.0759103641456583,0.376670652298229
41,"Snodgrassella",14,0,0,0,0,0
42,"Bordetella",3,0,3,0.0170373059756889,0.0235294117647059,0.329720099543404
43,"Nocardioides",5,0,3,0.00136563891376229,0.0277310924369748,0.285805337966616
44,"Ochrobactrum",3,0,1,0.00418199324175964,0,0.260074298211969
45,"Collinsella",6,1,5,0.999708947585671,0,0.363334511959719
46,"GW-34",2,0,4,0.0592768582833136,0.19327731092437,0.411065871275649
47,"Butyricicoccus",6,0,3,0.698804214895791,0,0.293441774008917
48,"Succinivibrio",6,1,5,0.721984983284049,0.142016806722689,0.399601642534721
49,"Psychrobacter",4,0,4,0.528534453169156,0.10952380952381,0.391390617791814
50,"Alistipes",3,0,4,0.0409185820040457,0.112324929971989,0.37384396134354
51,"Dorea",6,1,5,1,0.0459383753501401,0.363349966461111
52,"ph2",1,0,3,0.204607175378555,0.0915966386554622,0.393730526147045
53,"Flavobacterium",4,0,4,0.503043930977924,0.0532212885154062,0.391230420713295
54,"Kurthia",4,0,2,0.151023139177678,0.0117647058823529,0.343696987427903
55,"Alkanindiges",11,0,0,0,0,0
56,"Pediococcus",8,0,0,0,0,0
57,"Weissella",1,0,4,0.359879880556815,0.0910364145658263,0.413084341868494
58,"Wautersiella",4,0,3,0.42070692253056,0.00588235294117647,0.351636473249771
59,"Rhizobium",5,0,3,0.00333128219958759,0.0507002801120448,0.31600973235622
60,"Arcobacter",2,0,2,0.0108629378893767,0.0599439775910364,0.342568144435965
61,"Helcococcus",4,0,3,0.0988683995227007,0.0296918767507003,0.325198002013712
62,"Pseudoxanthomonas",8,0,0,0,0,0
63,"Treponema",10,0,3,0.236702379595758,0.13249299719888,0.390282982278143
64,"Papillibacter",1,0,4,0.395820900422484,0.108403361344538,0.419626351699266
65,"Pedobacter",2,0,1,0.00389315429830356,0,0.234347235557889
66,"Nonlabens",7,0,1,0.0133099708649572,0,0.224393031652344
67,"Kribbia",1,0,2,0.191038878950686,0.0162464985994398,0.35717044661603
68,"Lysobacter",2,0,2,0.0132049734203291,0.0148459383753501,0.335316728988561
69,"Anaerobiospirillum",6,0,4,0.601478891985315,0.118767507002801,0.411000628833289
70,"Brevundimonas",10,0,3,0.0504977699964328,0.105602240896359,0.375525332971668
71,"Petrimonas",4,0,5,0.503123795263028,0.140896358543417,0.435129134833499
72,"Desulfovibrio",2,0,5,0.0363289508721068,0.184593837535014,0.417900961635513
73,"Sporobacter",4,1,5,0.743142618516938,0.0352941176470588,0.401983567467414
74,"Brevibacterium",3,0,4,0.0257195911093011,0.0711484593837535,0.375049568222527
75,"Nitrobacteria",6,0,1,0.155066786151296,0,0.295409537284134
76,"Caldimonas",12,0,2,0.00279474129716251,0.0092436974789916,0.290343684337103
77,"Lactonifactor",4,0,1,0.029553536937546,0,0.261901377745786
78,"Campylobacter",4,0,2,0.213356247852645,0.00840336134453781,0.334676841610442
79,"Isobaculum",2,0,3,0.0660200255256339,0.0464985994397759,0.351825598352598
80,"Serinibacter",3,0,2,0.0275924462542735,0.0294117647058824,0.333483571776264
81,"Barnesiella",4,0,2,0.155084454502843,0.0173669467787115,0.342400177170788
82,"Acholeplasma",4,0,2,0.164525974682846,0.034453781512605,0.346674829701345
83,"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Bacteroides",4,0,4,0.582806100914353,0.0840336134453782,0.424165968465506
84,"Albidovulum",12,0,4,0.00724377340240881,0.0198879551820728,0.319984217894892
85,"Luteimicrobium",3,0,2,0.0141341836834071,0.0238095238095238,0.325208475156788
86,"Gluconacetobacter",14,0,0,0,0,0
87,"Macellibacteroides",4,0,4,0.63203496260036,0.0336134453781513,0.374732922505334
88,"Peptostreptococcus",6,0,3,0.699195305078994,0,0.293481821909729
89,"Akkermansia",4,0,4,0.395909341066283,0.134453781512605,0.424078417296273
90,"Dysgonomonas",1,0,2,0.0884846761806159,0,0.314370582803222
91,"Xanthobacter",1,0,2,0.0884591113616952,0,0.31434994191566
92,"Alkalibacterium",2,0,4,0.0893715821412629,0.108963585434174,0.397107353465201
93,"Moraxella",12,0,1,0.00208680382762191,0,0.249726793182185
94,"Eggerthella",9,0,1,0.0106512669549926,0,0.223125007761031
95,"Sphingobacterium",1,0,4,0.24866265965805,0.080672268907563,0.401057046656175
96,"Oscillospira",4,0,5,0.599052722521696,0.0414565826330532,0.393935850563344
