"from","to","weight","association"
3,4,0.529088033661451,1
3,5,0.48576762871834,1
4,5,0.521145309028338,1
2,6,0.500730237570961,1
5,6,0.537126200721966,1
3,7,0.474500023613303,1
4,7,0.530998602275604,1
3,8,0.484326742819646,1
4,8,0.461205797989439,1
5,8,0.646312220021256,1
6,8,0.604934631489488,1
5,13,0.454246918905282,1
2,15,0.469144965089967,1
5,15,0.506538142783694,1
6,15,0.630477047859415,1
8,15,0.50121517322664,1
9,15,0.162105457680492,-1
10,15,0.159589550223807,-1
1,16,0.133440191643779,-1
6,17,0.470486636271394,1
6,18,0.490188486673396,1
14,18,0.162446422190576,-1
16,19,0.625064134584658,1
2,20,0.156775777364948,-1
16,20,0.469449250184759,1
3,22,0.149208710590717,-1
5,22,0.141129614179043,-1
10,22,0.497646756527298,1
9,23,0.163177867861273,-1
16,23,0.154221830330879,-1
19,23,0.152575491837336,-1
5,24,0.494834055876464,1
8,24,0.47403805085428,1
5,25,0.524693868948603,1
8,25,0.463378224953339,1
22,26,0.510526395989016,1
3,27,0.135489968603987,-1
10,27,0.505119463421655,1
22,27,0.608568457400573,1
5,28,0.474566188110506,1
8,28,0.474957505691671,1
9,28,0.149478441462665,-1
16,28,0.158967103000242,-1
19,28,0.156450324962335,-1
21,28,0.45839259468095,1
23,28,0.513432025657193,1
24,28,0.509022715780605,1
9,30,0.115096978793024,-1
23,30,0.466238973744681,1
13,31,0.455527005466151,1
26,32,0.462836363434021,1
5,34,0.503093138464316,1
6,34,0.510240922284436,1
8,34,0.488239577191142,1
15,34,0.617783371130771,1
23,34,0.460215868345494,1
28,34,0.499969257772974,1
1,35,0.152096374263366,-1
16,35,0.610848277444183,1
19,35,0.542885017624495,1
26,36,0.531945579907226,1
32,36,0.553251854650643,1
16,37,0.493354278212196,1
19,37,0.47974460888003,1
20,37,0.587725409447141,1
24,37,0.156560463224297,-1
28,37,0.141698558368982,-1
29,38,0.557151422439269,1
34,38,0.163165104136376,-1
3,39,0.155170496026141,-1
7,39,0.162232633371536,-1
22,39,0.480076504013492,1
27,39,0.514150076758141,1
22,41,0.149194924708785,-1
27,41,0.134112826915452,-1
32,42,0.508721318714866,1
36,42,0.461705348402608,1
7,43,0.14972949554688,-1
22,43,0.452616456435758,1
27,43,0.473366245429283,1
38,43,0.45371456888771,1
42,43,0.504101545632788,1
1,44,0.146800755255621,-1
16,44,0.474106788200187,1
35,44,0.482564564455036,1
23,45,0.55844821165238,1
28,45,0.488414436997593,1
31,45,0.472739022648112,1
33,45,0.471615834381991,1
6,46,0.46431493684024,1
11,46,0.464517202237511,1
15,46,0.475522508323206,1
40,46,0.152720103182198,-1
26,47,0.495446860410418,1
36,47,0.472627609175212,1
3,48,0.133050070024808,-1
13,48,0.162210179818459,-1
22,48,0.48764636537441,1
27,48,0.518610513381375,1
38,48,0.460301372460226,1
14,49,0.501156929678214,1
26,49,0.153348055826491,-1
32,49,0.154304066911373,-1
36,49,0.161064217700063,-1
12,50,0.136765925865145,-1
48,50,0.153906908351746,-1
3,51,0.160889429706781,-1
45,51,0.15325402594862,-1
19,52,0.460071683017598,1
28,52,0.157682410855462,-1
3,53,0.152986640241371,-1
14,53,0.519279240323634,1
10,54,0.486916583510487,1
27,54,0.457825184543477,1
16,55,0.504844904475167,1
19,55,0.491113514519404,1
35,55,0.527053237350403,1
6,56,0.518693200096171,1
15,56,0.533462982803438,1
18,56,0.479319920244733,1
34,56,0.552212542838634,1
52,56,0.155997685209077,-1
7,57,0.137518867380139,-1
14,58,0.459585286041672,1
20,58,0.158991964643,-1
22,58,0.162576828091924,-1
24,58,0.474436217206518,1
26,58,0.133477201816338,-1
27,58,0.160657426774772,-1
32,58,0.159192723790743,-1
36,58,0.155906989369437,-1
41,58,0.593584168039528,1
49,58,0.472705708825776,1
23,59,0.606105136531182,1
28,59,0.464556353209,1
31,59,0.453388801959191,1
45,59,0.511514121230946,1
22,60,0.503153930231016,1
27,60,0.490482156113129,1
39,60,0.510451354922828,1
45,60,0.159468939813424,-1
48,60,0.49790045570599,1
5,61,0.148330806207979,-1
23,61,0.138469695143399,-1
45,61,0.159062045097561,-1
59,61,0.148164095431827,-1
1,62,0.134077509175584,-1
16,62,0.533058984820688,1
35,62,0.528238941975426,1
37,62,0.492216561495541,1
44,62,0.576465803274784,1
52,63,0.145791807189922,-1
56,63,0.470079763232489,1
16,64,0.579948335599475,1
19,64,0.594319537816893,1
35,64,0.532856227954072,1
37,64,0.469777336627887,1
55,64,0.511676457960627,1
62,64,0.479204821844957,1
49,65,0.497614254111595,1
11,66,0.158803923631939,-1
14,66,0.473794490383047,1
49,66,0.478434513034581,1
16,67,0.494193312266114,1
23,67,0.146683355286893,-1
35,67,0.472504487790373,1
44,67,0.479029609034058,1
59,67,0.153234727641888,-1
62,67,0.540978158663509,1
64,67,0.472627776490448,1
16,68,0.459920289541062,1
19,68,0.481984708475655,1
23,68,0.144062801166356,-1
28,68,0.149683820351358,-1
35,68,0.471828578716672,1
52,68,0.491741418688552,1
59,68,0.15269440354296,-1
61,68,0.470812902335105,1
63,68,0.161000782081769,-1
64,68,0.458624572620833,1
16,69,0.160707579336246,-1
19,69,0.15521159857625,-1
23,69,0.569843445256335,1
45,69,0.464964971737922,1
59,69,0.555807402530393,1
61,69,0.143351904890442,-1
67,69,0.155937762647343,-1
68,69,0.147023894009093,-1
22,71,0.461800171134322,1
27,71,0.504679276680196,1
41,71,0.160897231803458,-1
32,73,0.163259257867411,-1
48,73,0.454715711959328,1
53,73,0.494009379238466,1
48,74,0.484622307423863,1
60,74,0.465076339439104,1
24,75,0.459106132383898,1
16,76,0.491459263445321,1
19,76,0.490249486477896,1
35,76,0.535657033078445,1
55,76,0.528395810417368,1
64,76,0.504511028073173,1
68,76,0.45551500854327,1
10,77,0.161832901123663,-1
16,77,0.500748479624389,1
35,77,0.493882440768429,1
62,77,0.470646880176043,1
54,78,0.453743931475702,1
70,78,0.48553286895969,1
60,79,0.469094324218046,1
74,79,0.461972741171254,1
3,80,0.138822070716341,-1
13,80,0.161175433717344,-1
14,80,0.476460363427676,1
48,80,0.493727634584061,1
51,80,0.468771148352116,1
53,80,0.477813573093804,1
73,80,0.502155874246331,1
74,80,0.469770089960086,1
16,81,0.480725486888603,1
35,81,0.459367287990163,1
72,81,0.458045325836752,1
72,82,0.456777725454783,1
48,83,0.488650694303551,1
53,83,0.468113304234665,1
73,83,0.55892160126656,1
74,83,0.476026455207205,1
80,83,0.545436101611447,1
26,84,0.162720158756682,-1
36,84,0.161819372150244,-1
5,85,0.158723290834861,-1
74,85,0.49460682986795,1
