"from","to","weight","association"
3,4,0.321512295032822,1
4,5,0.295425679042024,1
2,6,0.300938384298235,1
4,7,0.312241008458931,1
5,8,0.403008112148694,1
6,8,0.333411571227963,1
6,15,0.38539476955537,1
1,16,0.277832944657779,-1
14,17,0.292495740522657,-1
16,18,0.35798135811516,1
2,19,0.290645492300933,-1
10,20,0.297873663733436,1
5,23,0.314124735472838,1
20,25,0.294455401914527,1
3,26,0.290670838390081,-1
10,26,0.30520891145523,1
20,26,0.409030199321171,1
21,27,0.313773805634258,1
22,27,0.333769542236377,1
9,29,0.242157073015429,-1
21,29,0.298349297684888,1
13,30,0.293286023785498,1
15,33,0.375698872685955,1
27,33,0.294340709335483,1
16,34,0.400130407602756,1
25,35,0.355300297746251,1
31,35,0.407864638654722,1
19,36,0.409965427808201,1
27,36,0.291697941889533,-1
28,37,0.384923331645048,1
33,37,0.290708769290431,-1
26,38,0.307020874877546,1
31,42,0.326289534487964,1
7,44,0.289765307814844,-1
26,44,0.304553460868333,1
42,44,0.36713015345849,1
21,46,0.36775160932803,1
30,46,0.30950072170476,1
32,46,0.310966913820542,1
15,47,0.302072902732628,1
39,47,0.274084024766932,-1
25,48,0.308341409701393,1
35,48,0.30644608072545,1
3,49,0.285370188241308,-1
26,49,0.307048159026905,1
14,50,0.335641684035264,1
12,51,0.249093349290805,-1
49,51,0.273931760349088,-1
43,52,0.300914445585221,1
46,53,0.28666657834726,-1
14,55,0.335743752634285,1
10,56,0.299411078724658,1
17,58,0.308640528047208,1
33,58,0.360978054884577,1
53,58,0.288315642249583,-1
7,59,0.272040984825613,-1
22,60,0.297948654369736,1
24,60,0.291579252664931,-1
25,60,0.289596871867139,-1
41,60,0.432048864219137,1
50,60,0.296825797906406,1
52,60,0.287255647030239,-1
21,61,0.436732326822055,1
30,61,0.301664827891932,1
20,62,0.296756789702003,1
38,62,0.341866468534162,1
49,62,0.317367292374937,1
5,63,0.284672260726494,-1
42,63,0.308982057449778,1
1,64,0.27927226123313,-1
16,64,0.30307138096604,1
36,64,0.293675308285921,1
45,64,0.40418038391583,1
54,65,0.266970334417659,-1
58,65,0.296053083119467,1
16,66,0.30015238175545,1
18,66,0.394504799787799,1
34,66,0.29505765181051,1
57,66,0.314786416691348,1
50,67,0.367334071652777,1
11,68,0.286058304314397,-1
14,68,0.298605167871074,1
50,68,0.365188532750119,1
21,70,0.284006757356571,-1
59,70,0.288602461781811,-1
64,70,0.355552030287901,1
27,71,0.28687363104404,-1
34,71,0.294230361282998,1
54,71,0.369831540117421,1
61,72,0.438391053198194,1
63,72,0.252136043418714,-1
71,72,0.265437791777176,-1
59,73,0.301793666863407,1
26,74,0.336080531645638,1
62,76,0.304276967783755,1
53,77,0.304985541995632,1
31,78,0.288591125044531,-1
55,78,0.329292902936873,1
13,79,0.283915706823367,-1
49,79,0.303711556408379,1
62,79,0.305168447311626,1
67,80,0.336338099702321,1
72,80,0.297252131132084,1
10,81,0.283708086278564,-1
34,81,0.354229135483802,1
57,81,0.429631223454419,1
66,81,0.304010611295636,1
40,82,0.27350281426058,-1
61,83,0.321421870416969,1
76,83,0.290756758986607,-1
34,84,0.331259352433887,1
56,85,0.311616909426773,1
73,85,0.398640376007053,1
32,86,0.286953352885927,-1
59,86,0.310473785669063,1
62,86,0.314114335468982,1
79,86,0.356707482047881,1
3,87,0.274329795513801,-1
13,87,0.288393068905051,-1
49,87,0.294268174463844,1
53,87,0.309987562506753,1
16,88,0.298060909391605,1
64,88,0.298378180757423,1
75,88,0.325961736516051,1
75,89,0.438073377727876,1
88,89,0.309178909757711,1
30,90,0.295977428338878,1
69,90,0.320394539533968,1
49,91,0.307577197852269,1
78,91,0.48169360026529,1
79,91,0.31113133042327,1
87,91,0.371723166513238,1
10,92,0.290275244359488,-1
25,92,0.292554754088239,-1
31,92,0.272813249458366,-1
35,92,0.287784535159573,-1
5,93,0.289079056195288,-1
23,93,0.28909468966573,-1
79,93,0.408624362233271,1
49,94,0.296213350405979,1
