"from","to","weight","association"
3,4,0.313197399781497,1
2,6,0.310867878256037,1
5,8,0.408625224473156,1
6,8,0.313279149810008,1
6,14,0.426957449872839,1
6,17,0.302191342507349,1
16,17,0.304503615142895,1
15,18,0.470088218533236,1
13,19,0.286229486361214,-1
5,22,0.300253714140283,1
5,23,0.356804673229721,1
20,24,0.300611229765197,1
10,26,0.36268521436818,1
20,26,0.40065103692815,1
1,27,0.303648980482387,1
22,27,0.322490955289326,1
17,29,0.309466515834572,1
21,29,0.31384579244912,1
27,29,0.297793132330642,1
12,30,0.361238070239635,1
29,31,0.303564364108559,1
7,32,0.325486420210071,1
14,33,0.367901452463455,1
21,33,0.307601238642432,1
27,33,0.296510945843285,1
29,33,0.298877189473372,1
15,34,0.311979245495931,1
10,35,0.30928707643001,1
25,35,0.352795023174718,1
31,35,0.414725024355851,1
9,36,0.303235361356097,1
13,36,0.290018723447403,-1
19,36,0.453244336367732,1
24,37,0.352324184553796,1
25,37,0.295426436648973,1
28,37,0.383867189443359,1
20,38,0.294474742762281,1
12,39,0.294141797473459,1
11,40,0.314819731734263,1
32,41,0.344730463664533,1
29,42,0.298144809529096,1
31,42,0.415608061796362,1
11,43,0.314886971812462,1
31,43,0.338745987357532,1
10,45,0.304137818487224,1
11,45,0.293189252052162,1
20,45,0.296348811153445,1
42,45,0.332337465590055,1
42,46,0.298678563652614,1
12,47,0.304397515079205,1
21,47,0.311129515436521,1
22,47,0.320391421263768,1
30,47,0.313898234958118,1
32,47,0.370964610249498,1
11,48,0.326791063452636,1
14,48,0.294936541642579,1
25,49,0.331897115220762,1
35,49,0.344707377569356,1
39,49,0.300931411599358,1
3,50,0.285521195590802,-1
20,50,0.311899171675451,1
26,50,0.293624972143033,1
25,51,0.26821042343395,-1
36,51,0.277121966749964,-1
3,52,0.301407685551757,1
7,52,0.309617643490688,1
12,52,0.296581471196686,1
17,52,0.309944760597931,1
19,52,0.32415258109545,1
30,52,0.342351758478107,1
31,52,0.29856133328495,1
36,52,0.295112998922776,1
44,52,0.339725063633065,1
11,53,0.296693250925783,1
43,53,0.353703383165781,1
45,53,0.31693376640907,1
51,53,0.28713465919462,-1
38,54,0.308821400991218,1
