"index","lable","cluster","hubs","degree"
1,"Macrococcus",2,0,0.0404040404040404
2,"Streptococcus",3,0,0.0303030303030303
3,"Arthrobacter",3,0,0.111111111111111
4,"Kocuria",3,0,0.0404040404040404
5,"Enhydrobacter",3,0,0.131313131313131
6,"Elizabethkingia",3,0,0.0909090909090909
7,"Staphylococcus",3,0,0.0505050505050505
8,"Acinetobacter",3,0,0.0909090909090909
9,"Corynebacterium",5,0,0.0404040404040404
10,"Micrococcus",4,0,0.0505050505050505
11,"Helcobacillus",3,0,0.0202020202020202
12,"Bifidobacterium",1,0,0.0101010101010101
13,"Rothia",5,0,0.0404040404040404
14,"Lactococcus",1,0,0.0606060606060606
15,"Rhizobium",3,0,0.0909090909090909
16,"Bordetella",2,1,0.171717171717172
17,"Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides",3,0,0.0101010101010101
18,"Deinococcus",3,0,0.0303030303030303
19,"Ochrobactrum",2,1,0.111111111111111
20,"Ornithinimicrobium",2,0,0.0404040404040404
21,"Lacticigenium",5,0,0.0101010101010101
22,"Atopococcus",4,0,0.121212121212121
23,"Helicobacter",5,0,0.121212121212121
24,"Aeromonas",3,0,0.0606060606060606
25,"Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas",3,0,0.0202020202020202
26,"Succinispira",4,0,0.0707070707070707
27,"Millisia",4,0,0.111111111111111
28,"Rheinheimera",5,0,0.141414141414141
29,"Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus",1,0,0.0101010101010101
30,"Sphingobium",5,0,0.0202020202020202
31,"Bergeyella",5,0,0.0303030303030303
32,"Alistipes",4,0,0.0606060606060606
33,"Sphingobacterium",5,0,0.0101010101010101
34,"Brevundimonas",5,0,0.0808080808080808
35,"Kerstersia",2,1,0.121212121212121
36,"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium",4,0,0.0707070707070707
37,"Nocardioides",2,0,0.0707070707070707
38,"Prevotella",1,0,0.0404040404040404
39,"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus",4,0,0.0505050505050505
40,"Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium",3,0,0.0101010101010101
41,"Pedobacter",4,0,0.0404040404040404
42,"Treponema",4,0,0.0303030303030303
43,"Roseburia",4,0,0.0505050505050505
44,"Albidovulum",2,0,0.0505050505050505
45,"Gulbenkiania",5,0,0.0909090909090909
46,"Lysobacter",3,0,0.0404040404040404
47,"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium",4,0,0.0202020202020202
48,"Anaerobiospirillum",1,0,0.111111111111111
49,"Wautersiella",1,0,0.0707070707070707
50,"Deinobacterium",1,0,0.0202020202020202
51,"Granulicatella",1,0,0.0303030303030303
52,"Lactobacillus",2,0,0.0505050505050505
53,"Kurthia",1,0,0.0505050505050505
54,"[Clostridium]",4,0,0.0303030303030303
55,"Dysgonomonas",2,0,0.0505050505050505
56,"Aurantimonas",3,0,0.0606060606060606
57,"Weissella",3,0,0.0101010101010101
58,"Pseudoxanthomonas",4,0,0.101010101010101
59,"Methylotenera",5,0,0.0808080808080808
60,"Olsenella",1,0,0.0707070707070707
61,"CF231",5,0,0.0606060606060606
62,"Porphyrobacter",2,0,0.0808080808080808
63,"Sphingomonas",3,0,0.0303030303030303
64,"Xanthobacter",2,1,0.0909090909090909
65,"Bacteria_Proteobacteria_Gammaproteobacteria_Vibrionales_Pseudoalteromonadaceae_Vibrio",1,0,0.0101010101010101
66,"Anaerosinus",1,0,0.0303030303030303
67,"Brevibacterium",2,0,0.0808080808080808
68,"Pediococcus",2,0,0.121212121212121
69,"Pelomonas",5,0,0.0808080808080808
70,"Sporobacter",4,0,0.0101010101010101
71,"Papillibacter",4,0,0.0303030303030303
72,"Nitriliruptor",2,0,0.0202020202020202
73,"Isobaculum",1,0,0.0505050505050505
74,"Barnesiella",1,0,0.0606060606060606
75,"Planktophila",3,0,0.0101010101010101
76,"Proteus",2,1,0.0606060606060606
77,"Leifsonia",2,0,0.0404040404040404
78,"Lactonifactor",4,0,0.0202020202020202
79,"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Bacteroides",1,0,0.0202020202020202
80,"Arcobacter",1,0,0.0909090909090909
81,"Beutenbergia",2,0,0.0303030303030303
82,"Blastococcus",2,0,0.0101010101010101
83,"ph2",1,0,0.0505050505050505
84,"Arsenicicoccus",4,0,0.0202020202020202
85,"Atopostipes",1,0,0.0202020202020202
