"index","lable","cluster","hubs","degree"
1,"Macrococcus",6,0,0.0202020202020202
2,"Streptococcus",5,0,0.0202020202020202
3,"Arthrobacter",3,0,0.0404040404040404
4,"Kocuria",1,0,0.0303030303030303
5,"Enhydrobacter",1,0,0.0505050505050505
6,"Elizabethkingia",5,0,0.0303030303030303
7,"Staphylococcus",1,0,0.0303030303030303
8,"Acinetobacter",1,0,0.0202020202020202
9,"Corynebacterium",4,0,0.0101010101010101
10,"Micrococcus",3,0,0.0505050505050505
11,"Helcobacillus",2,0,0.0101010101010101
12,"Bifidobacterium",3,0,0.0101010101010101
13,"Rothia",3,0,0.0303030303030303
14,"Lactococcus",2,0,0.0404040404040404
15,"Rhizobium",5,0,0.0303030303030303
16,"Bordetella",6,0,0.0606060606060606
17,"Deinococcus",5,0,0.0202020202020202
18,"Ochrobactrum",6,0,0.0202020202020202
19,"Ornithinimicrobium",5,0,0.0202020202020202
20,"Atopococcus",3,0,0.0404040404040404
21,"Helicobacter",4,0,0.0505050505050505
22,"Aeromonas",5,0,0.0202020202020202
23,"Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas",1,0,0.0202020202020202
24,"Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium",2,0,0.0101010101010101
25,"Succinispira",8,0,0.0505050505050505
26,"Millisia",3,1,0.0707070707070707
27,"Rheinheimera",5,0,0.0505050505050505
28,"Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus",5,0,0.0101010101010101
29,"Sphingobium",4,0,0.0202020202020202
30,"Bergeyella",4,0,0.0404040404040404
31,"Alistipes",8,0,0.0404040404040404
32,"Sphingobacterium",4,0,0.0202020202020202
33,"Brevundimonas",5,0,0.0404040404040404
34,"Kerstersia",6,0,0.0505050505050505
35,"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium",8,0,0.0404040404040404
36,"Nocardioides",5,0,0.0303030303030303
37,"Prevotella",5,0,0.0202020202020202
38,"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus",3,0,0.0202020202020202
39,"Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium",5,0,0.0101010101010101
40,"Novosphingobium",7,0,0
41,"Pedobacter",2,0,0.0101010101010101
42,"Treponema",1,0,0.0303030303030303
43,"Dietzia",2,0,0.0101010101010101
44,"Roseburia",1,0,0.0303030303030303
45,"Albidovulum",6,0,0.0101010101010101
46,"Gulbenkiania",4,0,0.0404040404040404
47,"Lysobacter",5,0,0.0202020202020202
48,"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium",8,0,0.0202020202020202
49,"Anaerobiospirillum",3,1,0.0808080808080808
50,"Wautersiella",2,0,0.0404040404040404
51,"Deinobacterium",3,0,0.0202020202020202
52,"Bacteria_Firmicutes_Bacilli_Bacillales_Planococcaceae_Bacillus",2,0,0.0202020202020202
53,"Granulicatella",4,0,0.0404040404040404
54,"Lactobacillus",5,0,0.0202020202020202
55,"Kurthia",2,0,0.0202020202020202
56,"[Clostridium]",1,0,0.0202020202020202
57,"Dysgonomonas",6,0,0.0202020202020202
58,"Aurantimonas",5,0,0.0404040404040404
59,"Weissella",1,0,0.0404040404040404
60,"Pseudoxanthomonas",2,0,0.0606060606060606
61,"Methylotenera",4,0,0.0404040404040404
62,"Olsenella",3,1,0.0606060606060606
63,"CF231",1,0,0.0303030303030303
64,"Porphyrobacter",6,0,0.0606060606060606
65,"Sphingomonas",5,0,0.0202020202020202
66,"Xanthobacter",6,0,0.0505050505050505
67,"Bacteria_Proteobacteria_Gammaproteobacteria_Vibrionales_Pseudoalteromonadaceae_Vibrio",2,0,0.0202020202020202
68,"Anaerosinus",2,0,0.0303030303030303
69,"Alysiella",4,0,0.0101010101010101
70,"Brevibacterium",6,0,0.0303030303030303
71,"Pediococcus",5,0,0.0404040404040404
72,"Pelomonas",4,0,0.0404040404040404
73,"Sporobacter",1,0,0.0202020202020202
74,"Papillibacter",3,0,0.0101010101010101
75,"Nitriliruptor",6,0,0.0202020202020202
76,"Akkermansia",4,0,0.0202020202020202
77,"Oscillospira",4,0,0.0101010101010101
78,"Isobaculum",3,0,0.0303030303030303
79,"Barnesiella",3,1,0.0606060606060606
80,"Planktophila",2,0,0.0202020202020202
81,"Proteus",6,0,0.0404040404040404
82,"Ornithinicoccus",7,0,0
83,"Herbiconiux",4,0,0.0202020202020202
84,"Leifsonia",6,0,0.0101010101010101
85,"Lactonifactor",1,0,0.0202020202020202
86,"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Bacteroides",3,0,0.0404040404040404
87,"Arcobacter",3,0,0.0505050505050505
88,"Beutenbergia",6,0,0.0404040404040404
89,"Blastococcus",6,0,0.0202020202020202
90,"Bibersteinia",4,0,0.0202020202020202
91,"ph2",3,1,0.0404040404040404
92,"Arsenicicoccus",8,0,0.0404040404040404
93,"Atopostipes",3,0,0.0303030303030303
94,"Desulfovibrio",3,0,0.0101010101010101
