"index","lable","cluster","hubs","degree"
1,"Macrococcus",5,0,0.0202020202020202
2,"Streptococcus",7,0,0.0101010101010101
3,"Arthrobacter",1,0,0.0505050505050505
4,"Kocuria",1,0,0.0202020202020202
5,"Enhydrobacter",1,0,0.0505050505050505
6,"Elizabethkingia",7,0,0.0505050505050505
7,"Staphylococcus",3,0,0.0202020202020202
8,"Acinetobacter",1,0,0.0202020202020202
9,"Corynebacterium",2,0,0.0303030303030303
10,"Micrococcus",4,0,0.0404040404040404
11,"Helcobacillus",4,0,0.0606060606060606
12,"Rothia",3,0,0.0404040404040404
13,"Lactococcus",3,0,0.0505050505050505
14,"Rhizobium",7,0,0.0303030303030303
15,"Bordetella",5,0,0.0606060606060606
16,"Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides",5,0,0.0202020202020202
17,"Deinococcus",7,0,0.0606060606060606
18,"Ochrobactrum",5,0,0.0404040404040404
19,"Ornithinimicrobium",3,0,0.0303030303030303
20,"Atopococcus",4,1,0.0707070707070707
21,"Helicobacter",7,0,0.0505050505050505
22,"Aeromonas",1,0,0.0404040404040404
23,"Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas",1,0,0.0101010101010101
24,"Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium",6,0,0.0202020202020202
25,"Succinispira",6,0,0.0505050505050505
26,"Millisia",4,0,0.0505050505050505
27,"Rheinheimera",7,0,0.0606060606060606
28,"Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus",6,0,0.0101010101010101
29,"Sphingobium",7,0,0.0707070707070707
30,"Bergeyella",3,0,0.0606060606060606
31,"Alistipes",7,1,0.0606060606060606
32,"Sphingobacterium",3,0,0.0404040404040404
33,"Brevundimonas",7,0,0.0505050505050505
34,"Kerstersia",5,0,0.0606060606060606
35,"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium",7,0,0.0505050505050505
36,"Nocardioides",3,0,0.0808080808080808
37,"Prevotella",6,0,0.0404040404040404
38,"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus",6,0,0.0505050505050505
39,"Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium",1,0,0.0303030303030303
40,"Novosphingobium",4,0,0.0404040404040404
41,"Pedobacter",1,0,0.0202020202020202
42,"Treponema",7,0,0.0606060606060606
43,"Dietzia",4,0,0.0505050505050505
44,"Caldimonas",2,0,0.0303030303030303
45,"Roseburia",4,0,0.0606060606060606
46,"Albidovulum",5,0,0.0303030303030303
47,"Gulbenkiania",3,0,0.0606060606060606
48,"Lysobacter",4,0,0.0303030303030303
49,"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium",6,0,0.0404040404040404
50,"Anaerobiospirillum",4,0,0.0505050505050505
51,"Wautersiella",4,0,0.0404040404040404
52,"Deinobacterium",3,1,0.111111111111111
53,"Bacteria_Firmicutes_Bacilli_Bacillales_Planococcaceae_Bacillus",4,0,0.0606060606060606
54,"Granulicatella",6,0,0.0303030303030303
55,"Lactobacillus",2,0,0.0404040404040404
56,"Kurthia",3,0,0.0202020202020202
57,"[Clostridium]",4,0,0.0303030303030303
58,"Dysgonomonas",5,0,0.0505050505050505
59,"Aurantimonas",7,0,0.0606060606060606
60,"Weissella",6,0,0.0404040404040404
61,"Pseudoxanthomonas",1,0,0.0303030303030303
62,"Methylotenera",7,0,0.0303030303030303
63,"Olsenella",6,1,0.0909090909090909
64,"CF231",2,0,0.0606060606060606
65,"Porphyrobacter",5,0,0.0606060606060606
66,"Sphingomonas",4,0,0.0202020202020202
67,"Xanthobacter",5,0,0.0606060606060606
68,"Bacteria_Proteobacteria_Gammaproteobacteria_Vibrionales_Pseudoalteromonadaceae_Vibrio",2,0,0.0303030303030303
69,"Anaerosinus",5,0,0.0303030303030303
70,"Alysiella",3,0,0.0505050505050505
71,"Brevibacterium",5,0,0.0404040404040404
72,"Pediococcus",5,0,0.0505050505050505
73,"Pelomonas",7,0,0.0202020202020202
74,"Sporobacter",6,0,0.0505050505050505
75,"Papillibacter",4,1,0.0707070707070707
76,"Nitriliruptor",2,0,0.0303030303030303
77,"Akkermansia",4,0,0.0404040404040404
78,"Oscillospira",1,0,0.0505050505050505
79,"Alkanindiges",3,0,0.0303030303030303
80,"Psychrobacter",1,0,0.0303030303030303
81,"Isobaculum",3,0,0.0303030303030303
82,"Barnesiella",6,0,0.0606060606060606
83,"Planktophila",7,0,0.0404040404040404
84,"Proteus",5,0,0.0505050505050505
85,"Ornithinicoccus",3,0,0.0202020202020202
86,"Herbiconiux",3,0,0.0303030303030303
87,"Leifsonia",5,0,0.0303030303030303
88,"Nitrobacteria",2,0,0.0202020202020202
89,"Lactonifactor",6,0,0.0202020202020202
90,"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Bacteroides",6,0,0.0303030303030303
91,"Arcobacter",3,0,0.0606060606060606
92,"Beutenbergia",2,0,0.0505050505050505
93,"Blastococcus",2,0,0.0303030303030303
94,"Bibersteinia",3,0,0.0505050505050505
95,"ph2",3,0,0.0404040404040404
96,"Arsenicicoccus",2,0,0.0303030303030303
97,"Atopostipes",6,0,0.0202020202020202
98,"Desulfovibrio",2,0,0.0202020202020202
