"from","to","weight","association"
3,5,0.473319747217259,1
4,5,0.517704420680301,1
1,6,0.555672098437768,1
3,6,0.486131649525588,1
5,6,0.650988939580218,1
1,7,0.500085604305275,1
1,8,0.572788629078467,1
4,9,0.510121719089671,1
1,10,0.461471055701416,1
6,10,0.50686790574924,1
8,10,0.458272679325752,1
1,11,0.478705772689953,1
7,11,0.56104659127539,1
8,11,0.487202822397039,1
8,12,0.477008471163984,1
11,12,0.458580657326384,1
2,13,0.146111474959069,-1
7,13,0.478041468587284,1
11,13,0.541090591159579,1
8,14,0.159380340369064,-1
14,15,0.46606219818495,1
3,16,0.122760838432358,-1
14,16,0.480683583264991,1
15,17,0.498440957517545,1
3,18,0.470943848454149,1
11,18,0.155953595463692,-1
12,18,0.135673570952344,-1
8,19,0.513888792574097,1
12,19,0.638476676004443,1
14,19,0.136902141824226,-1
15,19,0.150903904342377,-1
8,20,0.503912234652235,1
12,20,0.513129647020571,1
15,20,0.152037032357521,-1
19,20,0.51866167321345,1
3,21,0.128603064978992,-1
11,21,0.460581889580114,1
12,21,0.512436937790556,1
18,21,0.110949679961767,-1
19,21,0.537768866837752,1
20,21,0.482563593535547,1
3,22,0.143089118220465,-1
15,22,0.473278062619489,1
16,22,0.547069963453001,1
5,23,0.152438682324639,-1
8,23,0.475661776077119,1
12,23,0.469739366211414,1
20,23,0.543504012707988,1
4,25,0.162734265461051,-1
10,25,0.131399288615447,-1
16,25,0.154489805675494,-1
7,26,0.111081412827906,-1
11,26,0.147112869261988,-1
8,27,0.465453213780535,1
23,27,0.456934081474231,1
7,28,0.574438325371599,1
7,29,0.486465817427033,1
8,29,0.489072855412739,1
11,29,0.530904694658745,1
12,29,0.590079461638602,1
18,29,0.146221172552026,-1
19,29,0.548648215485433,1
20,29,0.486140463212701,1
21,29,0.564106772150314,1
1,30,0.457973938937789,1
5,30,0.49500977297766,1
6,30,0.584668713088038,1
10,30,0.495739493558809,1
4,31,0.538061266657182,1
5,31,0.463768232483719,1
9,31,0.47099135151901,1
11,31,0.154503023848533,-1
12,31,0.162969149570612,-1
18,31,0.526684800327538,1
19,31,0.142676379602071,-1
21,31,0.144437329770647,-1
29,31,0.150518067644624,-1
24,32,0.45872914144576,1
7,33,0.514674570993404,1
11,33,0.468377535806188,1
28,33,0.502369449660827,1
23,34,0.456200609003491,1
25,34,0.454066403636012,1
29,35,0.486312225915446,1
4,36,0.481542978296749,1
10,36,0.454189908392345,1
25,36,0.156744700398535,-1
27,36,0.122819629771864,-1
31,36,0.468059748055475,1
14,37,0.129775094879456,-1
27,37,0.474386247565703,1
4,38,0.467879211290699,1
7,38,0.152928154890226,-1
19,38,0.154256838258737,-1
26,38,0.472845388855575,1
31,38,0.549721762557365,1
36,38,0.462873616642437,1
7,39,0.536111985974591,1
11,39,0.550901210148025,1
26,39,0.152819988172384,-1
28,39,0.473632452543188,1
33,39,0.512419250404654,1
7,40,0.490306309696655,1
11,40,0.512544557702592,1
17,40,0.157054191255824,-1
28,40,0.522239054405411,1
33,40,0.543755598839736,1
39,40,0.518859713174856,1
3,41,0.462396317153505,1
16,41,0.151916943086929,-1
40,41,0.143345731732462,-1
5,42,0.150135067888896,-1
7,42,0.453294489388163,1
11,42,0.547739912571825,1
13,42,0.460149598553261,1
28,42,0.483494217519306,1
33,42,0.47473354244152,1
40,42,0.536785486431455,1
24,43,0.518104702023293,1
19,44,0.461421404359933,1
5,45,0.459192716244263,1
11,45,0.14758828048714,-1
20,45,0.155478334171372,-1
21,45,0.147270562136667,-1
29,45,0.150378808205139,-1
31,45,0.469683911623028,1
16,46,0.160784325180966,-1
25,46,0.501037010444922,1
27,46,0.461248521634842,1
34,46,0.473831009040511,1
36,46,0.156829183496916,-1
37,46,0.501778165740453,1
41,46,0.454699953020402,1
4,47,0.453478016192212,1
7,47,0.156226440281141,-1
19,47,0.150638562267255,-1
26,47,0.490687417773277,1
31,47,0.511954292894965,1
38,47,0.656061085353813,1
4,48,0.482385607886152,1
11,48,0.142096264880267,-1
12,48,0.137456461309594,-1
18,48,0.577935289769739,1
19,48,0.132394484455159,-1
26,48,0.475677914385696,1
29,48,0.140857725196294,-1
31,48,0.569905394697528,1
36,48,0.462475919552379,1
38,48,0.557397418604207,1
47,48,0.54738956738672,1
35,49,0.515472760275189,1
24,50,0.150318263566193,-1
27,50,0.499881856393755,1
36,50,0.15855845490933,-1
41,50,0.515120947477149,1
46,50,0.452671210600943,1
4,51,0.151600253362014,-1
37,51,0.473423312590099,1
46,51,0.480904877262065,1
4,53,0.45662005972081,1
7,53,0.13769815412311,-1
11,53,0.162044544085744,-1
18,53,0.453732845667085,1
19,53,0.146005241285765,-1
26,53,0.533870032897803,1
29,53,0.1534828167368,-1
31,53,0.499634419689344,1
36,53,0.460891392126666,1
38,53,0.606169994632481,1
47,53,0.610332663188065,1
48,53,0.584953652807179,1
4,54,0.123897328527855,-1
5,54,0.122145352140438,-1
20,54,0.454993714458734,1
45,54,0.158272728333226,-1
37,55,0.482253340748662,1
5,56,0.518042125819683,1
31,56,0.480693176344078,1
54,56,0.160938557731325,-1
31,57,0.157653783821083,-1
55,57,0.466513405264547,1
4,58,0.544876618926531,1
7,58,0.157711615019157,-1
11,58,0.125861414341509,-1
18,58,0.545661419258896,1
19,58,0.149819533769095,-1
29,58,0.152651078384142,-1
31,58,0.531633493263934,1
35,58,0.153896478453266,-1
36,58,0.465781148427829,1
38,58,0.56316920634368,1
47,58,0.560675044710887,1
48,58,0.614160488318715,1
53,58,0.606712643421532,1
11,60,0.156730195879898,-1
18,60,0.465026561801962,1
39,60,0.159554669067547,-1
48,60,0.465598902510463,1
35,61,0.514726287241083,1
41,61,0.161952021314162,-1
42,61,0.458451090772844,1
49,61,0.571667946361793,1
18,62,0.159163383405829,-1
8,63,0.156933454785325,-1
12,63,0.107138641450429,-1
18,63,0.454913798366957,1
19,63,0.122035560982611,-1
20,63,0.147308028178401,-1
22,63,0.47616168265512,1
29,63,0.139595104707561,-1
31,63,0.494984699764213,1
38,63,0.469582445726185,1
47,63,0.471218760546646,1
48,63,0.519380615244272,1
53,63,0.507612909977776,1
58,63,0.482835944763973,1
27,64,0.497723304924788,1
36,64,0.15870032203851,-1
46,64,0.480167780764431,1
50,64,0.481319761699602,1
11,65,0.146352834482907,-1
18,65,0.503978061793697,1
48,65,0.499127729066392,1
52,65,0.487028901306847,1
56,65,0.458516820209195,1
58,65,0.511757334807628,1
60,65,0.530064023404766,1
55,66,0.484621674314976,1
59,66,0.481130260768384,1
1,67,0.117045625189211,-1
8,67,0.12282083447683,-1
11,67,0.162564275697753,-1
15,67,0.523217820142954,1
17,67,0.458051441393602,1
47,67,0.466834724491755,1
9,69,0.100732773975681,-1
25,70,0.515911700772515,1
54,70,0.476760007993414,1
