"from","to","weight","association"
5,6,0.644205567554344,1
7,8,0.563559745813663,1
7,10,0.632502022348015,1
8,10,0.647631063119757,1
7,11,0.474046847058533,1
8,11,0.464704212654315,1
5,12,0.153028932819939,-1
11,12,0.621708373016427,1
12,13,0.518224965589673,1
13,14,0.470636365417999,1
13,15,0.705139036844428,1
3,17,0.542016941423927,1
7,18,0.547619727343988,1
7,19,0.594161435131877,1
8,19,0.452996169230153,1
11,19,0.502319962259585,1
18,19,0.720434980141099,1
8,20,0.640313415815047,1
7,21,0.487416363549432,1
11,21,0.585614660931242,1
12,21,0.606791192048589,1
19,21,0.496715167807586,1
13,22,0.631070335387961,1
15,22,0.701139064138769,1
8,23,0.569371020412679,1
11,23,0.584236111966647,1
12,23,0.51783373454713,1
20,23,0.584185557333005,1
9,24,0.716787886267642,1
8,25,0.581160611923166,1
20,25,0.788841865897359,1
23,25,0.524482300321497,1
4,26,0.605754460985857,1
8,27,0.535830870419229,1
20,27,0.698857712525687,1
23,27,0.594833971002088,1
25,27,0.633576277875478,1
7,28,0.829061827110197,1
8,28,0.546269779431392,1
10,28,0.615483751486848,1
18,28,0.601799074881444,1
19,28,0.58333126966405,1
7,29,0.480163064309309,1
8,29,0.571996348854258,1
11,29,0.700904369032928,1
12,29,0.6331322683503,1
19,29,0.475667136274203,1
20,29,0.496152935966936,1
21,29,0.654255338211601,1
23,29,0.625082659366568,1
27,29,0.534738829458181,1
3,31,0.504747535951649,1
17,31,0.919711788620288,1
9,32,0.771233945113346,1
24,32,0.785723094184033,1
7,33,0.588053055118015,1
8,33,0.486763478743197,1
10,33,0.642858039568434,1
28,33,0.561158080925065,1
8,34,0.572279079234343,1
20,34,0.770588764527897,1
23,34,0.55136910194107,1
25,34,0.73743433973439,1
26,34,0.463531666307588,1
27,34,0.793071502830125,1
29,34,0.559684025241353,1
21,35,0.503859944013228,1
25,35,0.465742420564491,1
29,35,0.476409154152833,1
4,36,0.679849371389582,1
26,36,0.517466207451694,1
8,37,0.662203799042565,1
20,37,0.729355970485137,1
23,37,0.507482831029918,1
25,37,0.648479193907747,1
27,37,0.61268879813638,1
34,37,0.647980907148297,1
4,38,0.866950361871999,1
26,38,0.635002610867234,1
36,38,0.695233320984401,1
7,39,0.621093999658587,1
8,39,0.630153894949792,1
10,39,0.897630990348699,1
28,39,0.614014297651751,1
33,39,0.662735056115265,1
7,40,0.607027492667125,1
8,40,0.468737924638899,1
10,40,0.53113800195385,1
18,40,0.671649189429212,1
19,40,0.633692421755337,1
28,40,0.661438942250272,1
33,40,0.542043363406118,1
37,40,0.483825261587917,1
39,40,0.517831994984283,1
8,41,0.452623097127343,1
20,41,0.615957168258444,1
23,41,0.52630203736068,1
25,41,0.620048162221056,1
27,41,0.743858036788123,1
34,41,0.663672652667044,1
37,41,0.560497323723257,1
7,42,0.696775399008101,1
8,42,0.651292105892155,1
10,42,0.703706348110463,1
11,42,0.609626581412519,1
12,42,0.499361442321485,1
19,42,0.498305065515729,1
21,42,0.466202768150323,1
23,42,0.480359379724792,1
28,42,0.649694825990946,1
29,42,0.577441085111805,1
33,42,0.53600972008041,1
39,42,0.650033237343336,1
40,42,0.495960893936394,1
5,43,0.457632352562876,1
19,44,0.462702073270524,1
30,44,0.682497094552491,1
13,45,0.545304429008789,1
14,45,0.489055240350053,1
15,45,0.525209805793316,1
22,45,0.473500682083853,1
8,46,0.512755730533573,1
20,46,0.79819818664464,1
23,46,0.561062311508457,1
25,46,0.732273736547336,1
27,46,0.776057909265327,1
34,46,0.790882444808753,1
37,46,0.693404189199192,1
41,46,0.708426236841434,1
4,47,0.853907492107687,1
26,47,0.641193328222324,1
36,47,0.700639524551422,1
38,47,0.955685742361026,1
3,48,0.505507062602523,1
17,48,0.910897306282814,1
31,48,0.923935769608516,1
9,49,0.534665517645351,1
24,49,0.629123058189408,1
32,49,0.580463439848413,1
35,49,0.617299631259848,1
8,50,0.487520281259889,1
11,50,0.507126992898153,1
12,50,0.45403515038859,1
20,50,0.547706022723396,1
23,50,0.766161391804663,1
25,50,0.488007976983103,1
27,50,0.690519193762066,1
29,50,0.545047222528828,1
34,50,0.554500421070937,1
37,50,0.48081465678988,1
41,50,0.622433248218602,1
46,50,0.579549401291075,1
22,51,0.528536791105067,1
18,52,0.546503323317576,1
19,52,0.477104380511691,1
40,52,0.516698455619009,1
43,52,0.551175857324606,1
4,53,0.866576218587246,1
26,53,0.643830788486552,1
36,53,0.69885962287003,1
38,53,0.948768378988103,1
47,53,0.970573631651284,1
8,54,0.45439446859964,1
18,54,0.606141068449753,1
19,54,0.681104588466976,1
28,54,0.469322247165628,1
37,54,0.527490184603656,1
40,54,0.631922074375786,1
44,54,0.486828006629187,1
8,55,0.569867249968869,1
20,55,0.797270198700708,1
23,55,0.559050902495868,1
25,55,0.707886558371577,1
27,55,0.761313964244117,1
29,55,0.462523784111127,1
34,55,0.782584054606044,1
37,55,0.770542915824163,1
41,55,0.695359678455048,1
46,55,0.857517383253046,1
50,55,0.5778814969921,1
3,56,0.479175339226691,1
9,56,0.535074716059294,1
17,56,0.825231262082605,1
31,56,0.857421074121653,1
48,56,0.820110690700875,1
8,57,0.654285604417345,1
20,57,0.84046637534936,1
23,57,0.573786374617509,1
25,57,0.771448135535798,1
27,57,0.722115746430456,1
29,57,0.472178048981844,1
34,57,0.775581976767414,1
37,57,0.71949095763081,1
41,57,0.655165503605279,1
46,57,0.789393120246452,1
50,57,0.556643168796348,1
55,57,0.81613218435731,1
4,58,0.881983666685228,1
26,58,0.615339674887604,1
36,58,0.652418681424371,1
38,58,0.844654405911624,1
47,58,0.831771364637853,1
53,58,0.85543885070956,1
8,59,0.582057146727257,1
20,59,0.669986893466647,1
23,59,0.512602029340616,1
24,59,0.455898269251587,1
25,59,0.635018057987317,1
27,59,0.612020324969672,1
32,59,0.469735459295398,1
34,59,0.637912481221695,1
37,59,0.601818715864198,1
41,59,0.55338852773927,1
46,59,0.646606393681689,1
50,59,0.490948540883628,1
55,59,0.671984522461467,1
57,59,0.725487054324894,1
11,60,0.526736436700868,1
12,60,0.490972742493666,1
13,60,0.45450822363722,1
23,60,0.493427683695113,1
44,60,0.518072759021885,1
50,60,0.461688952205556,1
3,61,0.478200975947552,1
17,61,0.618884961565581,1
20,61,0.489708520570592,1
25,61,0.469290118377608,1
27,61,0.528428501989763,1
31,61,0.61239791770413,1
34,61,0.514064939242035,1
37,61,0.464357368179614,1
41,61,0.499637697523796,1
46,61,0.5511942912801,1
48,61,0.617435775740954,1
55,61,0.544177145153064,1
56,61,0.596722826138701,1
57,61,0.515595465913657,1
7,62,0.497960043056516,1
12,62,0.486606861298377,1
21,62,0.667321350790311,1
28,62,0.453105476400821,1
29,62,0.53756020121537,1
35,62,0.625710552932111,1
42,62,0.4714739121666,1
27,63,0.4652658358176,1
30,63,0.452473066516267,1
22,64,0.549127399488958,1
51,64,0.840001002016882,1
8,65,0.574786539272708,1
20,65,0.800156020885561,1
23,65,0.672433610200014,1
25,65,0.712477205674354,1
27,65,0.791766574601412,1
29,65,0.510251292571718,1
34,65,0.774067430064596,1
37,65,0.680725683373579,1
41,65,0.708592421581133,1
46,65,0.852399568962967,1
50,65,0.673303820884535,1
55,65,0.844706269764323,1
57,65,0.825406004232523,1
59,65,0.676130394363709,1
61,65,0.541048654591446,1
5,66,0.55781295101823,1
17,66,0.463923915397501,1
31,66,0.45922135790631,1
43,66,0.645753038437354,1
48,66,0.461443315216938,1
52,66,0.581461423823608,1
56,66,0.501559421320544,1
61,66,0.456022291691267,1
8,67,0.601066817650484,1
20,67,0.835656887347692,1
23,67,0.572725290989631,1
25,67,0.744659463203702,1
27,67,0.748265549685227,1
29,67,0.46863446706397,1
34,67,0.798056348943325,1
37,67,0.760414625884052,1
41,67,0.682647135914242,1
46,67,0.856895590655111,1
50,67,0.568696509126879,1
55,67,0.924969145624426,1
57,67,0.880224544663623,1
59,67,0.712010802820459,1
61,67,0.535199529877832,1
65,67,0.863959818024913,1
16,68,0.707646920256737,1
33,68,0.479223012955654,1
8,69,0.636466021803066,1
20,69,0.724153109819161,1
23,69,0.696247622259853,1
25,69,0.665521458503499,1
27,69,0.61875007210556,1
29,69,0.49413681525535,1
34,69,0.615798445367512,1
37,69,0.639867750601315,1
41,69,0.549380329553357,1
46,69,0.683523848291929,1
50,69,0.600523545403192,1
55,69,0.648337380378235,1
57,69,0.711978716190807,1
59,69,0.622485005987165,1
65,69,0.731707282895212,1
67,69,0.684266517828436,1
14,70,0.575169084883219,1
16,70,0.541044960960127,1
45,70,0.467688960714675,1
68,70,0.574722144258969,1
7,71,0.552269972286484,1
8,71,0.591717946880676,1
10,71,0.758957782137432,1
28,71,0.523211004887595,1
33,71,0.600904035507755,1
39,71,0.820954842542728,1
42,71,0.605077422961664,1
2,72,0.621394320030868,1
44,72,0.496968639591635,1
54,72,0.488428470469309,1
69,72,0.489111435562324,1
20,73,0.675060144180207,1
23,73,0.475749821547917,1
25,73,0.577853656954828,1
27,73,0.657668995157031,1
34,73,0.642501200115405,1
37,73,0.574605249375366,1
41,73,0.618629397691929,1
46,73,0.695459202255894,1
50,73,0.519915399296534,1
55,73,0.678396115929965,1
57,73,0.632448229422809,1
59,73,0.540593396724667,1
61,73,0.500694870355945,1
63,73,0.485805314705084,1
65,73,0.674555520869077,1
67,73,0.665573166898243,1
69,73,0.516408152041022,1
7,74,0.465300561840511,1
11,74,0.492605181960404,1
18,74,0.581737141512559,1
19,74,0.646896741363514,1
28,74,0.484131009806206,1
40,74,0.680816118817757,1
