"from","to","weight","association"
1,6,0.31364211775027,1
5,6,0.406491639533971,1
1,8,0.324033638938896,1
7,11,0.300821142921039,1
11,13,0.323706845825207,1
3,16,0.274580768893004,-1
15,17,0.297211681104301,1
3,18,0.293690840567995,1
8,20,0.306155041136335,1
12,20,0.387214803643622,1
14,20,0.288556367674579,-1
20,21,0.297767487838878,1
3,22,0.278253132295857,-1
18,22,0.272921230893415,-1
16,23,0.355746870227704,1
21,24,0.360654127933858,1
10,26,0.283440725091837,-1
7,27,0.268746089386305,-1
7,29,0.347825166429216,1
11,30,0.296895687094303,1
12,30,0.350656543228995,1
22,30,0.334893729237725,1
6,31,0.35361221872325,1
10,31,0.295551094860661,1
4,32,0.297971375111151,1
25,33,0.3244252029094,1
30,36,0.301449192639651,1
4,37,0.295983582913266,1
28,37,0.242848851675714,-1
14,38,0.261884488122562,-1
32,39,0.305098042600417,1
37,39,0.29736554786376,1
7,40,0.298861702235484,1
11,40,0.354085655804153,1
34,40,0.335469763890091,1
17,41,0.282633508280794,-1
29,41,0.325508482967907,1
34,41,0.339986310433582,1
40,41,0.306462325350294,1
11,43,0.340175525337038,1
41,43,0.334252354239341,1
25,44,0.342935285101728,1
20,45,0.29886201015444,1
22,46,0.287392097113135,-1
30,46,0.285629551032197,-1
26,47,0.317311011715761,1
35,47,0.306569405885595,1
38,47,0.326555799778797,1
39,48,0.471530053692631,1
18,49,0.311314680715896,1
30,49,0.288931340150533,-1
32,49,0.335551532091432,1
33,50,0.296214004742345,1
36,50,0.318949076276275,1
28,51,0.305873149110013,1
42,51,0.338555481390139,1
47,52,0.301946704740443,1
35,53,0.291238010245768,-1
20,54,0.291636469098421,-1
27,54,0.32565191789355,1
48,54,0.403010060071045,1
49,54,0.329677147079695,1
4,55,0.26237108126695,-1
5,55,0.280194678945037,-1
46,55,0.285946942577219,-1
32,56,0.292163364578719,-1
38,56,0.303020717492897,1
5,57,0.297277923566462,1
9,57,0.308668642022218,1
32,57,0.329278284975334,1
56,58,0.333773552123273,1
4,59,0.313000026768517,1
11,59,0.284135009226914,-1
49,59,0.40493762998808,1
54,59,0.314991318545831,1
36,63,0.308348243506126,1
43,63,0.294860578703975,1
50,63,0.427411077722779,1
18,64,0.292464649534303,-1
49,64,0.285355410197246,-1
61,64,0.299499956928574,1
12,65,0.253933495279854,-1
23,65,0.293411690990376,1
49,65,0.299408147077021,1
54,65,0.304766737941738,1
28,66,0.33692961216685,1
47,66,0.305668459213666,1
51,66,0.319953386872237,1
44,67,0.293873155315973,1
53,67,0.323014052895195,1
57,67,0.304893348753828,1
59,67,0.294700226033939,1
62,67,0.389963401565948,1
56,68,0.368314296015837,1
60,68,0.367489535908051,1
1,69,0.25578627666063,-1
8,69,0.286123608274974,-1
15,69,0.324453732008671,1
60,70,0.297496815020843,1
9,71,0.215111526950658,-1
26,73,0.31470190179955,1
55,73,0.301989832177648,1
29,74,0.28674062821911,-1
64,74,0.343087876296684,1
64,75,0.291210591423803,-1
5,77,0.290597903933846,-1
26,77,0.312262599055592,1
73,77,0.360955546652195,1
2,78,0.322590794246788,1
19,78,0.294898339315429,1
37,78,0.287175036712653,-1
26,79,0.301657360952819,1
47,80,0.293214753596011,1
50,81,0.279236494755589,-1
77,81,0.284193226078822,-1
73,82,0.296815998610694,1
26,83,0.306905342678108,1
47,83,0.300547746312362,1
70,83,0.309162628889308,1
82,83,0.395941448983407,1
33,84,0.365917868213282,1
58,84,0.281144891679009,-1
52,85,0.314761375049763,1
70,85,0.312536075383488,1
83,85,0.392477395131596,1
5,86,0.277713666770726,-1
26,86,0.299910990817694,1
85,86,0.318864149062049,1
8,87,0.290358522108863,-1
28,87,0.284013286334199,-1
38,87,0.290786347347737,-1
42,88,0.403372755452628,1
62,88,0.299639241766664,1
55,89,0.38165723179738,1
41,90,0.499541204054175,1
75,90,0.306835805500049,1
7,92,0.291567486556024,-1
24,92,0.29790804626724,1
51,92,0.30984737383213,1
53,92,0.291106153860708,-1
66,92,0.342344078952338,1
18,93,0.475244066644266,1
72,93,0.280019147212105,-1
28,94,0.29003043755557,-1
45,94,0.312929961211787,1
91,94,0.334128600300319,1
2,95,0.286730088737562,-1
10,95,0.270662361206989,-1
80,95,0.389259936775534,1
86,97,0.339408419199614,1
63,98,0.353165532473316,1
96,98,0.35616553118882,1
8,99,0.271687982639868,-1
67,99,0.367912826787624,1
87,99,0.304428810949101,1
33,100,0.493085808656671,1
76,100,0.325049945218764,1
79,100,0.315423894549554,1
