"from","to","weight","association"
3,5,0.309793214697192,1
1,6,0.366435263248359,1
5,6,0.409416998812598,1
1,7,0.296618614315134,1
1,8,0.310829074791073,1
1,10,0.332923379300349,1
1,12,0.30282424351922,1
8,12,0.299100320395206,1
11,13,0.322191378169604,1
14,15,0.297609060939605,1
15,17,0.293047376316325,1
10,19,0.332650696276069,1
12,20,0.340824741792077,1
19,20,0.335771843843904,1
8,21,0.297295353623907,1
16,23,0.341861442167497,1
8,24,0.316647791137962,1
9,24,0.302645284003304,1
21,24,0.330138291275767,1
18,26,0.271783554090764,-1
9,27,0.296602794237625,1
26,27,0.293263399555431,1
9,28,0.325218211919054,1
7,29,0.327966479313116,1
8,30,0.317247329369999,1
12,30,0.342124532068729,1
22,30,0.392306254546738,1
6,31,0.350487129520694,1
4,32,0.420310915100012,1
25,33,0.294500979855584,1
7,34,0.307640785966047,1
29,34,0.297293874247684,1
24,35,0.319895149864942,1
30,36,0.35556186902489,1
10,37,0.2977459329694,1
32,37,0.300505799056769,1
8,38,0.326658087925783,1
14,38,0.283060343574741,-1
15,38,0.289685946626699,-1
20,38,0.310162429620164,1
28,38,0.309600619155732,1
7,40,0.3769603839709,1
11,40,0.39267774414328,1
12,40,0.300685927446679,1
29,41,0.355786220347018,1
34,41,0.316023501976877,1
11,43,0.321758746521967,1
13,43,0.314618473495089,1
41,43,0.337286475140339,1
25,44,0.420104062316095,1
20,45,0.323811400736413,1
5,46,0.300191856360959,1
32,46,0.313989743868482,1
32,48,0.293974011849601,1
39,48,0.504626326522054,1
18,49,0.324872550210216,1
36,50,0.326423233981219,1
35,51,0.297702066682813,1
42,51,0.307227280378715,1
38,52,0.301366557653406,1
51,52,0.304152232423922,1
17,53,0.284392970948936,-1
25,53,0.338192085570085,1
49,54,0.390655405478049,1
15,55,0.286215209901605,-1
8,56,0.294705916320416,1
34,56,0.351358680524198,1
38,56,0.36009215764397,1
4,57,0.32962299603087,1
5,57,0.322481359113131,1
6,57,0.299256026688807,1
9,57,0.344417127174274,1
8,58,0.316460179717591,1
30,58,0.293784591882105,1
51,58,0.308504915827091,1
54,58,0.265528280653343,-1
56,58,0.3322389756408,1
49,59,0.455958516306276,1
1,60,0.299045012535129,1
3,60,0.298669812731767,1
11,61,0.302178640113036,1
50,63,0.49171591472002,1
61,64,0.338610744675616,1
32,65,0.309355072621955,1
55,65,0.276841002913115,-1
28,66,0.459928006093576,1
51,66,0.299414162666256,1
59,67,0.363796086653381,1
8,68,0.352044548928088,1
40,68,0.320129697596631,1
60,68,0.427185790531513,1
15,69,0.301140868137444,1
17,69,0.293403845525699,1
25,69,0.254103499559135,-1
43,69,0.269352993773722,-1
60,70,0.308667674278244,1
12,72,0.350777283792389,1
35,72,0.316280195673834,1
40,72,0.30152600483317,1
61,72,0.331933635362036,1
64,72,0.363745458519419,1
21,73,0.309764291773054,1
26,73,0.299345846610394,1
50,73,0.302881527720648,1
47,74,0.324927153586343,1
64,74,0.399849094833974,1
37,75,0.301731118208058,1
33,76,0.334704915798642,1
43,76,0.296815225213384,1
26,77,0.296104052592501,1
73,77,0.369275437275976,1
2,78,0.358516761128089,1
31,78,0.300251874876117,1
74,78,0.332804151366248,1
60,79,0.299528112367315,1
47,80,0.344294520427363,1
51,80,0.375947858438099,1
53,80,0.292152504623318,-1
10,81,0.303892700033322,1
71,81,0.301149260223147,1
77,81,0.274862920323676,-1
21,82,0.332650717739756,1
24,82,0.37106093203436,1
73,82,0.299210220269132,1
26,83,0.317283086360929,1
35,83,0.294505636739902,1
47,83,0.3125371715468,1
70,83,0.307020312531593,1
82,83,0.414238643085232,1
33,84,0.325240466473661,1
52,85,0.318383520193805,1
56,85,0.304694045422774,1
66,85,0.297371263213391,1
70,85,0.319322936850538,1
79,85,0.299060310413665,1
83,85,0.394064443029883,1
26,86,0.334688526112546,1
55,86,0.351775897838526,1
70,86,0.296126122793232,1
77,86,0.373276672237019,1
85,86,0.300709122326498,1
25,87,0.287071494860086,-1
3,88,0.319061034712488,1
16,88,0.289940224799492,-1
42,88,0.405699530809832,1
62,88,0.398932669401823,1
55,89,0.372253648287088,1
65,89,0.264603110180981,-1
34,90,0.300954711648821,1
41,90,0.505195653640229,1
75,90,0.329915817976855,1
7,91,0.32484944781149,1
72,91,0.298552978765501,1
24,92,0.314846455253302,1
51,92,0.385911341658721,1
66,92,0.293864975922825,1
18,93,0.352858786026088,1
37,93,0.307252601562741,1
52,93,0.27641347817668,-1
11,94,0.294732563764116,1
27,94,0.282660516461533,-1
45,94,0.378099643303676,1
90,94,0.307094989583589,1
91,94,0.310360112432055,1
33,95,0.296439417021269,1
61,95,0.300080146318665,1
79,95,0.418613136925547,1
85,95,0.307661043278063,1
13,96,0.307326257715083,1
61,96,0.293730136016254,1
67,96,0.281170698731388,-1
29,97,0.336826495016461,1
94,97,0.303890274151965,1
43,98,0.397777822617494,1
63,98,0.306653441197849,1
96,98,0.31661431331027,1
11,99,0.289311358377835,-1
67,99,0.389228863218041,1
71,99,0.272024397866592,-1
91,99,0.290666548707249,-1
25,100,0.294179007803971,1
33,100,0.505803541812582,1
76,100,0.334297881362595,1
84,100,0.324928116494451,1
95,100,0.296102009147487,1
