"index","lable","cluster","hubs","degree"
1,"Macrococcus",1,0,0.0707070707070707
2,"Staphylococcus",2,0,0.0202020202020202
3,"Streptococcus",1,0,0.0707070707070707
4,"Elizabethkingia",4,0,0.141414141414141
5,"Enhydrobacter",1,0,0.121212121212121
6,"Rothia",1,0,0.0505050505050505
7,"Corynebacterium",2,0,0.161616161616162
8,"Atopococcus",1,0,0.141414141414141
9,"Acinetobacter",4,0,0.0303030303030303
10,"Helcobacillus",1,0,0.0808080808080808
11,"Millisia",1,0,0.242424242424242
12,"Micrococcus",1,0,0.121212121212121
13,"Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium",2,0,0.0505050505050505
14,"Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides",5,0,0.0505050505050505
15,"Lacticigenium",5,0,0.0606060606060606
16,"Bifidobacterium",5,0,0.0606060606060606
17,"Novosphingobium",5,0,0.0404040404040404
18,"Lactococcus",4,0,0.141414141414141
19,"Ornithinimicrobium",1,0,0.161616161616162
20,"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium",1,0,0.101010101010101
21,"Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium",1,0,0.101010101010101
22,"Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus",5,0,0.0404040404040404
23,"Succinispira",1,0,0.0707070707070707
24,"Rhizobium",7,0,0.0404040404040404
25,"Alistipes",3,0,0.131313131313131
26,"Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas",4,0,0.0707070707070707
27,"Granulicatella",3,0,0.0808080808080808
28,"Trueperella",2,0,0.0707070707070707
29,"[Clostridium]",1,0,0.151515151515152
30,"Deinococcus",1,0,0.0404040404040404
31,"Pseudoxanthomonas",4,1,0.202020202020202
32,"Thermomonas",7,0,0.0303030303030303
33,"Kribbia",2,0,0.0707070707070707
34,"Roseburia",3,0,0.0303030303030303
35,"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus",6,0,0.0404040404040404
36,"Kocuria",4,0,0.121212121212121
37,"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium",3,0,0.0707070707070707
38,"Pantoea",4,1,0.111111111111111
39,"ph2",2,0,0.0808080808080808
40,"Serinibacter",2,0,0.101010101010101
41,"Atopostipes",5,0,0.0808080808080808
42,"GW-34",2,0,0.101010101010101
43,"Lactobacillus",7,0,0.0101010101010101
44,"Dietzia",1,0,0.0101010101010101
45,"Sphingobium",1,0,0.0707070707070707
46,"CF231",3,0,0.131313131313131
47,"Ochrobactrum",4,0,0.111111111111111
48,"Pedobacter",4,1,0.171717171717172
49,"Psychrobacter",6,0,0.0202020202020202
50,"Kurthia",3,0,0.0707070707070707
51,"Sporobacter",3,0,0.0404040404040404
52,"Pediococcus",4,0,0.0202020202020202
53,"Bordetella",4,1,0.141414141414141
54,"Lactonifactor",3,0,0.0808080808080808
55,"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Ruminococcus",9,0,0.0303030303030303
56,"Gulbenkiania",4,0,0.0404040404040404
57,"Haloplasma",9,0,0.0202020202020202
58,"Aeromonas",4,1,0.161616161616162
59,"Prevotella",9,0,0.0101010101010101
60,"Alkanindiges",4,0,0.0606060606060606
61,"Aeriscardovia",6,0,0.0505050505050505
62,"Nocardioides",10,0,0.0202020202020202
63,"Anaerosinus",4,0,0.131313131313131
64,"Papillibacter",3,0,0.0505050505050505
65,"Snodgrassella",4,0,0.0909090909090909
66,"Campylobacter",9,0,0.0202020202020202
67,"Caldimonas",5,0,0.0606060606060606
68,"Treponema",3,0,0.0202020202020202
69,"Lysobacter",8,0,0.0202020202020202
70,"Eggerthella",3,0,0.0404040404040404
71,"Bacteria_Firmicutes_Bacilli_Bacillales_Planococcaceae_Bacillus",10,0,0.0202020202020202
72,"Anaerorhabdus",3,0,0.0707070707070707
73,"Brevundimonas",2,0,0.0202020202020202
74,"Rheinheimera",3,0,0.0202020202020202
75,"Albidovulum",8,0,0.0202020202020202
76,"Enterococcus",3,0,0.0404040404040404
77,"Oscillospira",3,0,0.0606060606060606
78,"Paracoccus",7,0,0.0101010101010101
79,"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Bacteroides",3,0,0.0606060606060606
80,"Desulfovibrio",3,0,0.0505050505050505
81,"Aurantimonas",3,0,0.0303030303030303
82,"Nitrobacteria",5,0,0.0606060606060606
83,"Olsenella",3,0,0.0101010101010101
84,"Brooklawnia",2,0,0.0707070707070707
85,"Weissella",2,0,0.0101010101010101
86,"Akkermansia",3,0,0.0707070707070707
87,"Streptobacillus",4,0,0.0808080808080808
88,"Acholeplasma",1,0,0.0101010101010101
89,"Petrimonas",6,0,0.0101010101010101
90,"Halomonas",3,0,0.0101010101010101
91,"Syntrophococcus",6,0,0.0202020202020202
92,"Sphingomonas",4,0,0.0303030303030303
93,"Acidovorax",7,0,0.0101010101010101
