"index","lable","cluster","hubs","degree"
1,"Macrococcus",1,0,0.0101010101010101
2,"Staphylococcus",2,0,0.0505050505050505
3,"Streptococcus",3,0,0.0606060606060606
4,"Elizabethkingia",5,0,0.0606060606060606
5,"Enhydrobacter",3,0,0.0505050505050505
6,"Rothia",3,0,0.0101010101010101
7,"Corynebacterium",1,0,0.212121212121212
8,"Atopococcus",4,0,0.323232323232323
9,"Acinetobacter",2,0,0.0606060606060606
10,"Millisia",1,0,0.111111111111111
11,"Micrococcus",1,0,0.181818181818182
12,"Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium",1,0,0.171717171717172
13,"Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides",1,0,0.0707070707070707
14,"Lacticigenium",1,0,0.0606060606060606
15,"Bifidobacterium",1,0,0.0303030303030303
16,"Novosphingobium",1,0,0.0202020202020202
17,"Lactococcus",3,0,0.0707070707070707
18,"Arthrobacter",1,0,0.121212121212121
19,"Ornithinimicrobium",1,0,0.191919191919192
20,"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium",4,0,0.222222222222222
21,"Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium",1,0,0.121212121212121
22,"Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus",1,0,0.0505050505050505
23,"Succinispira",4,0,0.292929292929293
24,"Rhizobium",2,0,0.0606060606060606
25,"Alistipes",4,0,0.222222222222222
26,"Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas",5,0,0.0909090909090909
27,"Granulicatella",4,0,0.232323232323232
28,"Trueperella",1,0,0.181818181818182
29,"[Clostridium]",1,0,0.272727272727273
30,"Deinococcus",2,0,0.0303030303030303
31,"Pseudoxanthomonas",3,0,0.0707070707070707
32,"Thermomonas",2,0,0.0606060606060606
33,"Kribbia",1,0,0.121212121212121
34,"Roseburia",4,0,0.242424242424242
35,"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus",1,0,0.0909090909090909
36,"Kocuria",5,0,0.0606060606060606
37,"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium",4,0,0.242424242424242
38,"Pantoea",5,0,0.0606060606060606
39,"ph2",1,0,0.111111111111111
40,"Serinibacter",1,0,0.161616161616162
41,"Atopostipes",4,0,0.212121212121212
42,"GW-34",1,0,0.252525252525253
43,"Lactobacillus",3,0,0.0303030303030303
44,"Dietzia",4,0,0.0909090909090909
45,"Sphingobium",1,0,0.0707070707070707
46,"CF231",4,0,0.202020202020202
47,"Ochrobactrum",5,0,0.0606060606060606
48,"Pedobacter",3,0,0.0707070707070707
49,"Psychrobacter",2,0,0.0808080808080808
50,"Kurthia",4,0,0.252525252525253
51,"Sporobacter",1,0,0.0202020202020202
52,"Pediococcus",1,0,0.0707070707070707
53,"Bordetella",5,0,0.0606060606060606
54,"Lactonifactor",4,0,0.141414141414141
55,"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Ruminococcus",4,1,0.212121212121212
56,"Gulbenkiania",3,0,0.0808080808080808
57,"Haloplasma",4,0,0.222222222222222
58,"Aeromonas",5,0,0.0606060606060606
59,"Prevotella",4,0,0.232323232323232
60,"Flavobacterium",1,0,0.111111111111111
61,"Alkanindiges",3,0,0.212121212121212
62,"Aeriscardovia",1,0,0.121212121212121
63,"Nocardioides",2,0,0.0404040404040404
64,"Anaerosinus",1,0,0.0202020202020202
65,"Papillibacter",4,1,0.232323232323232
66,"Snodgrassella",3,0,0.0808080808080808
67,"Campylobacter",4,1,0.212121212121212
68,"Caldimonas",1,0,0.0303030303030303
69,"Treponema",4,0,0.262626262626263
70,"Lysobacter",1,0,0.0606060606060606
71,"Devriesea",1,0,0.0909090909090909
72,"Eggerthella",4,0,0.0808080808080808
73,"Bacteria_Firmicutes_Bacilli_Bacillales_Planococcaceae_Bacillus",4,0,0.202020202020202
74,"Brevibacterium",1,0,0.121212121212121
75,"Helcococcus",1,0,0.141414141414141
76,"Anaerorhabdus",1,0,0.191919191919192
77,"Brevundimonas",2,0,0.0505050505050505
78,"Rheinheimera",1,0,0.0505050505050505
79,"Anaerobiospirillum",4,1,0.212121212121212
80,"Albidovulum",1,0,0.101010101010101
81,"Enterococcus",4,0,0.242424242424242
82,"Oscillospira",4,0,0.0707070707070707
83,"Paracoccus",2,0,0.0606060606060606
84,"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Bacteroides",4,0,0.111111111111111
85,"Desulfovibrio",1,0,0.151515151515152
86,"Aurantimonas",2,0,0.0505050505050505
87,"Nitrobacteria",1,0,0.0606060606060606
88,"Olsenella",1,0,0.151515151515152
89,"Brooklawnia",1,0,0.151515151515152
90,"Weissella",1,0,0.141414141414141
91,"Akkermansia",1,0,0.131313131313131
92,"Streptobacillus",3,0,0.0606060606060606
93,"Ornithobacterium",2,0,0.0707070707070707
94,"Acholeplasma",4,1,0.212121212121212
95,"Petrimonas",1,0,0.131313131313131
96,"Halomonas",1,0,0.151515151515152
97,"Syntrophococcus",1,0,0.101010101010101
98,"Sphingomonas",2,0,0.0505050505050505
99,"Acidovorax",2,0,0.0606060606060606
