"index","lable","cluster","hubs","degree"
1,"Macrococcus",8,0,0.0303030303030303
2,"Staphylococcus",3,0,0.0202020202020202
3,"Streptococcus",6,0,0.0303030303030303
4,"Elizabethkingia",3,0,0.0404040404040404
5,"Enhydrobacter",5,0,0.0505050505050505
6,"Rothia",5,0,0.0303030303030303
7,"Corynebacterium",4,0,0.0505050505050505
8,"Atopococcus",8,0,0.0505050505050505
9,"Acinetobacter",3,0,0.0202020202020202
10,"Helcobacillus",5,0,0.0303030303030303
11,"Millisia",6,1,0.0606060606060606
12,"Micrococcus",6,0,0.0303030303030303
13,"Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium",6,0,0.0101010101010101
14,"Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides",2,0,0.0202020202020202
15,"Lacticigenium",8,0,0.0202020202020202
16,"Bifidobacterium",6,0,0.0202020202020202
17,"Novosphingobium",8,0,0.0202020202020202
18,"Lactococcus",6,0,0.0505050505050505
19,"Arthrobacter",3,0,0.0101010101010101
20,"Ornithinimicrobium",6,0,0.0606060606060606
21,"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium",2,0,0.0202020202020202
22,"Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium",6,0,0.0404040404040404
23,"Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus",6,0,0.0202020202020202
24,"Succinispira",2,0,0.0202020202020202
25,"Rhizobium",1,0,0.0202020202020202
26,"Alistipes",5,0,0.0707070707070707
27,"Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas",4,0,0.0202020202020202
28,"Granulicatella",2,0,0.0505050505050505
29,"Trueperella",4,0,0.0303030303030303
30,"[Clostridium]",6,1,0.0606060606060606
31,"Deinococcus",5,0,0.0202020202020202
32,"Pseudoxanthomonas",3,0,0.0505050505050505
33,"Thermomonas",1,0,0.0404040404040404
34,"Kribbia",4,0,0.0202020202020202
35,"Roseburia",2,0,0.0202020202020202
36,"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus",7,0,0.0303030303030303
37,"Kocuria",3,0,0.0404040404040404
38,"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium",2,0,0.0404040404040404
39,"Pantoea",3,0,0.0303030303030303
40,"ph2",4,0,0.0404040404040404
41,"Serinibacter",4,0,0.0606060606060606
42,"Atopostipes",2,0,0.0202020202020202
43,"GW-34",7,0,0.0303030303030303
44,"Lactobacillus",1,0,0.0202020202020202
45,"Dietzia",9,0,0.0202020202020202
46,"Sphingobium",6,0,0.0303030303030303
47,"CF231",5,0,0.0707070707070707
48,"Ochrobactrum",3,0,0.0202020202020202
49,"Pedobacter",6,1,0.0707070707070707
50,"Psychrobacter",7,0,0.0404040404040404
51,"Kurthia",2,0,0.0404040404040404
52,"Sporobacter",5,0,0.0202020202020202
53,"Pediococcus",2,0,0.0303030303030303
54,"Bordetella",6,1,0.0606060606060606
55,"Lactonifactor",5,0,0.0505050505050505
56,"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Ruminococcus",1,0,0.0404040404040404
57,"Gulbenkiania",3,0,0.0404040404040404
58,"Haloplasma",1,0,0.0202020202020202
59,"Aeromonas",6,1,0.0505050505050505
60,"Prevotella",1,0,0.0202020202020202
61,"Flavobacterium",4,0,0.0101010101010101
62,"Alkanindiges",2,0,0.0202020202020202
63,"Aeriscardovia",7,0,0.0404040404040404
64,"Nocardioides",4,0,0.0505050505050505
65,"Anaerosinus",6,0,0.0404040404040404
66,"Papillibacter",2,0,0.0404040404040404
67,"Snodgrassella",2,0,0.0606060606060606
68,"Campylobacter",1,0,0.0202020202020202
69,"Caldimonas",8,0,0.0303030303030303
70,"Treponema",5,0,0.0303030303030303
71,"Lysobacter",3,0,0.0101010101010101
72,"Devriesea",6,0,0.0101010101010101
73,"Eggerthella",5,0,0.0404040404040404
74,"Bacteria_Firmicutes_Bacilli_Bacillales_Planococcaceae_Bacillus",4,0,0.0202020202020202
75,"Brevibacterium",4,0,0.0202020202020202
76,"Helcococcus",1,0,0.0101010101010101
77,"Anaerorhabdus",5,0,0.0404040404040404
78,"Brevundimonas",3,0,0.0303030303030303
79,"Rheinheimera",1,0,0.0202020202020202
80,"Anaerobiospirillum",5,0,0.0202020202020202
81,"Albidovulum",7,0,0.0202020202020202
82,"Enterococcus",5,0,0.0202020202020202
83,"Oscillospira",5,0,0.0505050505050505
84,"Paracoccus",1,0,0.0202020202020202
85,"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Bacteroides",5,0,0.0404040404040404
86,"Desulfovibrio",5,0,0.0404040404040404
87,"Aurantimonas",2,0,0.0404040404040404
88,"Nitrobacteria",2,0,0.0202020202020202
89,"Olsenella",5,0,0.0101010101010101
90,"Brooklawnia",4,0,0.0202020202020202
91,"Weissella",9,0,0.0101010101010101
92,"Akkermansia",2,0,0.0505050505050505
93,"Streptobacillus",6,0,0.0202020202020202
94,"Ornithobacterium",9,0,0.0303030303030303
95,"Acholeplasma",5,0,0.0303030303030303
96,"Petrimonas",7,0,0.0101010101010101
97,"Halomonas",5,0,0.0101010101010101
98,"Syntrophococcus",7,0,0.0202020202020202
99,"Sphingomonas",2,0,0.0303030303030303
100,"Acidovorax",1,0,0.0303030303030303
