"index","lable","cluster","hubs","degree"
1,"Macrococcus",5,0,0.0606060606060606
2,"Staphylococcus",4,0,0.0101010101010101
3,"Streptococcus",8,0,0.0303030303030303
4,"Elizabethkingia",4,0,0.0202020202020202
5,"Enhydrobacter",4,0,0.0404040404040404
6,"Rothia",4,0,0.0404040404040404
7,"Corynebacterium",9,0,0.0505050505050505
8,"Atopococcus",5,1,0.0909090909090909
9,"Acinetobacter",7,0,0.0404040404040404
10,"Helcobacillus",5,0,0.0404040404040404
11,"Millisia",1,0,0.0606060606060606
12,"Micrococcus",5,1,0.0606060606060606
13,"Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium",1,0,0.0303030303030303
14,"Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides",3,0,0.0202020202020202
15,"Lacticigenium",3,0,0.0505050505050505
16,"Bifidobacterium",8,0,0.0202020202020202
17,"Novosphingobium",3,0,0.0303030303030303
18,"Lactococcus",2,0,0.0303030303030303
19,"Arthrobacter",5,0,0.0202020202020202
20,"Ornithinimicrobium",5,0,0.0404040404040404
21,"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium",7,0,0.0404040404040404
22,"Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium",5,0,0.0101010101010101
23,"Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus",8,0,0.0101010101010101
24,"Succinispira",7,0,0.0606060606060606
25,"Rhizobium",6,0,0.0606060606060606
26,"Alistipes",7,0,0.0606060606060606
27,"Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas",7,0,0.0303030303030303
28,"Granulicatella",7,0,0.0303030303030303
29,"Trueperella",9,0,0.0404040404040404
30,"[Clostridium]",5,0,0.0505050505050505
31,"Deinococcus",4,0,0.0202020202020202
32,"Pseudoxanthomonas",4,0,0.0505050505050505
33,"Thermomonas",6,0,0.0505050505050505
34,"Kribbia",9,0,0.0505050505050505
35,"Roseburia",7,0,0.0404040404040404
36,"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus",5,0,0.0202020202020202
37,"Kocuria",2,0,0.0404040404040404
38,"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium",5,1,0.0707070707070707
39,"Pantoea",4,0,0.0101010101010101
40,"ph2",1,0,0.0505050505050505
41,"Serinibacter",9,0,0.0404040404040404
42,"Atopostipes",8,0,0.0202020202020202
43,"GW-34",1,0,0.0606060606060606
44,"Lactobacillus",6,0,0.0101010101010101
45,"Dietzia",9,0,0.0202020202020202
46,"Sphingobium",4,0,0.0202020202020202
47,"CF231",7,0,0.0303030303030303
48,"Ochrobactrum",4,0,0.0202020202020202
49,"Pedobacter",2,0,0.0303030303030303
50,"Psychrobacter",1,0,0.0303030303030303
51,"Kurthia",7,0,0.0707070707070707
52,"Sporobacter",7,0,0.0404040404040404
53,"Pediococcus",6,0,0.0303030303030303
54,"Bordetella",2,0,0.0202020202020202
55,"Lactonifactor",3,0,0.0404040404040404
56,"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Ruminococcus",5,1,0.0505050505050505
57,"Gulbenkiania",4,0,0.0404040404040404
58,"Haloplasma",5,0,0.0505050505050505
59,"Aeromonas",2,0,0.0202020202020202
60,"Prevotella",5,0,0.0505050505050505
61,"Flavobacterium",1,0,0.0505050505050505
62,"Alkanindiges",8,0,0.0101010101010101
63,"Aeriscardovia",1,0,0.0202020202020202
64,"Nocardioides",1,0,0.0303030303030303
65,"Anaerosinus",3,0,0.0303030303030303
66,"Papillibacter",7,0,0.0404040404040404
67,"Snodgrassella",2,0,0.0303030303030303
68,"Campylobacter",5,0,0.0303030303030303
69,"Caldimonas",3,0,0.0404040404040404
70,"Treponema",7,0,0.0404040404040404
71,"Lysobacter",2,0,0.0202020202020202
72,"Devriesea",1,0,0.0606060606060606
73,"Eggerthella",7,0,0.0505050505050505
74,"Bacteria_Firmicutes_Bacilli_Bacillales_Planococcaceae_Bacillus",1,0,0.0303030303030303
75,"Brevibacterium",2,0,0.0202020202020202
76,"Helcococcus",6,0,0.0303030303030303
77,"Anaerorhabdus",7,0,0.0404040404040404
78,"Brevundimonas",4,0,0.0303030303030303
79,"Rheinheimera",6,0,0.0303030303030303
80,"Anaerobiospirillum",7,0,0.0303030303030303
81,"Albidovulum",2,0,0.0303030303030303
82,"Enterococcus",7,0,0.0404040404040404
83,"Oscillospira",7,0,0.0606060606060606
84,"Paracoccus",6,0,0.0202020202020202
85,"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Bacteroides",7,1,0.0808080808080808
86,"Desulfovibrio",7,0,0.0505050505050505
87,"Aurantimonas",6,0,0.0101010101010101
88,"Nitrobacteria",8,0,0.0404040404040404
89,"Olsenella",3,0,0.0202020202020202
90,"Brooklawnia",9,0,0.0404040404040404
91,"Weissella",9,0,0.0404040404040404
92,"Akkermansia",7,0,0.0303030303030303
93,"Streptobacillus",2,0,0.0303030303030303
94,"Ornithobacterium",9,0,0.0606060606060606
95,"Acholeplasma",6,0,0.0505050505050505
96,"Petrimonas",1,0,0.0404040404040404
97,"Halomonas",9,0,0.0202020202020202
98,"Syntrophococcus",1,0,0.0303030303030303
99,"Sphingomonas",2,0,0.0404040404040404
100,"Acidovorax",6,0,0.0505050505050505
