"from","to","weight","association"
1,2,0.104590307098915,-1
1,3,0.575677848666116,1
2,3,0.161679137015307,-1
1,4,0.111055882230808,-1
2,4,0.732101817800415,1
3,4,0.138502306222851,-1
1,5,0.143054936820829,-1
2,5,0.490065163101423,1
3,5,0.146391828460384,-1
4,5,0.61945078094067,1
1,7,0.0725551771125468,-1
2,7,0.598255602558054,1
3,7,0.0939820367553098,-1
4,7,0.674155444079535,1
5,7,0.594248380001168,1
1,8,0.125324254469054,-1
2,8,0.480252984222562,1
3,8,0.10388066772419,-1
4,8,0.462038772510986,1
7,8,0.516832043132095,1
1,10,0.121421596384327,-1
2,10,0.552761190514484,1
3,10,0.116520556529069,-1
4,10,0.661325901348492,1
5,10,0.525520920243785,1
7,10,0.608172884494165,1
8,10,0.50145104218372,1
1,11,0.0901525155870139,-1
2,11,0.73198407798161,1
3,11,0.146376721751265,-1
4,11,0.648550751389373,1
5,11,0.511050905127434,1
7,11,0.639254805171504,1
8,11,0.504060130614281,1
10,11,0.55917284656867,1
1,12,0.0960800380458909,-1
2,12,0.637705085306259,1
3,12,0.112017180490267,-1
4,12,0.744283476293788,1
5,12,0.544956697703693,1
7,12,0.634792574098587,1
8,12,0.504533249246616,1
10,12,0.668704063929966,1
11,12,0.585414108414308,1
1,13,0.701503408952358,1
2,13,0.114963139576151,-1
3,13,0.562904961263774,1
4,13,0.13170759757832,-1
7,13,0.0813404753625455,-1
8,13,0.114362948524988,-1
10,13,0.139535086442861,-1
11,13,0.0765986161003236,-1
12,13,0.140208120208163,-1
3,14,0.150247333532563,-1
8,14,0.547994297632557,1
13,14,0.156828398172437,-1
1,15,0.618383457454163,1
2,15,0.105055562827789,-1
3,15,0.51097123806692,1
4,15,0.141901319151258,-1
7,15,0.103646416365899,-1
8,15,0.121222569962452,-1
10,15,0.159109258724029,-1
11,15,0.0890949073337007,-1
12,15,0.145405250358635,-1
13,15,0.661636809642715,1
14,15,0.112465270484302,-1
4,16,0.476198978088293,1
7,16,0.463648869895963,1
1,17,0.140797413854242,-1
3,17,0.156885100944646,-1
7,17,0.477325146268241,1
8,17,0.579110435513296,1
11,17,0.477063222820855,1
13,17,0.123748319012426,-1
14,17,0.568453747193921,1
15,17,0.0997871590845673,-1
1,19,0.130688522647671,-1
3,19,0.148302501121721,-1
7,19,0.476142486453032,1
8,19,0.607978574770823,1
10,19,0.455463184470761,1
13,19,0.12612207658601,-1
14,19,0.560091215267296,1
15,19,0.110934958565153,-1
17,19,0.65343993873979,1
3,20,0.154361140729889,-1
6,20,0.515200792741105,1
8,20,0.595493707142923,1
10,20,0.496770575137389,1
12,20,0.467715434149106,1
15,20,0.138136722645708,-1
17,20,0.618730422547798,1
19,20,0.615207132302884,1
1,21,0.594347077184991,1
2,21,0.15009340711861,-1
3,21,0.597228110926702,1
4,21,0.153925871930333,-1
7,21,0.139381118458954,-1
8,21,0.111869400366746,-1
10,21,0.130756255291651,-1
12,21,0.104748904588173,-1
13,21,0.550306770040258,1
14,21,0.156006690865632,-1
15,21,0.544597393379754,1
17,21,0.114098211451987,-1
19,21,0.111117845408542,-1
20,21,0.107135681376453,-1
9,22,0.48392568512029,1
10,23,0.154027105029512,-1
16,23,0.465446599446508,1
19,23,0.161096933480321,-1
20,23,0.159612306269639,-1
3,24,0.153262535597239,-1
8,24,0.568557671116259,1
13,24,0.156080103271331,-1
14,24,0.591982743001439,1
15,24,0.131022978238447,-1
