"from","to","weight"
1,2,0.113597580043779
1,4,0.127951030940336
2,4,0.568730384122031
3,4,0.160917050786539
1,5,0.144786736709038
4,5,0.611641949034387
3,6,0.15857349241151
4,7,0.621092599357779
5,7,0.618599391494568
1,8,0.151204882437369
4,10,0.576787026313748
1,11,0.131563472914335
2,11,0.603157271826074
4,11,0.466198438810421
1,12,0.143877695084487
2,12,0.544620705098995
3,12,0.154872626934515
4,12,0.601158663821712
5,12,0.496080973901603
10,12,0.602538995343932
3,13,0.52850293623725
8,14,0.533077725320335
9,14,0.612903755212275
1,15,0.567503981582863
7,16,0.549693788633604
11,16,0.474887312409529
8,17,0.528003491220474
9,17,0.479932575743929
14,17,0.664799431123443
8,19,0.603552296150496
9,19,0.589902403903898
14,19,0.759313138791274
17,19,0.704786643466268
6,20,0.60966030432298
9,20,0.552880415421227
1,21,0.675575318348554
2,21,0.118022497202119
4,21,0.143888526362495
6,21,0.136567892138644
12,21,0.131601595270026
15,21,0.687612542635884
20,21,0.153590857445443
6,22,0.57662997520785
9,22,0.551954599851216
20,22,0.639916344520852
16,23,0.540406644787234
8,24,0.477983376119422
9,24,0.576111300108003
14,24,0.747003257301483
17,24,0.825638401488579
19,24,0.75382145404641
1,25,0.533585744497576
1,26,0.469866601507491
2,26,0.161395894870244
3,26,0.501044098898473
13,26,0.482210253733657
21,26,0.472603913079115
2,27,0.162743105668769
6,27,0.494970613133615
9,27,0.713738638188575
14,27,0.568073622613041
17,27,0.524550070851017
19,27,0.576893520269619
20,27,0.593138510338585
22,27,0.725206235944136
24,27,0.600007466791195
2,28,0.565633459669668
4,28,0.58801159903458
10,28,0.567210231677729
12,28,0.591615281632478
21,28,0.157410061442454
6,29,0.527251328903009
8,29,0.481406775937829
9,29,0.646346924675592
14,29,0.594864412132738
19,29,0.593484677939021
20,29,0.519979022280111
22,29,0.620778059224948
24,29,0.494641090464593
27,29,0.684128758555338
1,30,0.600471423554818
2,30,0.151511561674813
15,30,0.700521656579794
21,30,0.664622888586621
26,30,0.539921856971344
8,31,0.661926138602141
14,31,0.671313624612474
17,31,0.641144802737929
19,31,0.777731746354112
24,31,0.61784203190963
29,31,0.516990658331886
8,32,0.486307268531657
9,32,0.625548401936997
14,32,0.649002594363345
17,32,0.492112666847628
19,32,0.697026422903384
24,32,0.560973518509954
27,32,0.589230006520702
29,32,0.670378718390803
31,32,0.628835159061037
1,33,0.137820563114322
2,33,0.464524926297629
8,33,0.47268085462982
11,33,0.496938946250491
17,33,0.455154242586073
21,33,0.1610843694324
1,34,0.59390603578553
2,34,0.140414028256404
4,34,0.155194873662702
11,34,0.158239817966381
15,34,0.521266602736695
21,34,0.603756087967431
26,34,0.68146974582003
30,34,0.775242551152869
33,34,0.161912389020656
4,35,0.486436042892468
16,35,0.50270294049889
4,36,0.579446048285955
5,36,0.58739158325531
7,36,0.784088631354078
16,36,0.584704801505258
1,37,0.536764498230513
15,37,0.867709161050799
21,37,0.655772281161036
30,37,0.724546194306198
34,37,0.526377146866187
8,38,0.485550657217083
11,38,0.561582122281462
33,38,0.567745385499036
1,39,0.581487996397916
2,39,0.160669298988871
3,39,0.502753100625515
4,39,0.15112003441996
