"from","to","weight","association"
1,2,0.113597580043779,-1
1,4,0.127951030940336,-1
2,4,0.568730384122031,1
3,4,0.160917050786539,-1
1,5,0.144786736709038,-1
4,5,0.611641949034387,1
3,6,0.15857349241151,-1
4,7,0.621092599357779,1
5,7,0.618599391494568,1
1,8,0.151204882437369,-1
4,10,0.576787026313748,1
1,11,0.131563472914335,-1
2,11,0.603157271826074,1
4,11,0.466198438810421,1
1,12,0.143877695084487,-1
2,12,0.544620705098995,1
3,12,0.154872626934515,-1
4,12,0.601158663821712,1
5,12,0.496080973901603,1
10,12,0.602538995343932,1
3,13,0.52850293623725,1
8,14,0.533077725320335,1
9,14,0.612903755212275,1
1,15,0.567503981582863,1
7,16,0.549693788633604,1
11,16,0.474887312409529,1
8,17,0.528003491220474,1
9,17,0.479932575743929,1
14,17,0.664799431123443,1
8,19,0.603552296150496,1
9,19,0.589902403903898,1
14,19,0.759313138791274,1
17,19,0.704786643466268,1
6,20,0.60966030432298,1
9,20,0.552880415421227,1
1,21,0.675575318348554,1
2,21,0.118022497202119,-1
4,21,0.143888526362495,-1
6,21,0.136567892138644,-1
12,21,0.131601595270026,-1
15,21,0.687612542635884,1
20,21,0.153590857445443,-1
6,22,0.57662997520785,1
9,22,0.551954599851216,1
20,22,0.639916344520852,1
16,23,0.540406644787234,1
8,24,0.477983376119422,1
9,24,0.576111300108003,1
14,24,0.747003257301483,1
17,24,0.825638401488579,1
19,24,0.75382145404641,1
1,25,0.533585744497576,1
1,26,0.469866601507491,1
2,26,0.161395894870244,-1
3,26,0.501044098898473,1
13,26,0.482210253733657,1
21,26,0.472603913079115,1
2,27,0.162743105668769,-1
6,27,0.494970613133615,1
9,27,0.713738638188575,1
14,27,0.568073622613041,1
17,27,0.524550070851017,1
19,27,0.576893520269619,1
20,27,0.593138510338585,1
22,27,0.725206235944136,1
24,27,0.600007466791195,1
2,28,0.565633459669668,1
4,28,0.58801159903458,1
10,28,0.567210231677729,1
12,28,0.591615281632478,1
21,28,0.157410061442454,-1
6,29,0.527251328903009,1
8,29,0.481406775937829,1
9,29,0.646346924675592,1
14,29,0.594864412132738,1
19,29,0.593484677939021,1
20,29,0.519979022280111,1
22,29,0.620778059224948,1
24,29,0.494641090464593,1
27,29,0.684128758555338,1
1,30,0.600471423554818,1
2,30,0.151511561674813,-1
15,30,0.700521656579794,1
21,30,0.664622888586621,1
26,30,0.539921856971344,1
8,31,0.661926138602141,1
14,31,0.671313624612474,1
17,31,0.641144802737929,1
19,31,0.777731746354112,1
24,31,0.61784203190963,1
29,31,0.516990658331886,1
8,32,0.486307268531657,1
9,32,0.625548401936997,1
14,32,0.649002594363345,1
17,32,0.492112666847628,1
19,32,0.697026422903384,1
24,32,0.560973518509954,1
27,32,0.589230006520702,1
29,32,0.670378718390803,1
31,32,0.628835159061037,1
1,33,0.137820563114322,-1
2,33,0.464524926297629,1
8,33,0.47268085462982,1
11,33,0.496938946250491,1
17,33,0.455154242586073,1
21,33,0.1610843694324,-1
1,34,0.59390603578553,1
2,34,0.140414028256404,-1
4,34,0.155194873662702,-1
11,34,0.158239817966381,-1
15,34,0.521266602736695,1
21,34,0.603756087967431,1
