"from","to","weight","association"
2,4,0.374018222614185,1
1,7,0.258337093110054,-1
4,7,0.34968802495973,1
5,7,0.350417838381635,1
4,10,0.296360639064547,1
2,11,0.433375505744309,1
4,12,0.43292871637369,1
10,12,0.372299479207767,1
1,13,0.344241010734291,1
11,13,0.242101643777754,-1
8,19,0.323324648983395,1
17,19,0.323612867140466,1
6,20,0.329334396177448,1
8,20,0.320123973066993,1
17,20,0.32154677474249,1
19,20,0.326272669784883,1
3,21,0.317690494640367,1
12,21,0.281785417685266,-1
20,21,0.286140941336992,-1
14,24,0.32635501087323,1
17,24,0.464852736117878,1
19,24,0.34491264125724,1
1,25,0.34180758284461,1
7,25,0.273754456537726,-1
13,25,0.303882134469942,1
7,26,0.27470778652454,-1
8,26,0.281806868635782,-1
9,27,0.32000375473784,1
22,27,0.322625203196312,1
6,28,0.294121783266115,1
10,28,0.316279584290808,1
12,28,0.307017903971826,1
15,29,0.235514508909425,-1
22,29,0.312494418110688,1
17,30,0.268753674285106,-1
26,30,0.377605347739994,1
29,30,0.286080103623794,-1
8,31,0.300857806011544,1
14,31,0.374492246846858,1
25,31,0.282126182514736,-1
22,32,0.296299497700658,1
29,32,0.305809257967596,1
3,33,0.273904994853662,-1
7,33,0.300342372096758,1
13,33,0.268693724580073,-1
14,33,0.302031343442013,1
1,34,0.374101095967217,1
3,34,0.342090999863165,1
8,34,0.256008519845885,-1
21,34,0.357619709681341,1
30,34,0.306765660945998,1
4,35,0.316810583799032,1
16,35,0.309372660628276,1
5,36,0.29546310412519,1
7,36,0.309189716980587,1
16,36,0.314754824443949,1
30,37,0.449771636613841,1
26,39,0.299663917089559,1
33,39,0.291485794847908,-1
34,39,0.387570481566785,1
13,40,0.357969070945932,1
26,40,0.321200743691296,1
34,40,0.312428579629394,1
9,42,0.30613452944684,1
5,43,0.294292860634471,1
12,43,0.308873639554725,1
17,43,0.331933711723761,1
40,43,0.292667218795126,-1
14,44,0.383063088630563,1
38,44,0.316236592353168,1
2,45,0.298648314771109,1
11,45,0.310199457034158,1
22,45,0.291446503088598,-1
28,45,0.357473958960485,1
7,46,0.29351820474024,1
36,46,0.32952643923132,1
3,47,0.291361859230971,-1
8,47,0.29432191689565,1
38,47,0.330254848355231,1
42,47,0.297240322741825,1
4,48,0.298985023288725,1
10,48,0.357058032897338,1
23,48,0.290976292850884,-1
28,48,0.34807330229816,1
45,48,0.358877247992564,1
13,49,0.301841483297607,1
21,49,0.297192177983814,1
37,49,0.315590115381541,1
39,49,0.313058995626025,1
40,49,0.306079978924622,1
22,50,0.310929138430952,1
27,50,0.478225993278039,1
32,50,0.302110739467395,1
35,50,0.259018123609179,-1
16,51,0.279715805089833,-1
19,51,0.304469014961414,1
21,51,0.274575580854672,-1
24,51,0.297226526846914,1
46,51,0.223941145218993,-1
3,52,0.293029252544475,1
32,52,0.410375619428566,1
9,54,0.279648581333143,-1
5,55,0.294943750601794,1
16,55,0.293983368591537,1
36,55,0.321526583593361,1
22,56,0.281786892175602,-1
46,57,0.343993671624577,1
2,58,0.296028335283612,1
22,58,0.284918026091694,-1
45,58,0.298437184984687,1
48,58,0.319739717463195,1
54,58,0.295586961059167,1
50,59,0.446652695526552,1
5,60,0.246421064545372,-1
32,60,0.305921448953781,1
16,61,0.294038725826144,1
20,61,0.291138087195284,-1
23,61,0.339415964108147,1
27,62,0.347589231472539,1
2,63,0.287253183599519,-1
8,63,0.280862430574808,-1
34,63,0.302047529868255,1
56,63,0.279346464350627,-1
58,63,0.263562650872173,-1
18,64,0.397838181910289,1
3,65,0.303426324887705,1
42,65,0.301001936049034,1
44,65,0.291575577781353,-1
56,65,0.39042590241277,1
36,66,0.348956093673131,1
45,66,0.316132299163707,1
65,66,0.2962752280234,1
13,67,0.300696143161917,1
19,67,0.272100850652908,-1
31,67,0.277428817674077,-1
39,67,0.510519576606571,1
43,67,0.288866757288197,-1
47,68,0.407430079704734,1
57,68,0.264705128107967,-1
58,68,0.308162355740801,1
63,68,0.250845441433017,-1
46,69,0.334521510058109,1
47,69,0.281960529873987,-1
57,69,0.293244653595558,1
33,70,0.324037343974247,1
44,70,0.30944192764077,1
18,71,0.253735156130574,-1
22,71,0.295690378591662,1
32,71,0.304584105777599,1
50,71,0.346842935199831,1
10,72,0.307707962060454,1
54,72,0.304028586312954,1
56,72,0.341405520055682,1
18,73,0.284819406935283,-1
46,73,0.298580420577161,1
54,73,0.230071868756654,-1
57,73,0.293559337864458,1
61,73,0.394679570960032,1
65,73,0.300184366139834,1
72,73,0.271884709727447,-1
14,74,0.321403935100541,1
24,74,0.3016944742891,1
31,74,0.293197105682551,1
41,74,0.278968019715682,-1
37,75,0.316949708530528,1
40,75,0.293858748572808,1
8,76,0.290576710259634,-1
30,76,0.357572682396908,1
40,76,0.29414538667832,1
49,76,0.336441875755564,1
63,76,0.343599250008734,1
22,77,0.442709013395936,1
31,77,0.292264528170803,-1
38,77,0.290668067806379,-1
58,77,0.292322493613925,-1
38,78,0.281476994941063,-1
40,78,0.292947605123545,1
56,78,0.290411052998079,-1
76,78,0.29713506623629,1
77,78,0.366011718815424,1
33,79,0.308792018054782,1
38,79,0.350295129984436,1
47,79,0.293853379575267,1
63,79,0.273858997294872,-1
74,79,0.317800483860937,1
13,80,0.357456884065085,1
15,80,0.459473968858097,1
17,80,0.28972219079638,-1
30,80,0.334787287895582,1
33,80,0.226435714604136,-1
32,81,0.286208109581121,-1
36,81,0.314758828356501,1
61,81,0.300940645337114,1
66,81,0.294844588920195,1
25,82,0.296536692790866,1
41,82,0.259071769390732,-1
69,82,0.288495732985982,-1
6,83,0.190966357719328,-1
82,83,0.312376218837693,1
9,84,0.262535286972669,-1
27,84,0.279388043521882,-1
42,84,0.290995124934293,-1
