"from","to","weight","association"
2,4,0.319005782554727,1
4,5,0.314830998271796,1
4,7,0.359030149345119,1
5,7,0.389891043503563,1
4,10,0.367836902570001,1
2,11,0.432177659921791,1
4,12,0.343600761433067,1
10,12,0.389640921317289,1
1,13,0.345411773376904,1
7,13,0.267504396392055,-1
2,15,0.279251817778128,-1
6,15,0.263293767153495,-1
8,17,0.327716155838828,1
8,19,0.301016250858684,1
17,19,0.39865399762611,1
6,20,0.385797825068678,1
17,20,0.309864810813187,1
19,20,0.346859854726117,1
3,21,0.320591651602457,1
6,21,0.289832604253939,-1
18,23,0.238244358134453,-1
14,24,0.379112734240541,1
17,24,0.492108786895334,1
19,24,0.314274959662041,1
1,25,0.358256487295072,1
5,25,0.274310001827246,-1
7,25,0.277687297987349,-1
9,27,0.359102525499335,1
12,28,0.410158290849555,1
15,29,0.259612970567583,-1
19,29,0.310068126853106,1
13,30,0.360461636583447,1
26,30,0.415513015942614,1
14,31,0.394615721440659,1
17,31,0.322736474115338,1
29,32,0.340660425782059,1
1,34,0.316775293483488,1
3,34,0.331535395000226,1
12,34,0.292626929382919,-1
15,34,0.295431705499336,1
21,34,0.426699827414666,1
4,35,0.294616566356314,1
16,35,0.293810778326228,1
7,36,0.323142038402252,1
2,37,0.279428989141375,-1
4,37,0.288051290086176,-1
11,37,0.267003271086092,-1
30,37,0.488831452393586,1
3,39,0.301047843932255,1
34,39,0.33410897427286,1
25,40,0.296417982197993,1
39,40,0.347386874162812,1
1,41,0.2776839688819,-1
25,41,0.259769759947935,-1
9,42,0.304305581460048,1
17,43,0.355258308470965,1
29,43,0.322906304263699,1
3,44,0.284820490493706,-1
2,45,0.358460918243619,1
28,45,0.33383649158322,1
7,46,0.361404402360542,1
36,46,0.316479475249339,1
34,47,0.273364866557889,-1
38,47,0.331789364286097,1
4,48,0.321203658861175,1
10,48,0.30141693114699,1
45,48,0.339131176322889,1
13,49,0.297946127185569,1
26,49,0.29943794552171,1
34,49,0.296247389472842,1
39,49,0.308752305250351,1
40,49,0.34703972584472,1
22,50,0.386284522192404,1
27,50,0.44830886458287,1
32,50,0.294760373740061,1
8,51,0.452772718616139,1
3,52,0.293936858226852,1
32,52,0.386646472226889,1
31,53,0.295004556858761,1
28,54,0.322020443125185,1
5,55,0.34330015909141,1
35,55,0.298849919975965,1
7,57,0.311601123478168,1
46,57,0.320349129069186,1
26,58,0.284577177306615,-1
48,58,0.31251736579704,1
19,59,0.295176760462865,1
29,59,0.31883137171394,1
32,59,0.316865658670143,1
50,59,0.37054139653277,1
14,60,0.294094170368286,1
32,60,0.303975256874931,1
52,60,0.351326436246401,1
59,60,0.307493613372227,1
21,61,0.299941684207547,1
23,61,0.370705618479663,1
46,61,0.299123821455764,1
14,62,0.295017552462019,1
27,62,0.315937909317562,1
43,62,0.302302125127108,1
21,63,0.296289336993276,1
34,63,0.298496272604697,1
47,63,0.289754709711369,-1
13,64,0.264075715013672,-1
18,64,0.304547822479787,1
45,64,0.299670223332705,1
42,65,0.297756226667974,1
52,65,0.302472135695919,1
56,65,0.453786678011796,1
58,65,0.313047002262472,1
11,66,0.300136035909479,1
36,66,0.339547522444329,1
48,66,0.347767976843218,1
3,67,0.296312581830457,1
13,67,0.313104308244976,1
