"index","lable","cluster","hubs","degree"
1,"Elizabethkingia",4,0,0.363636363636364
2,"Atopococcus",3,0,0.404040404040404
3,"Streptococcus",4,0,0.333333333333333
4,"Macrococcus",3,0,0.414141414141414
5,"Corynebacterium",3,0,0.232323232323232
6,"Bifidobacterium",2,0,0.0606060606060606
7,"Micrococcus",3,0,0.404040404040404
8,"Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium",3,0,0.363636363636364
9,"Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides",1,0,0.0808080808080808
10,"Atopostipes",3,0,0.404040404040404
11,"Granulicatella",3,0,0.414141414141414
12,"Millisia",3,0,0.363636363636364
13,"Lactococcus",4,1,0.363636363636364
14,"Succinispira",2,0,0.272727272727273
15,"Alkanindiges",4,0,0.383838383838384
16,"Helcobacillus",3,0,0.121212121212121
17,"Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium",2,0,0.363636363636364
18,"Novosphingobium",1,0,0.0303030303030303
19,"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus",2,0,0.343434343434343
20,"Roseburia",2,0,0.313131313131313
21,"Acinetobacter",4,0,0.393939393939394
22,"Faecalibacterium",1,0,0.181818181818182
23,"Staphylococcus",3,0,0.0909090909090909
24,"Prevotella",2,0,0.292929292929293
25,"Enhydrobacter",4,0,0.343434343434343
26,"Kocuria",4,0,0.373737373737374
27,"Collinsella",1,0,0.161616161616162
28,"Trueperella",3,0,0.282828282828283
29,"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium",2,0,0.303030303030303
30,"Nonlabens",4,1,0.353535353535354
31,"[Clostridium]",2,0,0.202020202020202
32,"Lactobacillus",1,0,0.131313131313131
33,"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium",3,0,0.404040404040404
34,"Pedobacter",4,1,0.404040404040404
35,"Arthrobacter",3,0,0.161616161616162
36,"Ornithinimicrobium",3,0,0.141414141414141
37,"Bdellovibrio",4,0,0.373737373737374
38,"CF231",3,0,0.161616161616162
39,"Snodgrassella",4,1,0.373737373737374
40,"Pseudoxanthomonas",4,1,0.383838383838384
41,"Lacticigenium",2,0,0.0404040404040404
42,"Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus",1,0,0.0101010101010101
43,"Lactonifactor",2,0,0.232323232323232
44,"Alistipes",2,0,0.171717171717172
45,"GW-34",3,0,0.414141414141414
46,"Kribbia",3,0,0.0808080808080808
47,"Treponema",3,0,0.202020202020202
48,"ph2",3,0,0.363636363636364
49,"Rhizobium",4,0,0.363636363636364
50,"Dorea",1,0,0.181818181818182
51,"Succinivibrio",2,0,0.131313131313131
52,"Pediococcus",1,0,0.0303030303030303
53,"[Prevotella]",1,0,0.0909090909090909
54,"Anaerococcus",3,0,0.0505050505050505
55,"Dietzia",3,0,0.141414141414141
56,"Weissella",3,0,0.131313131313131
57,"Bacteria_Firmicutes_Bacilli_Bacillales_Planococcaceae_Bacillus",3,0,0.0303030303030303
58,"Helcococcus",3,0,0.242424242424242
59,"Butyricicoccus",1,0,0.131313131313131
60,"Selenomonas",1,0,0.151515151515152
61,"Flavobacterium",3,0,0.0909090909090909
62,"Desulfovibrio",1,0,0.0404040404040404
63,"Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas",4,0,0.393939393939394
64,"Sphingobium",1,0,0.0101010101010101
65,"Wautersiella",3,0,0.0101010101010101
66,"Petrimonas",3,0,0.0606060606060606
67,"Gluconacetobacter",4,0,0.343434343434343
68,"Anaerobiospirillum",3,0,0.101010101010101
69,"Kurthia",3,0,0.0404040404040404
70,"Papillibacter",2,0,0.0606060606060606
71,"Macellibacteroides",1,0,0.111111111111111
72,"Isobaculum",3,0,0.121212121212121
73,"Psychrobacter",3,0,0.0404040404040404
74,"Sporobacter",2,0,0.0909090909090909
75,"Ochrobactrum",4,0,0.323232323232323
76,"Brevundimonas",4,0,0.343434343434343
77,"Mucispirillum",1,0,0.101010101010101
78,"Helicobacter",1,0,0.0202020202020202
79,"Barnesiella",3,0,0.232323232323232
80,"Mucilaginibacter",4,0,0.363636363636364
81,"Lysobacter",3,0,0.0808080808080808
82,"Rothia",4,0,0.0202020202020202
83,"Arcobacter",2,0,0.0202020202020202
84,"Brevibacterium",5,0,0.0404040404040404
85,"Peredibacter",4,0,0.343434343434343
86,"Serinibacter",3,0,0.0606060606060606
87,"Alkalibacterium",3,0,0.0606060606060606
88,"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Bacteroides",3,0,0.0202020202020202
89,"Oscillospira",5,0,0.0404040404040404
90,"Campylobacter",5,0,0.0404040404040404
91,"Acholeplasma",3,0,0.0606060606060606
92,"Anaerorhabdus",3,0,0.0505050505050505
93,"Nocardioides",3,0,0.0808080808080808
94,"Aeriscardovia",3,0,0.0303030303030303
95,"Deinococcus",1,0,0.0303030303030303
96,"Haloplasma",3,0,0.0202020202020202
97,"Peptostreptococcus",1,0,0.161616161616162
98,"Oligella",3,0,0.0505050505050505
