"index","lable","cluster","hubs","degree"
1,"Elizabethkingia",1,0,0.232323232323232
2,"Atopococcus",2,0,0.282828282828283
3,"Streptococcus",1,0,0.0808080808080808
4,"Macrococcus",2,0,0.252525252525253
5,"Corynebacterium",2,0,0.181818181818182
6,"Bifidobacterium",5,0,0.121212121212121
7,"Micrococcus",2,0,0.121212121212121
8,"Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium",5,0,0.252525252525253
9,"Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides",5,0,0.171717171717172
10,"Atopostipes",2,0,0.0606060606060606
11,"Granulicatella",4,0,0.252525252525253
12,"Millisia",2,0,0.161616161616162
13,"Lactococcus",1,0,0.0202020202020202
14,"Succinispira",5,1,0.191919191919192
15,"Alkanindiges",1,0,0.101010101010101
16,"Helcobacillus",2,0,0.101010101010101
17,"Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium",5,1,0.222222222222222
18,"Novosphingobium",6,0,0
19,"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus",5,1,0.171717171717172
20,"Roseburia",5,0,0.121212121212121
21,"Acinetobacter",1,0,0.202020202020202
22,"Faecalibacterium",5,0,0.111111111111111
23,"Staphylococcus",2,0,0.0909090909090909
24,"Prevotella",5,1,0.181818181818182
25,"Enhydrobacter",1,0,0.0303030303030303
26,"Kocuria",1,0,0.131313131313131
27,"Collinsella",5,0,0.202020202020202
28,"Trueperella",2,0,0.111111111111111
29,"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium",5,0,0.202020202020202
30,"Nonlabens",1,0,0.141414141414141
31,"[Clostridium]",5,0,0.171717171717172
32,"Lactobacillus",5,0,0.161616161616162
33,"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium",4,0,0.232323232323232
34,"Pedobacter",1,0,0.171717171717172
35,"Arthrobacter",2,0,0.0303030303030303
36,"Ornithinimicrobium",2,0,0.151515151515152
37,"Bdellovibrio",1,0,0.101010101010101
38,"CF231",4,0,0.151515151515152
39,"Snodgrassella",1,0,0.212121212121212
40,"Pseudoxanthomonas",1,0,0.131313131313131
41,"Lacticigenium",2,0,0.0808080808080808
42,"Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus",4,0,0.121212121212121
43,"Lactonifactor",5,0,0.101010101010101
44,"Alistipes",4,0,0.131313131313131
45,"GW-34",2,0,0.131313131313131
46,"Kribbia",2,0,0.0808080808080808
47,"Treponema",4,0,0.121212121212121
48,"ph2",2,0,0.111111111111111
49,"Rhizobium",1,0,0.191919191919192
50,"Dorea",5,0,0.212121212121212
51,"Succinivibrio",4,0,0.111111111111111
52,"Pediococcus",1,0,0.0101010101010101
53,"[Prevotella]",5,0,0.131313131313131
54,"Anaerococcus",3,0,0.0606060606060606
55,"Dietzia",2,0,0.131313131313131
56,"Weissella",4,0,0.0909090909090909
57,"Bacteria_Firmicutes_Bacilli_Bacillales_Planococcaceae_Bacillus",2,0,0.0909090909090909
58,"Helcococcus",3,0,0.101010101010101
59,"Butyricicoccus",5,0,0.121212121212121
60,"Selenomonas",5,1,0.151515151515152
61,"Flavobacterium",2,0,0.131313131313131
62,"Desulfovibrio",5,0,0.151515151515152
63,"Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas",2,0,0.0606060606060606
64,"Sphingobium",6,0,0
65,"Wautersiella",4,0,0.131313131313131
66,"Petrimonas",4,0,0.121212121212121
67,"Gluconacetobacter",1,0,0.0303030303030303
68,"Anaerobiospirillum",4,0,0.151515151515152
69,"Kurthia",2,0,0.111111111111111
70,"Papillibacter",2,0,0.181818181818182
71,"Macellibacteroides",5,0,0.131313131313131
72,"Isobaculum",4,0,0.0808080808080808
73,"Psychrobacter",4,0,0.101010101010101
74,"Sporobacter",4,0,0.171717171717172
75,"Ochrobactrum",1,0,0.101010101010101
76,"Brevundimonas",1,0,0.111111111111111
77,"Mucispirillum",5,0,0.0909090909090909
78,"Helicobacter",5,0,0.0606060606060606
79,"Barnesiella",4,0,0.181818181818182
80,"Mucilaginibacter",1,0,0.141414141414141
81,"Lysobacter",2,0,0.141414141414141
82,"Rothia",4,0,0.202020202020202
83,"Arcobacter",4,0,0.141414141414141
84,"Brevibacterium",3,0,0.0808080808080808
85,"Peredibacter",1,0,0.141414141414141
86,"Serinibacter",2,0,0.101010101010101
87,"Alkalibacterium",2,0,0.0707070707070707
88,"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Bacteroides",4,0,0.141414141414141
89,"Oscillospira",4,0,0.131313131313131
90,"Campylobacter",4,0,0.212121212121212
91,"Akkermansia",5,0,0.141414141414141
92,"Acholeplasma",2,0,0.131313131313131
93,"Sphingomonas",2,0,0.0909090909090909
94,"Anaerorhabdus",2,0,0.0909090909090909
95,"Nocardioides",2,0,0.191919191919192
96,"Aeriscardovia",3,0,0.0909090909090909
97,"Deinococcus",3,0,0.0303030303030303
98,"Haloplasma",2,0,0.0505050505050505
99,"Peptostreptococcus",5,0,0.141414141414141
100,"Oligella",3,0,0.121212121212121
